,EMA_monthly_10
2022-04-04,129.4591
2022-03-31,130.4456
2022-02-28,132.0646
2022-01-31,132.7468
2021-12-31,131.9286
2021-11-30,129.7679
2021-10-29,130.1437
2021-09-30,130.7821
2021-08-31,130.9181
2021-07-30,130.1583
2021-06-30,129.6825
2021-05-28,129.5211
2021-04-30,130.2530
2021-03-31,130.5699
2021-02-26,129.7268
2021-01-29,131.2403
2020-12-31,132.2877
2020-11-30,132.9867
2020-10-30,133.1160
2020-09-30,134.6933
2020-08-31,133.4382
2020-07-31,130.0035
2020-06-30,127.0053
2020-05-29,125.5829
2020-04-30,124.0541
2020-03-31,122.8017
2020-02-28,123.4791
2020-01-31,123.8184
2019-12-31,121.7439
2019-11-29,120.3838
2019-10-31,119.1823
2019-09-30,118.4232
2019-08-30,115.6153
2019-07-31,112.5883
2019-06-28,109.9998
2019-05-31,107.3184
2019-04-30,105.3374
2019-03-29,102.8171
2019-02-28,100.6416
2019-01-31,99.6197
2018-12-31,99.4617
2018-11-30,98.7561
2018-10-31,97.8102
2018-09-28,98.8506
2018-08-31,98.2690
2018-07-31,97.3770
2018-06-29,96.6172
2018-05-31,97.3648
2018-04-30,99.3547
2018-03-29,101.2627
2018-02-28,102.3109
2018-01-31,103.6294
2017-12-29,104.0668
2017-11-30,103.8948
2017-10-31,104.0440
2017-09-29,105.6151
2017-08-31,106.5451
2017-07-31,106.7972
2017-06-30,107.1300
2017-05-31,106.4063
2017-04-28,105.5863
2017-03-31,104.5802
2017-02-28,102.9960
2017-01-31,101.0682
2016-12-30,100.8500
2016-11-30,101.8957
2016-10-31,103.0675
2016-09-30,104.7227
2016-08-31,104.5671
2016-07-29,104.1914
2016-06-30,103.4573
2016-05-31,101.0980
2016-04-29,100.3042
2016-03-31,99.6728
2016-02-29,97.1947
2016-01-29,95.1023
2015-12-31,92.8868
2015-11-30,90.3826
2015-10-30,88.9618
2015-09-30,87.1242
2015-08-31,86.8040
2015-07-31,87.0259
2015-06-30,85.7864
2015-05-29,85.8823
2015-04-30,85.6398
2015-03-31,85.1961
2015-02-27,85.1118
2015-01-30,84.7129
2014-12-31,84.5248
2014-11-28,82.9599
2014-10-31,81.0115
2014-09-30,79.8568
2014-08-29,79.5688
2014-07-31,79.2850
2014-06-30,79.6251
2014-05-30,78.8182
2014-04-30,77.7838
2014-03-31,76.5361
2014-02-28,75.3414
2014-01-31,74.0045
2013-12-31,72.5310
2013-11-29,71.5345
2013-10-31,69.6845
2013-09-30,67.6120
2013-08-30,67.3192
2013-07-31,67.2136
2013-06-28,66.2271
2013-05-31,65.2889
2013-04-30,64.3231
2013-03-28,62.1263
2013-02-28,60.2740
2013-01-31,58.7292
2012-12-31,57.5969
2012-11-30,57.0180
2012-10-31,56.2235
2012-09-28,55.6090
2012-08-31,54.4919
2012-07-31,53.5856
2012-06-29,51.9626
2012-05-31,50.4678
2012-04-30,49.4418
2012-03-30,48.3236
2012-02-29,47.6635
2012-01-31,47.1278
2011-12-30,46.6745
2011-11-30,45.8151
2011-10-31,45.1910
2011-09-30,44.6943
2011-08-31,43.8907
2011-07-29,43.2940
2011-06-30,43.1333
2011-05-31,42.7574
2011-04-29,42.1457
2011-03-31,41.7297
2011-02-28,41.3383
2011-01-31,40.8714
2010-12-31,40.4722
2010-11-30,40.2319
2010-10-29,40.2021
2010-09-30,39.9556
2010-08-31,39.4065
2010-07-30,38.9218
2010-06-30,38.3696
2010-05-28,38.1956
2010-04-30,38.0659
2010-03-31,37.8279
2010-02-26,37.3070
2010-01-29,37.0680
2009-12-31,36.9655
2009-11-30,36.2335
2009-10-30,35.1039
2009-09-30,34.3928
2009-08-31,33.8271
2009-07-31,33.0154
2009-06-30,32.3001
2009-05-29,32.2553
2009-04-30,32.3549
2009-03-31,32.8513
2009-02-27,33.8706
2009-01-30,35.0628
2008-12-31,35.9335
2008-11-28,36.8271
2008-10-31,37.3196
2008-09-30,37.4558
2008-08-29,37.1497
2008-07-31,37.2721
2008-06-30,37.9293
2008-05-30,38.4754
2008-04-30,38.6895
2008-03-31,38.9263
2008-02-29,39.1425
2008-01-31,39.4004
2007-12-31,39.6574
2007-11-30,39.4910
2007-10-31,39.2951
2007-09-28,38.9168
2007-08-31,38.5355
2007-07-31,38.3391
2007-06-29,38.2802
2007-05-31,38.2567
2007-04-30,37.7766
2007-03-30,37.1631
2007-02-28,36.7526
2007-01-31,36.3803
2006-12-29,35.7495
2006-11-30,35.1606
2006-10-31,34.6869
2006-09-29,34.1018
2006-08-31,33.5313
2006-07-31,33.1262
2006-06-30,32.9342
2006-05-31,32.6191
2006-04-28,32.4227
2006-03-31,32.4452
2006-02-28,32.5623
2006-01-31,32.5960
2005-12-30,32.8879
2005-11-30,32.9367
2005-10-31,33.1329
2005-09-30,33.6312
2005-08-31,33.9154
2005-07-29,33.9799
2005-06-30,33.8861
2005-05-31,33.9117
2005-04-29,33.7875
2005-03-31,33.8596
2005-02-28,33.5571
2005-01-31,33.2109
2004-12-31,32.8434
2004-11-30,32.3587
2004-10-29,32.1917
2004-09-30,32.4433
2004-08-31,32.1818
2004-07-30,31.6636
2004-06-30,31.3327
2004-05-28,30.7201
2004-04-30,30.0150
2004-03-31,29.2047
2004-02-27,28.4829
2004-01-30,27.4656
2003-12-31,26.8607
2003-11-28,26.1180
2003-10-31,25.8005
2003-09-30,25.5716
2003-08-29,25.4601
2003-07-31,25.3849
2003-06-30,25.5969
2003-05-30,25.4365
2003-04-30,25.3017
2003-03-31,25.3776
2003-02-28,25.9507
2003-01-31,26.6487
2002-12-31,27.4477
2002-11-29,28.2970
2002-10-31,29.0523
2002-09-30,29.8457
2002-08-30,30.2502
2002-07-31,30.4260
2002-06-28,30.5084
2002-05-31,30.5053
2002-04-30,30.2145
2002-03-28,29.8373
2002-02-28,29.4274
2002-01-31,29.1820
2001-12-31,29.1313
2001-11-30,29.1236
2001-10-31,29.3210
2001-09-28,29.8492
2001-08-31,29.7947
2001-07-31,29.7515
2001-06-29,29.8319
2001-05-31,30.4575
2001-04-30,30.7636
2001-03-30,31.2500
2001-02-28,30.9432
2001-01-31,30.2061
2000-12-29,30.0239
2000-11-30,29.1688
2000-10-31,28.2331
2000-09-29,27.5073
