,EMA_monthly_10
2022-04-04,114.3810
2022-03-31,117.2723
2022-02-28,121.8928
2022-01-31,124.6845
2021-12-31,127.6877
2021-11-30,127.1228
2021-10-29,123.9834
2021-09-30,121.1086
2021-08-31,119.5861
2021-07-30,118.3363
2021-06-30,114.8666
2021-05-28,111.6926
2021-04-30,110.9153
2021-03-31,105.9543
2021-02-26,100.0197
2021-01-29,95.6885
2020-12-31,90.7793
2020-11-30,89.9614
2020-10-30,89.1795
2020-09-30,89.7882
2020-08-31,89.3167
2020-07-31,85.4027
2020-06-30,82.8322
2020-05-29,81.3393
2020-04-30,79.8481
2020-03-31,81.2254
2020-02-28,87.3133
2020-01-31,87.3140
2019-12-31,85.1527
2019-11-29,84.5933
2019-10-31,81.7785
2019-09-30,79.2470
2019-08-30,77.3019
2019-07-31,75.9734
2019-06-28,73.3542
2019-05-31,70.3596
2019-04-30,68.5995
2019-03-29,66.5416
2019-02-28,65.8175
2019-01-31,66.6437
2018-12-31,68.3911
2018-11-30,69.6492
2018-10-31,70.4445
2018-09-28,71.0078
2018-08-31,70.1939
2018-07-31,68.4481
2018-06-29,67.0633
2018-05-31,65.7729
2018-04-30,65.0735
2018-03-29,65.6454
2018-02-28,66.4688
2018-01-31,67.4797
2017-12-29,66.6152
2017-11-30,67.1674
2017-10-31,66.7802
2017-09-29,64.9313
2017-08-31,62.5139
2017-07-31,61.4836
2017-06-30,60.4244
2017-05-31,59.8387
2017-04-28,59.1740
2017-03-31,59.3238
2017-02-28,59.3468
2017-01-31,58.1928
2016-12-30,56.3001
2016-11-30,54.5023
2016-10-31,53.7717
2016-09-30,54.6232
2016-08-31,54.9062
2016-07-29,54.0075
2016-06-30,53.0625
2016-05-31,53.9587
2016-04-29,54.0250
2016-03-31,54.2639
2016-02-29,54.9670
2016-01-29,56.9019
2015-12-31,59.7290
2015-11-30,61.0088
2015-10-30,61.8330
2015-09-30,62.4603
2015-08-31,63.1582
2015-07-31,63.6378
2015-06-30,63.4440
2015-05-29,62.8293
2015-04-30,61.0047
2015-03-31,59.4257
2015-02-27,57.2959
2015-01-30,55.1149
2014-12-31,53.5627
2014-11-28,50.6700
2014-10-31,49.2677
2014-09-30,47.7917
2014-08-29,48.0898
2014-07-31,47.1320
2014-06-30,46.7591
2014-05-30,45.5923
2014-04-30,45.8772
2014-03-31,46.3433
2014-02-28,46.2418
2014-01-31,45.7555
2013-12-31,45.8990
2013-11-29,45.6499
2013-10-31,44.6054
2013-09-30,44.0755
2013-08-30,43.0989
2013-07-31,42.1076
2013-06-28,40.5670
2013-05-31,39.3242
2013-04-30,37.6695
2013-03-28,35.8094
2013-02-28,34.5004
2013-01-31,33.6316
2012-12-31,32.3453
2012-11-30,31.1909
2012-10-31,30.0645
2012-09-28,29.2455
2012-08-31,29.4556
2012-07-31,29.2035
2012-06-29,29.5087
2012-05-31,30.3017
2012-04-30,30.7665
2012-03-30,30.7435
2012-02-29,29.8754
2012-01-31,29.6944
2011-12-30,29.5310
2011-11-30,29.3201
2011-10-31,29.4445
2011-09-30,29.3077
2011-08-31,30.5206
2011-07-29,31.0563
2011-06-30,30.8532
2011-05-31,30.3606
2011-04-29,30.5163
2011-03-31,29.5865
2011-02-28,29.0280
2011-01-31,27.6187
2010-12-31,26.5006
2010-11-30,25.3052
2010-10-29,23.6174
2010-09-30,21.9791
2010-08-31,20.6722
2010-07-30,20.8371
2010-06-30,20.7787
2010-05-28,20.9740
2010-04-30,20.8060
2010-03-31,19.9695
2010-02-26,18.8250
2010-01-29,18.5216
2009-12-31,18.0531
2009-11-30,16.6760
2009-10-30,15.9640
2009-09-30,15.1405
2009-08-31,13.8606
2009-07-31,13.0941
2009-06-30,12.4194
2009-05-29,11.9126
2009-04-30,12.0687
2009-03-31,11.9151
2009-02-27,11.7985
2009-01-30,12.3248
2008-12-31,13.2259
2008-11-28,14.4138
2008-10-31,15.9258
2008-09-30,17.1049
2008-08-29,17.7948
2008-07-31,18.4604
2008-06-30,19.5849
2008-05-30,20.7837
2008-04-30,21.0335
2008-03-31,21.0965
2008-02-29,21.4690
2008-01-31,22.1599
2007-12-31,22.1710
2007-11-30,22.7090
2007-10-31,22.6732
2007-09-28,23.0739
2007-08-31,23.6837
2007-07-31,23.9112
2007-06-29,23.9070
2007-05-31,23.5530
2007-04-30,23.4537
2007-03-30,23.1278
2007-02-28,22.8140
2007-01-31,22.0282
2006-12-29,20.5422
2006-11-30,19.1483
2006-10-31,18.2768
2006-09-29,17.4161
2006-08-31,16.6519
2006-07-31,16.1646
2006-06-30,15.8900
2006-05-31,15.4811
2006-04-28,15.3869
2006-03-31,14.8829
2006-02-28,14.5591
2006-01-31,14.3034
2005-12-30,14.1608
2005-11-30,14.2321
2005-10-31,14.3481
2005-09-30,14.5510
2005-08-31,14.3101
2005-07-29,13.9501
2005-06-30,13.8035
2005-05-31,13.9098
2005-04-29,14.1642
2005-03-31,14.2807
2005-02-28,13.9542
2005-01-31,13.3885
2004-12-31,13.1492
2004-11-30,12.6213
2004-10-29,12.3315
2004-09-30,12.1452
2004-08-31,12.4497
2004-07-30,13.0408
2004-06-30,13.6276
2004-05-28,14.2260
2004-04-30,14.8462
2004-03-31,15.2653
2004-02-27,15.4132
2004-01-30,15.0605
2003-12-31,14.7018
