,EMA_monthly_10
2022-04-04,39.5929
2022-03-31,40.4313
2022-02-28,41.6827
2022-01-31,42.8011
2021-12-31,43.5596
2021-11-30,44.1988
2021-10-29,45.2390
2021-09-30,45.1057
2021-08-31,45.3799
2021-07-30,45.0372
2021-06-30,44.6960
2021-05-28,43.4645
2021-04-30,41.3602
2021-03-31,39.9340
2021-02-26,39.0502
2021-01-29,38.5534
2020-12-31,38.4274
2020-11-30,37.5738
2020-10-30,36.8748
2020-09-30,36.3080
2020-08-31,35.7328
2020-07-31,35.1421
2020-06-30,34.6093
2020-05-29,34.9861
2020-04-30,36.4722
2020-03-31,37.3552
2020-02-28,40.1715
2020-01-31,41.0535
2019-12-31,40.5229
2019-11-29,39.2172
2019-10-31,37.4003
2019-09-30,35.3850
2019-08-30,35.0072
2019-07-31,35.3707
2019-06-28,35.2606
2019-05-31,35.4451
2019-04-30,36.3152
2019-03-29,36.6188
2019-02-28,36.4257
2019-01-31,35.6366
2018-12-31,35.5445
2018-11-30,36.4334
2018-10-31,37.0303
2018-09-28,38.2303
2018-08-31,38.2489
2018-07-31,38.0250
2018-06-29,38.1102
2018-05-31,38.0090
2018-04-30,38.5940
2018-03-29,39.4518
2018-02-28,39.7749
2018-01-31,40.4036
2017-12-29,40.5957
2017-11-30,40.6001
2017-10-31,40.5799
2017-09-29,40.7389
2017-08-31,40.8451
2017-07-31,41.3725
2017-06-30,41.6060
2017-05-31,41.0824
2017-04-28,40.6032
2017-03-31,39.9214
2017-02-28,39.4981
2017-01-31,39.2539
2016-12-30,39.2232
2016-11-30,38.9729
2016-10-31,38.8766
2016-09-30,39.1560
2016-08-31,39.5521
2016-07-29,38.8448
2016-06-30,37.9640
2016-05-31,37.1516
2016-04-29,36.3747
2016-03-31,35.5995
2016-02-29,34.8120
2016-01-29,34.5766
2015-12-31,34.8511
2015-11-30,35.0956
2015-10-30,34.6380
2015-09-30,34.3569
2015-08-31,34.6830
2015-07-31,34.5767
2015-06-30,33.8504
2015-05-29,32.8097
2015-04-30,31.8360
2015-03-31,31.4868
2015-02-27,30.4271
2015-01-30,29.3689
2014-12-31,28.4955
2014-11-28,27.4315
2014-10-31,26.2754
2014-09-30,25.3293
2014-08-29,24.9414
2014-07-31,24.4907
2014-06-30,24.3309
2014-05-30,23.8829
2014-04-30,23.4481
2014-03-31,23.0961
2014-02-28,22.7032
2014-01-31,22.3730
2013-12-31,22.3098
2013-11-29,22.0784
2013-10-31,21.9700
2013-09-30,21.9154
2013-08-30,21.7807
2013-07-31,21.8669
2013-06-28,21.5629
2013-05-31,21.2440
2013-04-30,20.7525
2013-03-28,20.1127
2013-02-28,19.0798
2013-01-31,18.3830
2012-12-31,17.7154
2012-11-30,17.2578
2012-10-31,16.6445
2012-09-28,16.1059
2012-08-31,15.6839
2012-07-31,15.4219
2012-06-29,15.1901
2012-05-31,15.2304
2012-04-30,15.3783
2012-03-30,15.4064
2012-02-29,15.2477
2012-01-31,15.1551
2011-12-30,15.2219
2011-11-30,15.0605
2011-10-31,15.0081
2011-09-30,15.0169
2011-08-31,15.3482
2011-07-29,15.4336
2011-06-30,15.6114
2011-05-31,15.4271
2011-04-29,15.0293
2011-03-31,14.4748
2011-02-28,14.0623
2011-01-31,13.8107
2010-12-31,13.5808
2010-11-30,13.2661
2010-10-29,13.2193
2010-09-30,13.2083
2010-08-31,12.8507
2010-07-30,12.9674
2010-06-30,12.8715
2010-05-28,12.8658
2010-04-30,12.4363
2010-03-31,11.7347
2010-02-26,11.2856
2010-01-29,11.1489
2009-12-31,11.0782
2009-11-30,10.6931
2009-10-30,10.3880
2009-09-30,10.0331
2009-08-31,9.5896
2009-07-31,9.2407
2009-06-30,8.9365
2009-05-29,8.8527
2009-04-30,8.8563
2009-03-31,8.9035
2009-02-27,9.1444
2009-01-30,9.6811
2008-12-31,10.1983
2008-11-28,10.4773
2008-10-31,10.9281
2008-09-30,11.1242
2008-08-29,10.7941
2008-07-31,10.3543
2008-06-30,10.1741
2008-05-30,10.3014
2008-04-30,10.1938
2008-03-31,10.3760
2008-02-29,10.7682
2008-01-31,11.0996
2007-12-31,11.2232
2007-11-30,11.5643
2007-10-31,11.6258
2007-09-28,11.8410
2007-08-31,12.1370
2007-07-31,12.3707
2007-06-29,12.6165
2007-05-31,12.7575
2007-04-30,12.6601
2007-03-30,12.6550
2007-02-28,12.7505
2007-01-31,12.7516
2006-12-29,12.7018
2006-11-30,12.6813
2006-10-31,12.6907
2006-09-29,12.7529
2006-08-31,12.6306
2006-07-31,12.7336
2006-06-30,12.8864
2006-05-31,12.8198
2006-04-28,12.7109
2006-03-31,12.4451
2006-02-28,12.3718
2006-01-31,12.4042
2005-12-30,12.3118
2005-11-30,12.3909
2005-10-31,12.4455
2005-09-30,12.9077
2005-08-31,13.4541
2005-07-29,13.6797
2005-06-30,13.8322
2005-05-31,13.8712
2005-04-29,13.9309
2005-03-31,13.9675
2005-02-28,13.7944
2005-01-31,13.7363
2004-12-31,13.5715
2004-11-30,13.3780
2004-10-29,12.9980
2004-09-30,12.7268
2004-08-31,12.3986
2004-07-30,12.1494
2004-06-30,11.8269
2004-05-28,11.4708
2004-04-30,11.2119
2004-03-31,11.1933
2004-02-27,11.0471
2004-01-30,10.8002
2003-12-31,10.4796
2003-11-28,10.4201
2003-10-31,10.5046
2003-09-30,10.5475
2003-08-29,10.5188
2003-07-31,10.3318
2003-06-30,10.2144
2003-05-30,10.2496
2003-04-30,10.1353
2003-03-31,10.1494
2003-02-28,10.4236
2003-01-31,10.6895
2002-12-31,10.8918
2002-11-29,10.8980
2002-10-31,10.7667
2002-09-30,10.9291
2002-08-30,11.2411
2002-07-31,11.2767
2002-06-28,11.3904
2002-05-31,11.4325
2002-04-30,11.1866
2002-03-28,10.8882
2002-02-28,10.6823
2002-01-31,10.3532
2001-12-31,10.1007
2001-11-30,9.9217
2001-10-31,9.8580
2001-09-28,9.7770
2001-08-31,9.9055
2001-07-31,9.6411
2001-06-29,9.2833
2001-05-31,9.0483
2001-04-30,8.7725
2001-03-30,8.7082
2001-02-28,8.6482
2001-01-31,8.5635
2000-12-29,8.3012
2000-11-30,8.1930
2000-10-31,8.3319
2000-09-29,8.5060
