,EMA_monthly_10
2022-04-04,389.0743
2022-03-31,398.7553
2022-02-28,411.7675
2022-01-31,418.5092
2021-12-31,435.1054
2021-11-30,440.5757
2021-10-29,460.2546
2021-09-30,472.0369
2021-08-31,483.7758
2021-07-30,485.8932
2021-06-30,488.7916
2021-05-28,494.8949
2021-04-30,501.7021
2021-03-31,505.3336
2021-02-26,507.6833
2021-01-29,497.7435
2020-12-31,489.0880
2020-11-30,471.9366
2020-10-30,457.8946
2020-09-30,440.9382
2020-08-31,432.8283
2020-07-31,421.9579
2020-06-30,402.0294
2020-05-29,381.1447
2020-04-30,353.9311
2020-03-31,332.5806
2020-02-28,333.3954
2020-01-31,336.2022
2019-12-31,333.2085
2019-11-29,324.0801
2019-10-31,307.5018
2019-09-30,295.0886
2019-08-30,288.9185
2019-07-31,266.0161
2019-06-28,251.4045
2019-05-31,236.9628
2019-04-30,224.4742
2019-03-29,213.5844
2019-02-28,207.3164
2019-01-31,200.1359
2018-12-31,197.8217
2018-11-30,195.7471
2018-10-31,191.8128
2018-09-28,188.8524
2018-08-31,192.0133
2018-07-31,193.4132
2018-06-29,194.3602
2018-05-31,194.6304
2018-04-30,191.5355
2018-03-29,191.0998
2018-02-28,186.4953
2018-01-31,184.1235
2017-12-29,182.6567
2017-11-30,179.6672
2017-10-31,177.4132
2017-09-29,179.3223
2017-08-31,179.3896
2017-07-31,177.6521
2017-06-30,173.4583
2017-05-31,168.7179
2017-04-28,165.1885
2017-03-31,160.5304
2017-02-28,155.9179
2017-01-31,148.6174
2016-12-30,141.4791
2016-11-30,141.4052
2016-10-31,137.2717
2016-09-30,135.4939
2016-08-31,130.1456
2016-07-29,122.9770
2016-06-30,115.7443
2016-05-31,110.3805
2016-04-29,104.9920
2016-03-31,102.1325
2016-02-29,98.1960
2016-01-29,94.7437
2015-12-31,91.0602
2015-11-30,87.5456
2015-10-30,84.2738
2015-09-30,81.4826
2015-08-31,79.8319
2015-07-31,78.3666
2015-06-30,75.0510
2015-05-29,72.0647
2015-04-30,69.3305
2015-03-31,66.5835
2015-02-27,63.8498
2015-01-30,61.2085
2014-12-31,58.7856
2014-11-28,56.7228
2014-10-31,55.4968
2014-09-30,54.2259
2014-08-29,53.2596
2014-07-31,52.6973
2014-06-30,52.6097
2014-05-30,52.9580
2014-04-30,53.5327
2014-03-31,54.1675
2014-02-28,53.8159
2014-01-31,53.4237
2013-12-31,52.2050
2013-11-29,49.8417
2013-10-31,46.2350
2013-09-30,42.9261
2013-08-30,39.9806
2013-07-31,38.2950
2013-06-28,36.0656
2013-05-31,34.3689
2013-04-30,32.9995
2013-03-28,31.5678
2013-02-28,30.8577
2013-01-31,29.6254
2012-12-31,28.4047
2012-11-30,27.4310
2012-10-31,27.4042
2012-09-28,27.3179
2012-08-31,27.1394
2012-07-31,26.7315
2012-06-29,26.7174
2012-05-31,27.4056
2012-04-30,27.1335
2012-03-30,26.4258
2012-02-29,24.9756
2012-01-31,24.0220
2011-12-30,23.2814
2011-11-30,22.5625
2011-10-31,21.9128
2011-09-30,21.0793
2011-08-31,20.6868
2011-07-29,19.5320
2011-06-30,18.7926
2011-05-31,18.0969
2011-04-29,17.4605
2011-03-31,16.6261
2011-02-28,15.6372
2011-01-31,14.9708
2010-12-31,14.4163
2010-11-30,13.6074
2010-10-29,13.1240
2010-09-30,12.5503
2010-08-31,12.0776
2010-07-30,11.8245
2010-06-30,11.7332
2010-05-28,11.7037
2010-04-30,11.4822
2010-03-31,11.0316
2010-02-26,10.4885
2010-01-29,9.9751
2009-12-31,9.6093
2009-11-30,9.1110
2009-10-30,8.7767
2009-09-30,8.4888
2009-08-31,8.1086
2009-07-31,7.8210
2009-06-30,7.5882
2009-05-29,7.4790
2009-04-30,7.1532
2009-03-31,6.9360
2009-02-27,7.0378
2009-01-30,7.1152
2008-12-31,7.2418
2008-11-28,7.3137
2008-10-31,7.7331
2008-09-30,8.3739
2008-08-29,8.7143
2008-07-31,8.7573
2008-06-30,8.8795
2008-05-30,9.4283
2008-04-30,10.0502
2008-03-31,10.6274
2008-02-29,11.1162
2008-01-31,11.8211
2007-12-31,12.6675
2007-11-30,13.0652
2007-10-31,13.2630
2007-09-28,13.2579
2007-08-31,13.3779
2007-07-31,13.0668
2007-06-29,12.8410
2007-05-31,12.3051
2007-04-30,11.7103
2007-03-30,11.2265
2007-02-28,10.5672
2007-01-31,10.2740
2006-12-29,10.1699
2006-11-30,9.8732
2006-10-31,9.3541
2006-09-29,9.3132
2006-08-31,9.4101
2006-07-31,9.7264
2006-06-30,9.9735
2006-05-31,10.1155
2006-04-28,10.3002
2006-03-31,10.4865
2006-02-28,10.5503
2006-01-31,10.4172
2005-12-30,10.3016
2005-11-30,10.4373
2005-10-31,10.4562
2005-09-30,10.4548
