,EMA_monthly_10
2022-04-04,158.0281
2022-03-31,155.1233
2022-02-28,151.7240
2022-01-31,150.9049
2021-12-31,150.2971
2021-11-30,145.2035
2021-10-29,141.1483
2021-09-30,135.5762
2021-08-31,132.2839
2021-07-30,126.9864
2021-06-30,122.7143
2021-05-28,119.0505
2021-04-30,115.0849
2021-03-31,110.8208
2021-02-26,108.7651
2021-01-29,107.6941
2020-12-31,107.5483
2020-11-30,105.9250
2020-10-30,104.4557
2020-09-30,105.0988
2020-08-31,103.5342
2020-07-31,101.5764
2020-06-30,98.8163
2020-05-29,97.5424
2020-04-30,96.2992
2020-03-31,96.6384
2020-02-28,99.5020
2020-01-31,99.1057
2019-12-31,97.0500
2019-11-29,94.7286
2019-10-31,92.6076
2019-09-30,90.9693
2019-08-30,89.8335
2019-07-31,88.4793
2019-06-28,87.0568
2019-05-31,85.2104
2019-04-30,83.8353
2019-03-29,82.4329
2019-02-28,80.8906
2019-01-31,79.1918
2018-12-31,78.1371
2018-11-30,78.7174
2018-10-31,77.5431
2018-09-28,76.9391
2018-08-31,76.7168
2018-07-31,76.0452
2018-06-29,75.4902
2018-05-31,75.1862
2018-04-30,75.1480
2018-03-29,74.8658
2018-02-28,74.3736
2018-01-31,73.6827
2017-12-29,72.7346
2017-11-30,72.0929
2017-10-31,70.7841
2017-09-29,69.8038
2017-08-31,68.0888
2017-07-31,67.1704
2017-06-30,66.0705
2017-05-31,64.8046
2017-04-28,63.3392
2017-03-31,62.2499
2017-02-28,61.0373
2017-01-31,59.6388
2016-12-30,59.0412
2016-11-30,58.4673
2016-10-31,57.4174
2016-09-30,57.3336
2016-08-31,56.5186
2016-07-29,55.4459
2016-06-30,54.5137
2016-05-31,52.8980
2016-04-29,51.4025
2016-03-31,50.1604
2016-02-29,49.1775
2016-01-29,48.7223
2015-12-31,48.9083
2015-11-30,48.7791
2015-10-30,48.6509
2015-09-30,48.4070
2015-08-31,48.8671
2015-07-31,49.1316
2015-06-30,48.6248
2015-05-29,48.3111
2015-04-30,47.6276
2015-03-31,47.1982
2015-02-27,46.7409
2015-01-30,46.0258
2014-12-31,45.7607
2014-11-28,44.8139
2014-10-31,43.7830
2014-09-30,42.9541
2014-08-29,42.3906
2014-07-31,41.5550
2014-06-30,40.9837
2014-05-30,40.1367
2014-04-30,39.3992
2014-03-31,38.6822
2014-02-28,37.8571
2014-01-31,37.0664
2013-12-31,36.5683
2013-11-29,35.5033
2013-10-31,34.3747
2013-09-30,33.3088
2013-08-30,32.4823
2013-07-31,31.9104
2013-06-28,31.0905
2013-05-31,30.5028
2013-04-30,29.7656
2013-03-28,29.2421
2013-02-28,28.6535
2013-01-31,28.0891
2012-12-31,27.7090
2012-11-30,27.4751
2012-10-31,27.0501
2012-09-28,26.7514
2012-08-31,26.4466
2012-07-31,26.0300
2012-06-29,25.6975
2012-05-31,25.5135
2012-04-30,25.3343
2012-03-30,24.8465
2012-02-29,24.4115
2012-01-31,24.1687
2011-12-30,23.8010
2011-11-30,23.3857
2011-10-31,23.1362
2011-09-30,22.7535
2011-08-31,23.0586
2011-07-29,22.8642
2011-06-30,22.6677
2011-05-31,22.1622
2011-04-29,21.6366
2011-03-31,21.0636
2011-02-28,20.4839
2011-01-31,19.6642
2010-12-31,19.1142
2010-11-30,18.5732
2010-10-29,18.3079
2010-09-30,18.0012
2010-08-31,17.8139
2010-07-30,17.6544
2010-06-30,17.4942
2010-05-28,17.5008
2010-04-30,17.6361
2010-03-31,17.3868
2010-02-26,17.0821
2010-01-29,16.9146
2009-12-31,16.9932
2009-11-30,17.0347
2009-10-30,17.0060
2009-09-30,16.8169
2009-08-31,16.4052
2009-07-31,16.1017
2009-06-30,16.2542
2009-05-29,16.5249
2009-04-30,17.0566
2009-03-31,17.3463
2009-02-27,17.8735
2009-01-30,18.8990
2008-12-31,19.9225
2008-11-28,20.4010
2008-10-31,20.7857
2008-09-30,20.6409
2008-08-29,20.0971
2008-07-31,19.4050
2008-06-30,19.1535
2008-05-30,19.1529
2008-04-30,19.0432
2008-03-31,18.8513
2008-02-29,19.1669
2008-01-31,19.3745
2007-12-31,19.2973
2007-11-30,19.4054
2007-10-31,19.7508
2007-09-28,20.0512
2007-08-31,20.5093
2007-07-31,20.8888
2007-06-29,21.2115
2007-05-31,21.1131
2007-04-30,20.6890
2007-03-30,20.3373
2007-02-28,20.3214
2007-01-31,20.2820
2006-12-29,20.2213
2006-11-30,19.9971
2006-10-31,19.6060
2006-09-29,19.4328
2006-08-31,19.4461
2006-07-31,19.7668
2006-06-30,20.0257
2006-05-31,20.3898
2006-04-28,20.6616
2006-03-31,20.5927
2006-02-28,20.7330
2006-01-31,20.6704
2005-12-30,20.6724
2005-11-30,20.4932
2005-10-31,20.4049
2005-09-30,20.5585
2005-08-31,20.5863
2005-07-29,20.9699
2005-06-30,21.3013
2005-05-31,21.9213
2005-04-29,22.4801
2005-03-31,23.3131
2005-02-28,24.0017
2005-01-31,24.5410
2004-12-31,25.2221
2004-11-30,25.9958
2004-10-29,27.5744
2004-09-30,29.6404
2004-08-31,29.5567
2004-07-30,29.6104
2004-06-30,29.7212
2004-05-28,29.7603
2004-04-30,29.9904
2004-03-31,30.1298
2004-02-27,30.1716
2004-01-30,29.9798
2003-12-31,29.8977
2003-11-28,29.6594
2003-10-31,29.9049
2003-09-30,30.4464
2003-08-29,30.4581
2003-07-31,30.1334
2003-06-30,29.7904
2003-05-30,29.2071
2003-04-30,28.6267
2003-03-31,28.2630
2003-02-28,28.5669
2003-01-31,29.2090
2002-12-31,29.7232
2002-11-29,29.8877
2002-10-31,29.9507
2002-09-30,30.0960
2002-08-30,31.0204
2002-07-31,31.1799
2002-06-28,31.4787
2002-05-31,31.8274
2002-04-30,31.9577
2002-03-28,32.1033
2002-02-28,31.5191
2002-01-31,31.2914
2001-12-31,31.2664
2001-11-30,30.8895
2001-10-31,30.4629
2001-09-28,30.6400
2001-08-31,30.8930
2001-07-31,31.4599
2001-06-29,31.6442
2001-05-31,31.8645
2001-04-30,31.8708
2001-03-30,32.4490
2001-02-28,33.2853
2001-01-31,33.5044
2000-12-29,33.6918
2000-11-30,33.3653
2000-10-31,33.0931
2000-09-29,31.7120
