,EMA_monthly_10
2022-04-04,78.3208
2022-03-31,77.1721
2022-02-28,76.0881
2022-01-31,76.1284
2021-12-31,75.0984
2021-11-30,74.9055
2021-10-29,75.2039
2021-09-30,72.7011
2021-08-31,72.4660
2021-07-30,72.0698
2021-06-30,71.4602
2021-05-28,70.5205
2021-04-30,70.6640
2021-03-31,71.1238
2021-02-26,71.1559
2021-01-29,72.2381
2020-12-31,72.6581
2020-11-30,72.2120
2020-10-30,72.0837
2020-09-30,72.9692
2020-08-31,72.4940
2020-07-31,71.5699
2020-06-30,71.4453
2020-05-29,71.8743
2020-04-30,71.8493
2020-03-31,72.0922
2020-02-28,72.8647
2020-01-31,74.0039
2019-12-31,73.6503
2019-11-29,72.1347
2019-10-31,71.1400
2019-09-30,70.0258
2019-08-30,69.1483
2019-07-31,67.7403
2019-06-28,66.6945
2019-05-31,65.2494
2019-04-30,64.4847
2019-03-29,63.6465
2019-02-28,61.7626
2019-01-31,59.9272
2018-12-31,58.9972
2018-11-30,57.4815
2018-10-31,55.1765
2018-09-28,53.4483
2018-08-31,51.8435
2018-07-31,50.4175
2018-06-29,49.1881
2018-05-31,48.6613
2018-04-30,48.3252
2018-03-29,48.0380
2018-02-28,48.5111
2018-01-31,49.2244
2017-12-29,49.1622
2017-11-30,49.6395
2017-10-31,50.4958
2017-09-29,51.5755
2017-08-31,51.2493
2017-07-31,50.9649
2017-06-30,50.6136
2017-05-31,50.1459
2017-04-28,49.4756
2017-03-31,49.1608
2017-02-28,48.5564
2017-01-31,47.4819
2016-12-30,46.8675
2016-11-30,46.6785
2016-10-31,46.1129
2016-09-30,45.8631
2016-08-31,44.8982
2016-07-29,43.7338
2016-06-30,43.0436
2016-05-31,42.3862
2016-04-29,41.9035
2016-03-31,41.5635
2016-02-29,41.4876
2016-01-29,41.9458
2015-12-31,42.4255
2015-11-30,42.6367
2015-10-30,42.9425
2015-09-30,43.0309
2015-08-31,44.0505
2015-07-31,44.6050
2015-06-30,44.4064
2015-05-29,44.5118
2015-04-30,44.0407
2015-03-31,43.6913
2015-02-27,43.6182
2015-01-30,43.4276
2014-12-31,42.9009
2014-11-28,42.8464
2014-10-31,42.2471
2014-09-30,41.9268
2014-08-29,41.3108
2014-07-31,40.4920
2014-06-30,40.0518
2014-05-30,39.3291
2014-04-30,38.5163
2014-03-31,37.4074
2014-02-28,36.3475
2014-01-31,35.0893
2013-12-31,34.2101
2013-11-29,33.6139
2013-10-31,32.9948
2013-09-30,33.0076
2013-08-30,32.6143
2013-07-31,32.2538
2013-06-28,31.6716
2013-05-31,31.2367
2013-04-30,30.7318
2013-03-28,30.0669
2013-02-28,29.7006
2013-01-31,29.5525
2012-12-31,29.2893
2012-11-30,29.3325
2012-10-31,28.9223
2012-09-28,28.2131
2012-08-31,27.4299
2012-07-31,26.8552
2012-06-29,25.9793
2012-05-31,25.2836
2012-04-30,25.1425
2012-03-30,24.7156
2012-02-29,24.3227
2012-01-31,23.9411
2011-12-30,23.4595
2011-11-30,22.9574
2011-10-31,22.7035
2011-09-30,22.5805
2011-08-31,22.6999
2011-07-29,22.8452
2011-06-30,22.8696
2011-05-31,22.7278
2011-04-29,22.3961
2011-03-31,22.1080
2011-02-28,22.1863
2011-01-31,22.4013
2010-12-31,22.5772
2010-11-30,22.3767
2010-10-29,22.4109
2010-09-30,22.1890
2010-08-31,21.8463
2010-07-30,21.7161
2010-06-30,21.6561
2010-05-28,21.5106
2010-04-30,21.5657
2010-03-31,21.4437
2010-02-26,20.9706
2010-01-29,20.5110
2009-12-31,19.7688
2009-11-30,19.0894
2009-10-30,18.3558
2009-09-30,18.1848
2009-08-31,17.8795
2009-07-31,17.4508
2009-06-30,17.2553
2009-05-29,17.2945
2009-04-30,17.4469
2009-03-31,18.0801
2009-02-27,18.5181
2009-01-30,19.4469
2008-12-31,20.0094
2008-11-28,20.4534
2008-10-31,21.5303
2008-09-30,22.2975
2008-08-29,23.1559
2008-07-31,23.7219
2008-06-30,24.7693
2008-05-30,25.4344
2008-04-30,26.1336
2008-03-31,27.1051
2008-02-29,28.3040
2008-01-31,29.0111
2007-12-31,29.6484
2007-11-30,28.9139
2007-10-31,27.9062
2007-09-28,26.8123
2007-08-31,26.2980
2007-07-31,25.9077
2007-06-29,25.4952
2007-05-31,24.9725
2007-04-30,24.0527
2007-03-30,23.0532
2007-02-28,22.7282
2007-01-31,22.3802
2006-12-29,21.8815
2006-11-30,21.4126
2006-10-31,20.7741
2006-09-29,19.8834
2006-08-31,19.2216
2006-07-31,18.5764
2006-06-30,17.8668
2006-05-31,17.4609
2006-04-28,17.3419
2006-03-31,17.1075
2006-02-28,16.7247
2006-01-31,16.3457
2005-12-30,15.9248
2005-11-30,15.7263
2005-10-31,15.7669
2005-09-30,15.9975
2005-08-31,16.3964
2005-07-29,16.7657
2005-06-30,16.9367
2005-05-31,17.1754
2005-04-29,17.3228
2005-03-31,17.3379
2005-02-28,17.5293
2005-01-31,17.8816
2004-12-31,18.7202
2004-11-30,19.2880
2004-10-29,20.4848
2004-09-30,21.5848
2004-08-31,22.7430
2004-07-30,22.8807
2004-06-30,23.0074
2004-05-28,22.9273
2004-04-30,22.8909
2004-03-31,22.8789
2004-02-27,23.1692
2004-01-30,23.1426
2003-12-31,23.1618
2003-11-28,23.3359
2003-10-31,24.1882
2003-09-30,24.8404
2003-08-29,24.9575
2003-07-31,25.1717
2003-06-30,25.2146
2003-05-30,24.7379
2003-04-30,24.6894
2003-03-31,24.3708
2003-02-28,24.3205
2003-01-31,24.4979
2002-12-31,24.4532
2002-11-29,24.2775
2002-10-31,23.8213
2002-09-30,23.7728
2002-08-30,24.5536
2002-07-31,25.0704
2002-06-28,25.7921
2002-05-31,26.5724
2002-04-30,26.9298
2002-03-28,27.6348
2002-02-28,28.1817
2002-01-31,28.5189
2001-12-31,29.1387
2001-11-30,29.9330
2001-10-31,30.0735
2001-09-28,30.6239
2001-08-31,31.0284
2001-07-31,31.6670
2001-06-29,32.2052
2001-05-31,33.2521
