,EMA_monthly_10
2022-04-04,31.0727
2022-03-31,28.7200
2022-02-28,26.1266
2022-01-31,24.2281
2021-12-31,22.6203
2021-11-30,21.8699
2021-10-29,20.8488
2021-09-30,19.3515
2021-08-31,18.1514
2021-07-30,17.5018
2021-06-30,16.6362
2021-05-28,15.2343
2021-04-30,13.8691
2021-03-31,13.2659
2021-02-26,12.6417
2021-01-29,11.8963
2020-12-31,11.8706
2020-11-30,11.8975
2020-10-30,12.3706
2020-09-30,13.4771
2020-08-31,14.5743
2020-07-31,14.8899
2020-06-30,15.4113
2020-05-29,15.9241
2020-04-30,16.9413
2020-03-31,18.2308
2020-02-28,21.0028
2020-01-31,21.7360
2019-12-31,22.2409
2019-11-29,21.6527
2019-10-31,21.7160
2019-09-30,22.3279
2019-08-30,22.7733
2019-07-31,24.1103
2019-06-28,24.6215
2019-05-31,25.1234
2019-04-30,25.6964
2019-03-29,25.9660
2019-02-28,25.8840
2019-01-31,25.8636
2018-12-31,26.1947
2018-11-30,27.3836
2018-10-31,27.1513
2018-09-28,26.9263
2018-08-31,26.3605
2018-07-31,26.1620
2018-06-29,25.4942
2018-05-31,24.5786
2018-04-30,24.0481
2018-03-29,23.5729
2018-02-28,23.8174
2018-01-31,24.2109
2017-12-29,23.4450
2017-11-30,22.7100
2017-10-31,22.4053
2017-09-29,22.3061
2017-08-31,22.2210
2017-07-31,22.8572
2017-06-30,22.9395
2017-05-31,23.2185
2017-04-28,23.7890
2017-03-31,24.1987
2017-02-28,24.2506
2017-01-31,24.3698
2016-12-30,24.4474
2016-11-30,24.1322
2016-10-31,23.2337
2016-09-30,23.6624
2016-08-31,23.3573
2016-07-29,23.6579
2016-06-30,23.9389
2016-05-31,23.4987
2016-04-29,23.1129
2016-03-31,21.8391
2016-02-29,22.1744
2016-01-29,24.0208
2015-12-31,25.9171
2015-11-30,27.7364
2015-10-30,28.8842
2015-09-30,30.3735
2015-08-31,32.9273
2015-07-31,34.8695
2015-06-30,36.9927
2015-05-29,38.0815
2015-04-30,39.0879
2015-03-31,39.6693
2015-02-27,40.5519
2015-01-30,40.9003
2014-12-31,42.3964
2014-11-28,43.2764
2014-10-31,44.7071
2014-09-30,45.6751
2014-08-29,46.2671
2014-07-31,46.0568
2014-06-30,45.9176
2014-05-30,45.0211
2014-04-30,44.7285
2014-03-31,44.1311
2014-02-28,43.4957
2014-01-31,43.2988
2013-12-31,43.5678
2013-11-29,42.5302
2013-10-31,41.2537
2013-09-30,40.5056
2013-08-30,39.5912
2013-07-31,38.7895
2013-06-28,37.8110
2013-05-31,37.5832
2013-04-30,36.9603
2013-03-28,36.4160
2013-02-28,35.5193
2013-01-31,34.8254
2012-12-31,34.2124
2012-11-30,33.4590
2012-10-31,32.9324
2012-09-28,32.2412
2012-08-31,32.2387
2012-07-31,32.5507
2012-06-29,32.6620
2012-05-31,33.2453
2012-04-30,34.4454
2012-03-30,34.8463
2012-02-29,35.1647
2012-01-31,34.5418
2011-12-30,34.3888
2011-11-30,34.7088
2011-10-31,35.0763
2011-09-30,35.6334
2011-08-31,37.7796
2011-07-29,39.1715
2011-06-30,39.5265
2011-05-31,39.7733
2011-04-29,39.6550
2011-03-31,38.4344
2011-02-28,37.4682
2011-01-31,36.2732
2010-12-31,35.7828
2010-11-30,34.1195
2010-10-29,32.9932
2010-09-30,31.9554
2010-08-31,31.1032
2010-07-30,31.1354
2010-06-30,31.0577
2010-05-28,31.6274
2010-04-30,31.8342
2010-03-31,31.2548
2010-02-26,31.0506
2010-01-29,31.3468
2009-12-31,31.8445
2009-11-30,32.0578
2009-10-30,32.0412
2009-09-30,31.4506
2009-08-31,31.1790
2009-07-31,30.9189
2009-06-30,30.4808
2009-05-29,30.4326
2009-04-30,29.7847
2009-03-31,30.4397
2009-02-27,31.6077
2009-01-30,33.4053
2008-12-31,35.3360
2008-11-28,37.6747
2008-10-31,40.5704
2008-09-30,43.3267
2008-08-29,45.0269
2008-07-31,45.3263
2008-06-30,45.5759
2008-05-30,43.6240
2008-04-30,41.9037
2008-03-31,40.1097
2008-02-29,38.9251
2008-01-31,37.6936
2007-12-31,37.0677
2007-11-30,34.9010
2007-10-31,33.8863
2007-09-28,32.4104
2007-08-31,31.0639
2007-07-31,30.5131
2007-06-29,29.7289
2007-05-31,29.0875
2007-04-30,28.3572
2007-03-30,27.9164
2007-02-28,27.6257
2007-01-31,27.4625
2006-12-29,27.5374
2006-11-30,27.4907
2006-10-31,27.0176
2006-09-29,27.3203
2006-08-31,27.6432
2006-07-31,27.8734
2006-06-30,27.8648
2006-05-31,27.3241
2006-04-28,27.0404
2006-03-31,27.0142
2006-02-28,27.0254
2006-01-31,27.3939
2005-12-30,26.6422
2005-11-30,26.0845
2005-10-31,25.9465
2005-09-30,26.1044
2005-08-31,25.9360
2005-07-29,25.1581
2005-06-30,24.4127
2005-05-31,23.5984
2005-04-29,23.0039
2005-03-31,22.8078
2005-02-28,21.9936
2005-01-31,20.9205
2004-12-31,20.2629
2004-11-30,19.9840
2004-10-29,19.3542
2004-09-30,18.9125
2004-08-31,17.9726
2004-07-30,17.4911
2004-06-30,16.8087
2004-05-28,16.1897
2004-04-30,15.9317
2004-03-31,15.4374
2004-02-27,15.1590
2004-01-30,14.8329
2003-12-31,14.5737
2003-11-28,13.9781
2003-10-31,13.5661
2003-09-30,13.1300
2003-08-29,12.6104
2003-07-31,12.0351
2003-06-30,11.8316
2003-05-30,11.3951
2003-04-30,11.0459
2003-03-31,11.0837
2003-02-28,10.9837
2003-01-31,10.9276
2002-12-31,10.9187
2002-11-29,10.8704
2002-10-31,10.8102
2002-09-30,10.8034
2002-08-30,10.8457
2002-07-31,10.7945
2002-06-28,10.8151
2002-05-31,10.8590
2002-04-30,10.6283
2002-03-28,10.3028
2002-02-28,9.8579
2002-01-31,9.5938
2001-12-31,9.4860
2001-11-30,9.2114
2001-10-31,9.2197
2001-09-28,9.0255
2001-08-31,8.9897
2001-07-31,8.8573
2001-06-29,8.6765
2001-05-31,8.5383
2001-04-30,8.0760
2001-03-30,7.5799
2001-02-28,7.4043
2001-01-31,7.2906
2000-12-29,7.3014
2000-11-30,7.2452
2000-10-31,7.3345
2000-09-29,7.3654
