,EMA_monthly_10
2022-04-04,285.5796
2022-03-31,284.8173
2022-02-28,282.8900
2022-01-31,269.1122
2021-12-31,261.2194
2021-11-30,247.5214
2021-10-29,235.4751
2021-09-30,221.7454
2021-08-31,210.7418
2021-07-30,200.1600
2021-06-30,194.3908
2021-05-28,183.3360
2021-04-30,168.9191
2021-03-31,150.9096
2021-02-26,134.6210
2021-01-29,116.4226
2020-12-31,105.8924
2020-11-30,99.7119
2020-10-30,97.2310
2020-09-30,101.1059
2020-08-31,105.4732
2020-07-31,107.7489
2020-06-30,109.3307
2020-05-29,110.4331
2020-04-30,112.6504
2020-03-31,114.5617
2020-02-28,122.6772
2020-01-31,122.9508
2019-12-31,119.6630
2019-11-29,116.8969
2019-10-31,116.3636
2019-09-30,116.7950
2019-08-30,117.2494
2019-07-31,118.3545
2019-06-28,117.3931
2019-05-31,117.7470
2019-04-30,119.5190
2019-03-29,117.9539
2019-02-28,117.0079
2019-01-31,114.2210
2018-12-31,112.6067
2018-11-30,115.9245
2018-10-31,115.6472
2018-09-28,118.1438
2018-08-31,120.2750
2018-07-31,122.6909
2018-06-29,126.9102
2018-05-31,128.3869
2018-04-30,130.2732
2018-03-29,132.6498
2018-02-28,132.4615
2018-01-31,131.3451
2017-12-29,128.3485
2017-11-30,128.1845
2017-10-31,127.9799
2017-09-29,129.2491
2017-08-31,131.2120
2017-07-31,133.5485
2017-06-30,134.2642
2017-05-31,134.1044
2017-04-28,134.0157
2017-03-31,134.8623
2017-02-28,133.8197
2017-01-31,130.6395
2016-12-30,126.7504
2016-11-30,123.5269
2016-10-31,119.6477
2016-09-30,121.0403
2016-08-31,123.1833
2016-07-29,125.0586
2016-06-30,127.7205
2016-05-31,129.9958
2016-04-29,130.6702
2016-03-31,130.9029
2016-02-29,131.5448
2016-01-29,133.7024
2015-12-31,134.2934
2015-11-30,132.0836
2015-10-30,128.3838
2015-09-30,125.7908
2015-08-31,124.9956
2015-07-31,124.8744
2015-06-30,122.1975
2015-05-29,118.7585
2015-04-30,115.9638
2015-03-31,113.7101
2015-02-27,111.8982
2015-01-30,110.9855
2014-12-31,111.1700
2014-11-28,109.5501
2014-10-31,108.5504
2014-09-30,107.3578
2014-08-29,107.7957
2014-07-31,106.9934
2014-06-30,106.8634
2014-05-30,104.2405
2014-04-30,103.1999
2014-03-31,101.3010
2014-02-28,97.5654
2014-01-31,91.8835
2013-12-31,86.7928
2013-11-29,83.6304
2013-10-31,80.0098
2013-09-30,76.5104
2013-08-30,74.3860
2013-07-31,72.5837
2013-06-28,69.5804
2013-05-31,67.6924
2013-04-30,66.6053
2013-03-28,66.4407
2013-02-28,64.7453
2013-01-31,63.6115
2012-12-31,62.2967
2012-11-30,61.2311
2012-10-31,60.1753
2012-09-28,58.6592
2012-08-31,57.6756
2012-07-31,56.9854
2012-06-29,56.1690
2012-05-31,55.9088
2012-04-30,55.4990
2012-03-30,54.1035
2012-02-29,52.9518
2012-01-31,52.3133
2011-12-30,51.7857
2011-11-30,50.7564
2011-10-31,49.8243
2011-09-30,49.2530
2011-08-31,50.2251
2011-07-29,49.7623
2011-06-30,48.4567
2011-05-31,47.2707
2011-04-29,45.8796
2011-03-31,43.9098
2011-02-28,41.8805
2011-01-31,40.3428
2010-12-31,38.3902
2010-11-30,36.4593
2010-10-29,35.3867
2010-09-30,34.4227
2010-08-31,33.9551
2010-07-30,33.8642
2010-06-30,33.3560
2010-05-28,32.8247
2010-04-30,32.2109
2010-03-31,30.9299
2010-02-26,30.0601
2010-01-29,28.9595
2009-12-31,28.1680
2009-11-30,27.7608
2009-10-30,27.4554
2009-09-30,26.9609
2009-08-31,26.8915
2009-07-31,26.5225
2009-06-30,26.2554
2009-05-29,26.3907
2009-04-30,26.6084
2009-03-31,26.8390
2009-02-27,26.9034
2009-01-30,27.6551
2008-12-31,28.4318
2008-11-28,28.7540
2008-10-31,28.9159
2008-09-30,28.5328
2008-08-29,27.5838
2008-07-31,27.5338
2008-06-30,27.5018
2008-05-30,28.2298
2008-04-30,28.5385
2008-03-31,29.3672
2008-02-29,30.5640
2008-01-31,31.8178
2007-12-31,31.8851
2007-11-30,31.9173
2007-10-31,31.2670
2007-09-28,31.0782
2007-08-31,30.6218
2007-07-31,30.2040
2007-06-29,30.4603
2007-05-31,30.1027
2007-04-30,29.8432
2007-03-30,29.9002
2007-02-28,29.7442
2007-01-31,29.9339
2006-12-29,29.6662
2006-11-30,29.7842
2006-10-31,29.6818
2006-09-29,29.9391
2006-08-31,30.1282
2006-07-31,29.9580
2006-06-30,29.9005
2006-05-31,29.7780
2006-04-28,28.9281
2006-03-31,27.9646
2006-02-28,27.3680
2006-01-31,26.6785
2005-12-30,26.2434
2005-11-30,26.2089
2005-10-31,26.0163
2005-09-30,25.7370
2005-08-31,25.8157
2005-07-29,25.2849
2005-06-30,24.6278
2005-05-31,25.0013
2005-04-29,25.4327
2005-03-31,25.9370
2005-02-28,26.1604
2005-01-31,25.7919
