,EMA_monthly_10
2022-04-04,300.3884
2022-03-31,292.6280
2022-02-28,286.0187
2022-01-31,278.5961
2021-12-31,287.5686
2021-11-30,289.1239
2021-10-29,280.5381
2021-09-30,264.0621
2021-08-31,263.8047
2021-07-30,258.0325
2021-06-30,257.7108
2021-05-28,253.5643
2021-04-30,252.5764
2021-03-31,250.1400
2021-02-26,241.8511
2021-01-29,229.3047
2020-12-31,216.1880
2020-11-30,193.3142
2020-10-30,174.4996
2020-09-30,156.0128
2020-08-31,137.7157
2020-07-31,119.1747
2020-06-30,106.7469
2020-05-29,99.6284
2020-04-30,90.2347
2020-03-31,85.4891
2020-02-28,86.2911
2020-01-31,77.7513
2019-12-31,73.2827
2019-11-29,68.4366
2019-10-31,65.5092
2019-09-30,61.1868
2019-08-30,56.1794
2019-07-31,50.4593
2019-06-28,47.1769
2019-05-31,43.7807
2019-04-30,41.6031
2019-03-29,41.0038
2019-02-28,41.7424
2019-01-31,41.6274
2018-12-31,41.1468
2018-11-30,42.4905
2018-10-31,43.2817
2018-09-28,44.2932
2018-08-31,45.7695
2018-07-31,45.2850
2018-06-29,43.5150
2018-05-31,42.5516
2018-04-30,39.5964
2018-03-29,36.6956
2018-02-28,33.1613
2018-01-31,29.4083
2017-12-29,27.9657
2017-11-30,25.8359
2017-10-31,23.4883
2017-09-29,21.4079
2017-08-31,19.8208
2017-07-31,18.2809
2017-06-30,17.2434
2017-05-31,16.6308
2017-04-28,16.1932
2017-03-31,16.2028
2017-02-28,16.3367
2017-01-31,16.7115
2016-12-30,17.5474
2016-11-30,18.6913
2016-10-31,19.9116
2016-09-30,21.2919
2016-08-31,22.1946
2016-07-29,23.3445
2016-06-30,24.5544
2016-05-31,25.6553
2016-04-29,26.5010
2016-03-31,26.4367
2016-02-29,26.7249
2016-01-29,27.2260
