,EMA_monthly_10
2022-04-04,436.5095
2022-03-31,437.5027
2022-02-28,438.4944
2022-01-31,442.7354
2021-12-31,457.5376
2021-11-30,444.3351
2021-10-29,438.2600
2021-09-30,419.4463
2021-08-31,405.1241
2021-07-30,384.3860
2021-06-30,362.8630
2021-05-28,343.6490
2021-04-30,328.2440
2021-03-31,306.4619
2021-02-26,289.9347
2021-01-29,274.2197
2020-12-31,263.2207
2020-11-30,251.4070
2020-10-30,240.1208
2020-09-30,237.6551
2020-08-31,235.6765
2020-07-31,231.5485
2020-06-30,222.2203
2020-05-29,213.2688
2020-04-30,202.1670
2020-03-31,197.4486
2020-02-28,199.4881
2020-01-31,202.1418
2019-12-31,200.8061
2019-11-29,197.0720
2019-10-31,192.7855
2019-09-30,189.8394
2019-08-30,188.9880
2019-07-31,188.8491
2019-06-28,184.6693
2019-05-31,179.9251
2019-04-30,176.4192
2019-03-29,170.7691
2019-02-28,165.1877
2019-01-31,159.3855
2018-12-31,156.6207
2018-11-30,159.7506
2018-10-31,159.9210
2018-09-28,158.8182
2018-08-31,149.5204
2018-07-31,140.7649
2018-06-29,137.0143
2018-05-31,135.1976
2018-04-30,132.4604
2018-03-29,129.0556
2018-02-28,124.8659
2018-01-31,121.8561
2017-12-29,118.4747
2017-11-30,116.6739
2017-10-31,113.3438
2017-09-29,110.1564
2017-08-31,108.4546
2017-07-31,105.7486
2017-06-30,104.2135
2017-05-31,101.9938
2017-04-28,100.4515
2017-03-31,99.7137
2017-02-28,99.9813
2017-01-31,99.3028
2016-12-30,99.5240
2016-11-30,99.5625
2016-10-31,99.0664
2016-09-30,98.8228
2016-08-31,97.3457
2016-07-29,96.4285
2016-06-30,93.8674
2016-05-31,90.6624
2016-04-29,87.3620
2016-03-31,86.9543
2016-02-29,86.1711
2016-01-29,87.0602
2015-12-31,88.8830
2015-11-30,89.5617
2015-10-30,90.1348
2015-09-30,91.5391
2015-08-31,92.3557
2015-07-31,92.9273
2015-06-30,90.5489
2015-05-29,89.9390
2015-04-30,88.6082
2015-03-31,88.1606
2015-02-27,86.7048
2015-01-30,85.5047
2014-12-31,85.0526
2014-11-28,84.6297
2014-10-31,84.2779
2014-09-30,84.0318
2014-08-29,83.2099
2014-07-31,81.7949
2014-06-30,80.5863
2014-05-30,79.2649
2014-04-30,78.6429
2014-03-31,77.6295
2014-02-28,77.2067
2014-01-31,75.9714
2013-12-31,74.1077
2013-11-29,71.0459
2013-10-31,69.1872
2013-09-30,66.5991
2013-08-30,64.9424
2013-07-31,63.4418
2013-06-28,62.4414
2013-05-31,62.1728
2013-04-30,62.3708
2013-03-28,63.1569
2013-02-28,63.3614
2013-01-31,63.5829
2012-12-31,63.1652
2012-11-30,63.3325
2012-10-31,63.0175
2012-09-28,63.4095
2012-08-31,62.9631
2012-07-31,63.0985
