,EMA_monthly_10
2022-04-04,36.6002
2022-03-31,36.1158
2022-02-28,35.7193
2022-01-31,35.0564
2021-12-31,34.2226
2021-11-30,33.0436
2021-10-29,32.3993
2021-09-30,32.0132
2021-08-31,31.6774
2021-07-30,31.2119
2021-06-30,31.1161
2021-05-28,30.8552
2021-04-30,29.8353
2021-03-31,28.4206
2021-02-26,27.3493
2021-01-29,26.4351
2020-12-31,25.8711
2020-11-30,24.6986
2020-10-30,24.2268
2020-09-30,24.0094
2020-08-31,23.4912
2020-07-31,22.4904
2020-06-30,21.7804
2020-05-29,22.0107
2020-04-30,22.7580
2020-03-31,23.3266
2020-02-28,25.0314
2020-01-31,25.3280
2019-12-31,25.0885
2019-11-29,24.5425
2019-10-31,24.0837
2019-09-30,23.5831
2019-08-30,23.2738
2019-07-31,23.2408
2019-06-28,23.3785
2019-05-31,23.3629
2019-04-30,24.1095
2019-03-29,24.2422
2019-02-28,24.4940
2019-01-31,25.0845
2018-12-31,25.6120
2018-11-30,27.0991
2018-10-31,28.0415
2018-09-28,29.2154
2018-08-31,29.5790
2018-07-31,29.6246
2018-06-29,29.7799
2018-05-31,29.5410
2018-04-30,29.1438
2018-03-29,28.7609
2018-02-28,28.6249
2018-01-31,28.5134
2017-12-29,27.9133
2017-11-30,27.6011
2017-10-31,27.1974
2017-09-29,26.6655
2017-08-31,26.3597
2017-07-31,26.3013
2017-06-30,26.1555
2017-05-31,25.8902
2017-04-28,25.7195
2017-03-31,25.3474
2017-02-28,24.8728
2017-01-31,24.3941
2016-12-30,24.2347
2016-11-30,24.2608
2016-10-31,24.1609
2016-09-30,24.1991
2016-08-31,23.9454
2016-07-29,23.7054
2016-06-30,23.2603
2016-05-31,23.2312
2016-04-29,22.9484
2016-03-31,22.4955
2016-02-29,22.1390
2016-01-29,22.6179
2015-12-31,23.2664
2015-11-30,23.3120
2015-10-30,22.9933
2015-09-30,23.0894
2015-08-31,23.5959
2015-07-31,24.1673
2015-06-30,24.4059
2015-05-29,24.5620
2015-04-30,24.6246
2015-03-31,24.8752
2015-02-27,24.9097
2015-01-30,24.6271
2014-12-31,24.2079
2014-11-28,23.6890
2014-10-31,23.1501
2014-09-30,22.7298
2014-08-29,22.5903
2014-07-31,22.0793
2014-06-30,21.9261
2014-05-30,21.4531
2014-04-30,21.1446
2014-03-31,21.0559
2014-02-28,21.0276
2014-01-31,20.9674
2013-12-31,20.8695
2013-11-29,20.4808
2013-10-31,20.2350
2013-09-30,19.8892
2013-08-30,19.7835
2013-07-31,19.8518
2013-06-28,19.8095
2013-05-31,19.7436
2013-04-30,19.4546
2013-03-28,19.0235
2013-02-28,18.3610
2013-01-31,17.8583
2012-12-31,17.1600
2012-11-30,16.6629
2012-10-31,16.0956
2012-09-28,15.4086
2012-08-31,14.8077
2012-07-31,14.2626
2012-06-29,13.8584
2012-05-31,13.5159
2012-04-30,13.4723
2012-03-30,13.3732
2012-02-29,13.0150
2012-01-31,12.7338
2011-12-30,12.5438
2011-11-30,12.5152
2011-10-31,12.7638
2011-09-30,12.9113
2011-08-31,13.4549
2011-07-29,13.7484
2011-06-30,13.8392
2011-05-31,13.6729
2011-04-29,13.5170
2011-03-31,13.1317
2011-02-28,12.4265
2011-01-31,11.5925
2010-12-31,10.7755
2010-11-30,10.3990
2010-10-29,10.2668
2010-09-30,10.1811
2010-08-31,10.1436
2010-07-30,10.1065
2010-06-30,9.9853
2010-05-28,10.2754
2010-04-30,10.2256
2010-03-31,9.7845
2010-02-26,9.4807
2010-01-29,9.3760
2009-12-31,9.2755
2009-11-30,8.9780
2009-10-30,8.8442
2009-09-30,8.8254
2009-08-31,8.7855
2009-07-31,8.6964
2009-06-30,8.7158
2009-05-29,8.9935
2009-04-30,9.1613
2009-03-31,9.2747
2009-02-27,9.8433
2009-01-30,10.7229
2008-12-31,11.6258
2008-11-28,12.5658
2008-10-31,13.3383
2008-09-30,14.2866
2008-08-29,14.2664
2008-07-31,14.5101
2008-06-30,14.9150
2008-05-30,15.5638
2008-04-30,15.7735
2008-03-31,15.9489
2008-02-29,16.1345
2008-01-31,16.5596
2007-12-31,16.7466
2007-11-30,16.6945
2007-10-31,16.6594
2007-09-28,16.5098
2007-08-31,16.5101
2007-07-31,16.7200
2007-06-29,16.8515
2007-05-31,16.6253
2007-04-30,16.1965
2007-03-30,15.8401
2007-02-28,15.6282
2007-01-31,14.8114
2006-12-29,14.3580
2006-11-30,14.0490
2006-10-31,13.9670
