,EMA_monthly_10
2022-04-04,130.7122
2022-03-31,131.7905
2022-02-28,132.6550
2022-01-31,134.7450
2021-12-31,138.1974
2021-11-30,141.5513
2021-10-29,147.3010
2021-09-30,149.2730
2021-08-31,150.9869
2021-07-30,152.2545
2021-06-30,151.0205
2021-05-28,150.0703
2021-04-30,147.3495
2021-03-31,142.1319
2021-02-26,139.4149
2021-01-29,135.5073
2020-12-31,132.7406
2020-11-30,129.2691
2020-10-30,126.1409
2020-09-30,125.9532
2020-08-31,124.8608
2020-07-31,122.5672
2020-06-30,121.0476
2020-05-29,122.4953
2020-04-30,122.8324
2020-03-31,124.6572
2020-02-28,130.8498
2020-01-31,131.0247
2019-12-31,128.7440
2019-11-29,125.5787
2019-10-31,122.6932
2019-09-30,120.6607
2019-08-30,118.3801
2019-07-31,115.2362
2019-06-28,112.2548
2019-05-31,112.2901
2019-04-30,113.1893
2019-03-29,112.3396
2019-02-28,110.3426
2019-01-31,108.7070
2018-12-31,109.7763
2018-11-30,112.3139
2018-10-31,112.6706
2018-09-28,113.8278
2018-08-31,111.4831
2018-07-31,110.3136
2018-06-29,108.4876
2018-05-31,109.2105
2018-04-30,110.1298
2018-03-29,110.4869
2018-02-28,112.2069
2018-01-31,112.8534
2017-12-29,111.3724
2017-11-30,110.9098
2017-10-31,111.1386
2017-09-29,110.4756
2017-08-31,110.6100
2017-07-31,111.4126
2017-06-30,110.9267
2017-05-31,108.8597
2017-04-28,108.2917
2017-03-31,107.5062
2017-02-28,106.0351
2017-01-31,105.3299
2016-12-30,104.2088
2016-11-30,105.9748
2016-10-31,108.4600
2016-09-30,110.7654
2016-08-31,108.4917
2016-07-29,105.8481
2016-06-30,102.3011
2016-05-31,100.1869
2016-04-29,97.2967
2016-03-31,95.0701
2016-02-29,94.2317
2016-01-29,95.2748
2015-12-31,96.0462
2015-11-30,96.3047
2015-10-30,96.9897
2015-09-30,97.0967
2015-08-31,99.4097
2015-07-31,100.3122
2015-06-30,101.3108
2015-05-29,101.4756
2015-04-30,100.6826
2015-03-31,100.6272
2015-02-27,98.9911
2015-01-30,96.4509
2014-12-31,95.0358
2014-11-28,93.0373
2014-10-31,90.8690
2014-09-30,88.4325
2014-08-29,87.6292
2014-07-31,86.9424
2014-06-30,85.9488
2014-05-30,83.9649
2014-04-30,81.4849
2014-03-31,79.9832
2014-02-28,78.5975
2014-01-31,77.0989
2013-12-31,75.2410
2013-11-29,73.1278
2013-10-31,70.9443
2013-09-30,69.0703
2013-08-30,67.8546
2013-07-31,67.0227
2013-06-28,65.1229
2013-05-31,64.5189
2013-04-30,63.1046
2013-03-28,61.7892
2013-02-28,60.4283
2013-01-31,58.8576
2012-12-31,57.0099
2012-11-30,56.3403
2012-10-31,55.6954
2012-09-28,55.2583
2012-08-31,54.0436
2012-07-31,53.7576
2012-06-29,53.9752
2012-05-31,53.1604
2012-04-30,52.9381
2012-03-30,52.2139
2012-02-29,51.0609
2012-01-31,50.3862
2011-12-30,49.5615
2011-11-30,50.0041
2011-10-31,51.1130
2011-09-30,52.0567
2011-08-31,53.0420
2011-07-29,53.5713
2011-06-30,53.5990
2011-05-31,53.0034
2011-04-29,51.3732
2011-03-31,49.8775
2011-02-28,48.9833
2011-01-31,47.5323
2010-12-31,46.3881
2010-11-30,46.0740
2010-10-29,46.5648
2010-09-30,47.5249
2010-08-31,47.7306
2010-07-30,49.0031
2010-06-30,49.4067
2010-05-28,49.6902
2010-04-30,49.6648
2010-03-31,48.6481
2010-02-26,47.7440
2010-01-29,47.0090
