,EMA_monthly_10
2022-04-04,196.4512
2022-03-31,198.1648
2022-02-28,200.2926
2022-01-31,201.7687
2021-12-31,202.2084
2021-11-30,193.0024
2021-10-29,186.6295
2021-09-30,180.1360
2021-08-31,177.1443
2021-07-30,171.1787
2021-06-30,164.2997
2021-05-28,159.5645
2021-04-30,155.9194
2021-03-31,152.2722
2021-02-26,151.3076
2021-01-29,150.6238
2020-12-31,150.0067
2020-11-30,146.8225
2020-10-30,144.0605
2020-09-30,141.0884
2020-08-31,135.9967
2020-07-31,130.9348
2020-06-30,126.6038
2020-05-29,124.5789
2020-04-30,121.5868
2020-03-31,120.1482
2020-02-28,120.9877
2020-01-31,118.5992
2019-12-31,115.4646
2019-11-29,112.0838
2019-10-31,110.5474
2019-09-30,107.0459
2019-08-30,103.5324
2019-07-31,98.8371
2019-06-28,95.6249
2019-05-31,92.0412
2019-04-30,90.3832
2019-03-29,88.1838
2019-02-28,85.7886
2019-01-31,84.2679
2018-12-31,84.1722
2018-11-30,84.2269
2018-10-31,82.4777
2018-09-28,81.1782
2018-08-31,79.2830
2018-07-31,77.1756
2018-06-29,75.4970
2018-05-31,73.7535
2018-04-30,71.9465
2018-03-29,69.7858
2018-02-28,67.1651
2018-01-31,64.5374
2017-12-29,62.2222
2017-11-30,60.4365
2017-10-31,58.1997
2017-09-29,57.3225
2017-08-31,56.2632
2017-07-31,55.1980
2017-06-30,53.9350
2017-05-31,52.4216
2017-04-28,50.6163
2017-03-31,49.7428
2017-02-28,49.2900
2017-01-31,48.7496
2016-12-30,47.7376
2016-11-30,46.8275
2016-10-31,46.3929
2016-09-30,46.4375
2016-08-31,45.5880
2016-07-29,44.7451
2016-06-30,43.8502
2016-05-31,43.4028
2016-04-29,42.8854
2016-03-31,42.3366
2016-02-29,42.2640
2016-01-29,42.8748
2015-12-31,43.1956
2015-11-30,42.5687
2015-10-30,42.0628
2015-09-30,42.2483
2015-08-31,42.8647
2015-07-31,42.8322
2015-06-30,41.9348
2015-05-29,40.9997
2015-04-30,39.5271
2015-03-31,38.8650
2015-02-27,37.6756
2015-01-30,36.2644
2014-12-31,35.2529
2014-11-28,33.9702
2014-10-31,32.0000
2014-09-30,31.2683
2014-08-29,30.4033
2014-07-31,29.6654
2014-06-30,29.3131
2014-05-30,29.0177
2014-04-30,28.9879
2014-03-31,29.0444
2014-02-28,29.4215
2014-01-31,29.4456
2013-12-31,29.6137
