,KAMA_monthly_10
2022-04-04,54.0982
2022-03-31,52.6242
2022-02-28,51.8814
2022-01-31,51.0634
2021-12-31,50.5440
2021-11-30,49.9857
2021-10-29,49.7720
2021-09-30,47.3899
2021-08-31,45.8601
2021-07-30,43.6783
2021-06-30,42.9598
2021-05-28,42.1527
2021-04-30,39.3398
2021-03-31,37.2505
2021-02-26,35.2637
2021-01-29,33.2479
2020-12-31,32.5983
2020-11-30,32.5527
2020-10-30,32.3809
2020-09-30,32.6246
2020-08-31,33.9370
2020-07-31,35.2131
2020-06-30,36.1509
2020-05-29,37.0222
2020-04-30,38.6886
2020-03-31,42.3351
2020-02-28,46.4269
2020-01-31,46.6070
2019-12-31,46.5889
2019-11-29,46.4742
2019-10-31,46.2097
2019-09-30,45.7380
2019-08-30,44.8939
2019-07-31,44.5197
2019-06-28,44.3915
2019-05-31,44.3492
2019-04-30,44.3132
2019-03-29,44.3301
2019-02-28,44.6699
2019-01-31,45.2175
2018-12-31,45.6502
2018-11-30,47.5111
2018-10-31,49.3733
2018-09-28,51.1872
2018-08-31,51.3249
2018-07-31,51.6647
2018-06-29,51.7318
2018-05-31,51.9034
2018-04-30,52.3219
2018-03-29,52.3927
2018-02-28,52.5854
2018-01-31,52.6094
2017-12-29,52.5498
2017-11-30,52.5450
2017-10-31,52.5384
2017-09-29,52.5146
2017-08-31,52.5029
2017-07-31,52.5002
2017-06-30,51.9571
2017-05-31,51.7936
2017-04-28,51.1269
2017-03-31,50.8076
2017-02-28,50.5954
2017-01-31,50.0464
2016-12-30,49.2075
2016-11-30,47.3816
2016-10-31,47.0008
2016-09-30,46.9616
2016-08-31,46.9017
2016-07-29,46.8521
2016-06-30,46.8530
2016-05-31,46.8958
2016-04-29,46.8330
2016-03-31,46.8136
2016-02-29,46.8239
2016-01-29,46.9340
2015-12-31,46.9217
2015-11-30,46.5632
2015-10-30,45.4368
2015-09-30,45.1462
2015-08-31,45.1081
2015-07-31,44.8520
2015-06-30,43.9365
2015-05-29,43.5679
2015-04-30,43.2786
2015-03-31,43.2295
2015-02-27,43.2060
2015-01-30,43.1590
2014-12-31,43.1755
2014-11-28,42.7884
2014-10-31,42.4556
2014-09-30,42.3988
2014-08-29,42.2769
2014-07-31,42.0753
2014-06-30,42.0329
2014-05-30,41.5747
2014-04-30,41.1096
2014-03-31,40.6944
2014-02-28,40.6154
2014-01-31,40.5283
2013-12-31,40.6374
2013-11-29,39.9667
2013-10-31,39.5158
2013-09-30,36.9331
2013-08-30,34.2836
2013-07-31,32.7413
2013-06-28,30.8100
2013-05-31,29.4185
2013-04-30,27.4128
2013-03-28,26.2458
2013-02-28,25.2168
2013-01-31,25.0253
2012-12-31,24.6684
2012-11-30,24.4479
