,KAMA_monthly_10
2021-07-28,172.2055
2021-06-30,166.6044
2021-05-28,156.3769
2021-04-30,144.1182
2021-03-31,136.9862
2021-02-26,135.0373
2021-01-29,132.0914
2020-12-31,127.2246
2020-11-30,121.0262
2020-10-30,120.9583
2020-09-30,121.0406
2020-08-31,121.0713
2020-07-31,121.1753
2020-06-30,121.3483
2020-05-29,121.5583
2020-04-30,121.5790
2020-03-31,122.2987
2020-02-28,124.0078
2020-01-31,126.9236
2019-12-31,129.1088
2019-11-29,130.3402
2019-10-31,130.5703
2019-09-30,130.8514
2019-08-30,131.8887
2019-07-31,132.2784
2019-06-28,132.7844
2019-05-31,132.8017
2019-04-30,133.1867
2019-03-29,133.1463
2019-02-28,133.1039
2019-01-31,133.0615
2018-12-31,133.1933
2018-11-30,134.1818
2018-10-31,134.2680
2018-09-28,134.5736
2018-08-31,134.0813
2018-07-31,134.1762
2018-06-29,134.1955
2018-05-31,134.7598
2018-04-30,136.1833
2018-03-29,136.3557
2018-02-28,136.9267
2018-01-31,137.1968
2017-12-29,137.2949
2017-11-30,137.5418
2017-10-31,138.3275
2017-09-29,138.4411
2017-08-31,138.3867
2017-07-31,138.3163
2017-06-30,138.3373
2017-05-31,138.4740
2017-04-28,142.5457
2017-03-31,143.0183
2017-02-28,144.7262
2017-01-31,144.9199
2016-12-30,145.1381
2016-11-30,146.0973
2016-10-31,147.3788
2016-09-30,149.8755
2016-08-31,153.1798
2016-07-29,155.9385
2016-06-30,156.8654
2016-05-31,160.5698
2016-04-29,161.3102
2016-03-31,162.6378
2016-02-29,163.2286
2016-01-29,163.8854
2015-12-31,164.3907
2015-11-30,164.0418
2015-10-30,163.9257
2015-09-30,163.7734
2015-08-31,164.4206
2015-07-31,164.1358
2015-06-30,161.5663
2015-05-29,161.1222
2015-04-30,161.0924
2015-03-31,160.8378
2015-02-27,160.6590
2015-01-30,159.5070
2014-12-31,157.2558
2014-11-28,156.9031
2014-10-31,154.1944
2014-09-30,149.7888
2014-08-29,148.4686
2014-07-31,146.3262
2014-06-30,145.1267
2014-05-30,143.9270
2014-04-30,141.3005
2014-03-31,138.7023
2014-02-28,137.2290
2014-01-31,123.5218
2013-12-31,112.5915
2013-11-29,107.7918
2013-10-31,105.9533
2013-09-30,104.1656
2013-08-30,103.4065
2013-07-31,103.1722
2013-06-28,103.0927
2013-05-31,103.5743
2013-04-30,103.6884
2013-03-28,103.7218
2013-02-28,103.7933
2013-01-31,103.9602
2012-12-31,104.0182
2012-11-30,104.2665
2012-10-31,104.7051
2012-09-28,105.4507
2012-08-31,100.2439
2012-07-31,96.3588
2012-06-29,91.5830
2012-05-31,87.2242
2012-04-30,85.4568
2012-03-30,82.6720
2012-02-29,74.9549
2012-01-31,69.4101
2011-12-30,65.6873
2011-11-30,62.9296
2011-10-31,60.0550
2011-09-30,56.2888
2011-08-31,52.4440
2011-07-29,49.8135
2011-06-30,46.4245
2011-05-31,46.1647
2011-04-29,45.5586
2011-03-31,43.7393
2011-02-28,39.2587
2011-01-31,35.3592
2010-12-31,32.9635
2010-11-30,30.2068
2010-10-29,27.2377
2010-09-30,25.8516
2010-08-31,24.6109
2010-07-30,24.1469
2010-06-30,23.8378
2010-05-28,23.7399
2010-04-30,23.6700
2010-03-31,22.5606
2010-02-26,20.9437
2010-01-29,19.6949
2009-12-31,19.3807
2009-11-30,18.2831
2009-10-30,17.9079
2009-09-30,17.5555
2009-08-31,17.0263
2009-07-31,16.9057
2009-06-30,16.7849
2009-05-29,16.7184
2009-04-30,16.6118
2009-03-31,16.6106
2009-02-27,16.5895
2009-01-30,16.5860
2008-12-31,16.5216
2008-11-28,16.4795
2008-10-31,16.4771
2008-09-30,16.4186
2008-08-29,16.3739
2008-07-31,16.1118
2008-06-30,15.2807
2008-05-30,15.1541
2008-04-30,15.0220
2008-03-31,14.7647
2008-02-29,14.7628
2008-01-31,14.7376
2007-12-31,14.5909
2007-11-30,13.3536
2007-10-31,12.4949
2007-09-28,10.7357
2007-08-31,9.9758
2007-07-31,9.2351
2007-06-29,8.4369
2007-05-31,8.3431
2007-04-30,8.0122
2007-03-30,7.9430
2007-02-28,7.7649
2007-01-31,7.7437
2006-12-29,7.6386
2006-11-30,7.6012
2006-10-31,7.2585
2006-09-29,6.9931
2006-08-31,6.8317
2006-07-31,6.7028
2006-06-30,6.6434
2006-05-31,6.5531
2006-04-28,6.5025
2006-03-31,6.3739
2006-02-28,6.1605
2006-01-31,5.6968
2005-12-30,5.6179
2005-11-30,5.6319
2005-10-31,5.6684
2005-09-30,5.6366
2005-08-31,5.5100
2005-07-29,5.2092
2005-06-30,5.0336
2005-05-31,4.9523
2005-04-29,4.8681
2005-03-31,4.8616
2005-02-28,4.8534
2005-01-31,4.8449
2004-12-31,4.8322
2004-11-30,4.8024
2004-10-29,4.7943
2004-09-30,4.7973
2004-08-31,4.7997
2004-07-30,4.8146
2004-06-30,4.8227
2004-05-28,4.8309
2004-04-30,4.8258
2004-03-31,4.7733
2004-02-27,4.5919
2004-01-30,4.4179
2003-12-31,4.4063
2003-11-28,4.4209
2003-10-31,4.3933
2003-09-30,4.3801
2003-08-29,4.3811
2003-07-31,4.4054
2003-06-30,4.4147
2003-05-30,4.4202
2003-04-30,4.4305
2003-03-31,4.4472
2003-02-28,4.4870
2003-01-31,4.6140
2002-12-31,4.7756
2002-11-29,4.8438
2002-10-31,4.8596
2002-09-30,5.6816
2002-08-30,6.0588
2002-07-31,6.1804
2002-06-28,6.2072
2002-05-31,6.2729
2002-04-30,6.3187
2002-03-28,6.3867
2002-02-28,6.3958
2002-01-31,6.4098
2001-12-31,6.4150
2001-11-30,6.4246
2001-10-31,6.7248
2001-09-28,7.9881
2001-08-31,10.1900
2001-07-31,13.6150
2001-06-29,19.4972
2001-05-31,24.6969
2001-04-30,25.6731
2001-03-30,27.1142
2001-02-28,27.3790
2001-01-31,27.6451
2000-12-29,27.8616
2000-11-30,28.0592
2000-10-31,28.2934
