,KAMA_monthly_10
2022-04-04,282.9843
2022-03-31,276.7865
2022-02-28,272.4369
2022-01-31,271.4850
2021-12-31,271.2079
2021-11-30,267.0588
2021-10-29,261.9982
2021-09-30,244.0918
2021-08-31,233.8420
2021-07-30,217.7288
2021-06-30,213.6976
2021-05-28,212.0691
2021-04-30,207.6409
2021-03-31,201.8789
2021-02-26,200.1191
2021-01-29,197.2256
2020-12-31,196.8885
2020-11-30,196.8023
2020-10-30,196.7176
2020-09-30,197.0713
2020-08-31,197.0248
2020-07-31,197.0193
2020-06-30,196.9277
2020-05-29,196.9617
2020-04-30,196.9955
2020-03-31,197.8468
2020-02-28,198.5938
2020-01-31,197.8028
2019-12-31,188.5561
2019-11-29,182.2888
2019-10-31,174.4429
2019-09-30,167.6297
2019-08-30,165.6441
2019-07-31,162.3843
2019-06-28,159.6248
2019-05-31,154.4281
2019-04-30,151.3568
2019-03-29,147.2311
2019-02-28,145.1749
2019-01-31,143.1066
2018-12-31,142.6300
2018-11-30,142.6548
2018-10-31,138.2317
2018-09-28,134.9205
2018-08-31,133.6890
2018-07-31,133.5707
2018-06-29,133.5362
2018-05-31,133.5444
2018-04-30,133.5278
2018-03-29,133.2992
2018-02-28,133.2079
2018-01-31,133.0010
2017-12-29,132.4035
2017-11-30,132.9009
2017-10-31,132.3847
2017-09-29,129.5863
2017-08-31,124.2691
2017-07-31,119.8469
2017-06-30,114.9709
2017-05-31,110.7340
2017-04-28,105.3943
2017-03-31,103.9560
2017-02-28,102.7051
2017-01-31,101.5820
2016-12-30,100.8620
2016-11-30,99.7834
2016-10-31,96.0954
2016-09-30,94.2455
2016-08-31,92.1846
2016-07-29,89.9264
2016-06-30,87.9151
2016-05-31,86.2040
2016-04-29,85.5956
2016-03-31,85.2566
2016-02-29,85.0642
2016-01-29,85.0452
2015-12-31,85.1417
2015-11-30,85.0939
2015-10-30,85.0159
2015-09-30,85.0042
2015-08-31,85.0316
2015-07-31,84.9593
2015-06-30,84.1101
2015-05-29,83.3554
2015-04-30,81.8935
2015-03-31,81.6436
2015-02-27,81.4070
2015-01-30,80.1132
2014-12-31,79.9659
2014-11-28,79.2342
2014-10-31,78.4656
2014-09-30,78.4447
2014-08-29,78.3259
2014-07-31,78.1899
