,KAMA_monthly_10
2022-04-04,76.8365
2022-03-31,76.8686
2022-02-28,76.9314
2022-01-31,76.9813
2021-12-31,76.7495
2021-11-30,72.4020
2021-10-29,69.6946
2021-09-30,68.7070
2021-08-31,68.2697
2021-07-30,65.1946
2021-06-30,62.6663
2021-05-28,61.2382
2021-04-30,59.7183
2021-03-31,57.2864
2021-02-26,54.7443
2021-01-29,52.4085
2020-12-31,48.8080
2020-11-30,46.3951
2020-10-30,44.8063
2020-09-30,44.6824
2020-08-31,44.5848
2020-07-31,44.3951
2020-06-30,44.2454
2020-05-29,44.1942
2020-04-30,44.1672
2020-03-31,44.1802
2020-02-28,44.4407
2020-01-31,44.4358
2019-12-31,44.3783
2019-11-29,43.9276
2019-10-31,43.5296
2019-09-30,43.1479
2019-08-30,43.0564
2019-07-31,43.0598
2019-06-28,43.0504
2019-05-31,43.0213
2019-04-30,43.0394
2019-03-29,42.6467
2019-02-28,42.5028
2019-01-31,42.3230
2018-12-31,42.3211
2018-11-30,42.5251
2018-10-31,42.5291
2018-09-28,42.5217
2018-08-31,42.4516
2018-07-31,42.2942
2018-06-29,42.1313
2018-05-31,42.1418
2018-04-30,42.1745
2018-03-29,42.3127
2018-02-28,42.4111
2018-01-31,42.0291
2017-12-29,41.1038
2017-11-30,40.7754
2017-10-31,39.0877
2017-09-29,37.4584
2017-08-31,35.9956
2017-07-31,34.7776
2017-06-30,34.0462
2017-05-31,33.5720
2017-04-28,32.4857
2017-03-31,31.4032
2017-02-28,30.5158
2017-01-31,29.6432
2016-12-30,29.2039
2016-11-30,28.5275
2016-10-31,27.1717
2016-09-30,26.4372
2016-08-31,26.0358
2016-07-29,25.7815
2016-06-30,25.5972
2016-05-31,25.5381
2016-04-29,25.5050
2016-03-31,25.4966
2016-02-29,25.4804
2016-01-29,25.4877
2015-12-31,25.7102
2015-11-30,25.7423
2015-10-30,25.7416
2015-09-30,25.7441
2015-08-31,25.7781
2015-07-31,25.7993
2015-06-30,25.7428
2015-05-29,25.6012
2015-04-30,25.4602
2015-03-31,25.4200
2015-02-27,24.6019
2015-01-30,24.0226
2014-12-31,23.7085
2014-11-28,23.1967
2014-10-31,22.5328
2014-09-30,22.3635
2014-08-29,22.1875
2014-07-31,21.4216
2014-06-30,21.0654
2014-05-30,20.4984
2014-04-30,20.0865
2014-03-31,19.5935
2014-02-28,19.2579
2014-01-31,19.0578
2013-12-31,18.8734
2013-11-29,18.2148
2013-10-31,17.7105
2013-09-30,17.4427
2013-08-30,17.3168
2013-07-31,17.2931
2013-06-28,16.7084
2013-05-31,16.1724
2013-04-30,15.3721
2013-03-28,14.4198
2013-02-28,13.0722
2013-01-31,12.6077
2012-12-31,12.4005
2012-11-30,12.2020
2012-10-31,12.0675
2012-09-28,11.8384
2012-08-31,11.6342
2012-07-31,11.3633
2012-06-29,11.0307
2012-05-31,10.9724
2012-04-30,10.9515
2012-03-30,10.9111
2012-02-29,10.8395
2012-01-31,10.8313
2011-12-30,10.8245
2011-11-30,10.8820
2011-10-31,10.9246
2011-09-30,10.9286
2011-08-31,11.0585
2011-07-29,11.0680
2011-06-30,11.0678
2011-05-31,10.8332
2011-04-29,10.7221
2011-03-31,10.3770
2011-02-28,10.2020
2011-01-31,9.9824
2010-12-31,9.7477
2010-11-30,9.5777
2010-10-29,9.4550
2010-09-30,9.4237
2010-08-31,9.3701
2010-07-30,9.3709
2010-06-30,9.3406
2010-05-28,9.3506
2010-04-30,9.3332
