,KAMA_monthly_10
2022-04-04,238.3013
2022-03-31,236.2133
2022-02-28,234.1921
2022-01-31,233.6789
2021-12-31,231.2128
2021-11-30,221.6870
2021-10-29,214.9830
2021-09-30,206.0865
2021-08-31,202.5493
2021-07-30,188.8456
2021-06-30,176.6540
2021-05-28,171.0747
2021-04-30,164.8932
2021-03-31,161.7877
2021-02-26,159.7097
2021-01-29,159.2855
2020-12-31,159.3553
2020-11-30,159.5784
2020-10-30,159.6075
2020-09-30,164.3782
2020-08-31,167.8566
2020-07-31,170.6223
2020-06-30,175.0898
2020-05-29,178.9849
2020-04-30,182.6949
2020-03-31,184.7864
2020-02-28,192.1975
2020-01-31,192.2828
2019-12-31,190.3494
2019-11-29,189.4567
2019-10-31,186.2476
2019-09-30,175.2200
2019-08-30,171.5717
2019-07-31,166.8781
2019-06-28,164.0061
2019-05-31,161.9955
2019-04-30,159.5587
2019-03-29,156.8287
2019-02-28,153.1225
2019-01-31,150.2823
2018-12-31,147.7143
2018-11-30,147.0344
2018-10-31,145.0816
2018-09-28,145.0104
2018-08-31,144.7430
2018-07-31,144.4267
2018-06-29,144.3120
2018-05-31,144.0851
2018-04-30,143.9718
2018-03-29,144.1342
2018-02-28,144.1328
2018-01-31,146.6783
2017-12-29,146.6092
2017-11-30,146.5688
2017-10-31,145.8633
2017-09-29,145.4884
2017-08-31,144.7466
2017-07-31,143.0834
2017-06-30,141.2894
2017-05-31,138.9298
2017-04-28,138.3473
2017-03-31,137.5500
2017-02-28,137.1265
2017-01-31,136.6361
2016-12-30,136.3407
2016-11-30,136.0837
2016-10-31,136.0718
2016-09-30,135.9425
2016-08-31,135.8718
2016-07-29,135.7870
2016-06-30,135.0515
2016-05-31,134.2132
2016-04-29,133.8871
2016-03-31,133.3708
2016-02-29,131.3427
2016-01-29,131.0703
2015-12-31,131.0212
2015-11-30,129.6567
2015-10-30,129.0615
2015-09-30,128.5440
2015-08-31,127.8627
2015-07-31,127.6930
2015-06-30,126.1800
2015-05-29,126.1186
2015-04-30,125.6849
2015-03-31,125.2657
2015-02-27,122.8393
2015-01-30,121.0669
2014-12-31,116.7191
2014-11-28,113.6241
2014-10-31,110.3906
2014-09-30,107.3103
2014-08-29,106.6502
2014-07-31,102.0881
2014-06-30,99.1115
2014-05-30,96.6537
2014-04-30,96.1673
2014-03-31,95.9878
2014-02-28,95.9172
2014-01-31,95.8980
