,KAMA_monthly_10
2022-04-04,156.0473
2022-03-31,156.4844
2022-02-28,156.7092
2022-01-31,156.8821
2021-12-31,157.2398
2021-11-30,157.0053
2021-10-29,157.6466
2021-09-30,157.7506
2021-08-31,157.9041
2021-07-30,144.4356
2021-06-30,137.9101
2021-05-28,130.6357
2021-04-30,125.2433
2021-03-31,119.1095
2021-02-26,113.3909
2021-01-29,107.1253
2020-12-31,97.3568
2020-11-30,88.8025
2020-10-30,82.3821
2020-09-30,80.5119
2020-08-31,78.1999
2020-07-31,75.1332
2020-06-30,72.9300
2020-05-29,71.5354
2020-04-30,69.9347
2020-03-31,69.8727
2020-02-28,69.8566
2020-01-31,69.8216
2019-12-31,69.7016
2019-11-29,69.3589
2019-10-31,69.1675
2019-09-30,68.9970
2019-08-30,68.8997
2019-07-31,68.8820
2019-06-28,68.8859
2019-05-31,68.7913
2019-04-30,68.8129
2019-03-29,67.9214
2019-02-28,66.4269
2019-01-31,65.5816
2018-12-31,65.1747
2018-11-30,65.1707
2018-10-31,65.1405
2018-09-28,65.1594
2018-08-31,65.1234
2018-07-31,65.1211
2018-06-29,65.1329
2018-05-31,65.2108
2018-04-30,65.2788
2018-03-29,65.3522
2018-02-28,65.3824
2018-01-31,65.2527
2017-12-29,63.1537
2017-11-30,62.6447
2017-10-31,60.3402
2017-09-29,57.3206
2017-08-31,54.8392
2017-07-31,50.1230
2017-06-30,48.4725
2017-05-31,46.5922
2017-04-28,44.2560
2017-03-31,42.6778
2017-02-28,41.9011
2017-01-31,40.8977
2016-12-30,40.1531
2016-11-30,39.7615
2016-10-31,39.5790
2016-09-30,39.5489
2016-08-31,39.2140
2016-07-29,38.6223
2016-06-30,37.2901
2016-05-31,36.8691
2016-04-29,36.6362
2016-03-31,36.5965
2016-02-29,36.5870
2016-01-29,36.6165
2015-12-31,36.6387
2015-11-30,36.6255
2015-10-30,36.5347
2015-09-30,36.5498
2015-08-31,36.9162
2015-07-31,36.9794
2015-06-30,36.9715
2015-05-29,36.9839
2015-04-30,36.9641
2015-03-31,36.9536
2015-02-27,36.9335
2015-01-30,36.8395
2014-12-31,36.8739
2014-11-28,36.8663
2014-10-31,36.8187
2014-09-30,36.8082
2014-08-29,36.7165
2014-07-31,36.5371
2014-06-30,36.4505
2014-05-30,36.0134
2014-04-30,35.5315
2014-03-31,35.3688
2014-02-28,35.0261
2014-01-31,34.1901
2013-12-31,32.7009
2013-11-29,30.9782
2013-10-31,30.4734
2013-09-30,30.0694
2013-08-30,29.3818
2013-07-31,29.1447
2013-06-28,29.1038
2013-05-31,29.1302
2013-04-30,29.0419
2013-03-28,29.0719
2013-02-28,29.0872
2013-01-31,29.0960
2012-12-31,29.0914
2012-11-30,29.1315
2012-10-31,29.3132
2012-09-28,29.3716
2012-08-31,29.4109
2012-07-31,29.4366
2012-06-29,29.6911
2012-05-31,29.7432
2012-04-30,29.7672
2012-03-30,29.8446
2012-02-29,29.8552
2012-01-31,29.8866
2011-12-30,29.9051
2011-11-30,30.1329
2011-10-31,30.2389
2011-09-30,30.3535
2011-08-31,30.5154
2011-07-29,30.5855
2011-06-30,30.7958
2011-05-31,28.5561
2011-04-29,25.9501
2011-03-31,22.1840
2011-02-28,20.9032
2011-01-31,20.5961
2010-12-31,20.1851
2010-11-30,19.6075
2010-10-29,19.4173
2010-09-30,19.3441
2010-08-31,19.2785
2010-07-30,19.2988
2010-06-30,19.3030
2010-05-28,19.3115
