,KAMA_monthly_10
2022-04-04,22.3661
2022-03-31,22.3378
2022-02-28,22.3337
2022-01-31,22.5596
2021-12-31,23.0002
2021-11-30,23.5296
2021-10-29,23.9948
2021-09-30,24.0999
2021-08-31,24.1715
2021-07-30,24.0861
2021-06-30,23.8691
2021-05-28,22.8785
2021-04-30,22.4465
2021-03-31,22.2410
2021-02-26,21.2391
2021-01-29,20.4680
2020-12-31,13.5368
2020-11-30,13.3001
2020-10-30,12.8877
2020-09-30,12.7734
2020-08-31,12.7569
2020-07-31,12.7616
2020-06-30,12.7734
2020-05-29,12.7940
2020-04-30,12.8672
2020-03-31,13.1036
2020-02-28,13.7750
2020-01-31,13.9320
2019-12-31,13.9331
2019-11-29,13.8906
2019-10-31,13.8899
2019-09-30,13.9095
2019-08-30,13.9695
2019-07-31,14.1855
2019-06-28,14.4920
2019-05-31,14.7441
2019-04-30,14.9467
2019-03-29,14.9256
2019-02-28,14.9192
2019-01-31,14.9163
2018-12-31,14.9753
2018-11-30,16.1438
2018-10-31,17.3012
2018-09-28,18.0771
2018-08-31,18.7023
2018-07-31,18.7460
2018-06-29,18.8374
2018-05-31,18.9081
2018-04-30,19.4273
2018-03-29,20.3697
2018-02-28,20.7611
2018-01-31,21.2745
2017-12-29,21.4852
2017-11-30,22.2420
2017-10-31,23.1931
2017-09-29,27.5851
2017-08-31,32.9488
2017-07-31,34.7721
2017-06-30,36.5934
2017-05-31,39.0545
2017-04-28,40.2534
2017-03-31,40.4963
2017-02-28,40.7662
2017-01-31,41.1111
2016-12-30,41.6392
2016-11-30,41.9774
2016-10-31,42.0119
2016-09-30,42.4069
2016-08-31,42.8343
2016-07-29,43.0996
2016-06-30,43.4381
2016-05-31,44.3712
2016-04-29,45.3342
2016-03-31,46.1369
2016-02-29,46.7015
2016-01-29,47.7514
2015-12-31,52.5596
2015-11-30,55.9092
2015-10-30,58.1371
2015-09-30,59.5496
2015-08-31,61.6848
2015-07-31,61.9289
2015-06-30,61.9617
2015-05-29,62.0325
2015-04-30,62.0487
2015-03-31,62.1744
2015-02-27,61.1527
2015-01-30,60.6020
2014-12-31,60.4637
2014-11-28,60.1650
2014-10-31,59.9519
2014-09-30,60.0543
2014-08-29,60.2263
2014-07-31,60.5246
2014-06-30,60.9607
2014-05-30,62.1895
2014-04-30,63.1749
2014-03-31,63.5168
2014-02-28,63.5376
2014-01-31,63.5680
2013-12-31,63.6125
2013-11-29,61.2177
2013-10-31,59.5483
2013-09-30,57.4510
2013-08-30,55.7503
2013-07-31,54.4910
2013-06-28,53.3407
2013-05-31,53.1944
2013-04-30,52.9861
2013-03-28,52.7688
2013-02-28,52.6735
2013-01-31,52.9782
2012-12-31,53.0409
2012-11-30,53.1052
2012-10-31,53.1245
2012-09-28,53.1393
2012-08-31,53.1239
2012-07-31,53.0066
2012-06-29,53.0094
2012-05-31,52.9967
2012-04-30,51.4196
2012-03-30,50.0380
2012-02-29,49.0453
2012-01-31,48.9657
2011-12-30,48.5111
2011-11-30,48.3412
2011-10-31,47.5886
2011-09-30,46.4376
2011-08-31,45.7801
2011-07-29,45.1150
2011-06-30,43.4967
2011-05-31,40.8404
2011-04-29,39.5639
2011-03-31,36.2898
2011-02-28,36.1704
2011-01-31,36.0965
2010-12-31,35.9620
2010-11-30,35.6282
2010-10-29,35.5540
2010-09-30,35.4673
2010-08-31,35.3806
2010-07-30,35.4111
2010-06-30,35.4251
2010-05-28,35.4464
2010-04-30,34.6911
2010-03-31,32.7270
2010-02-26,30.7091
2010-01-29,29.7258
2009-12-31,28.8780
2009-11-30,27.6692
2009-10-30,26.8901
2009-09-30,26.5802
2009-08-31,25.3792
2009-07-31,24.9583
2009-06-30,24.8869
2009-05-29,24.8791
2009-04-30,24.8816
2009-03-31,24.8645
2009-02-27,25.0077
2009-01-30,25.6556
2008-12-31,25.8661
2008-11-28,25.9278
2008-10-31,26.9218
2008-09-30,27.0312
2008-08-29,27.0304
2008-07-31,27.0409
2008-06-30,27.2382
2008-05-30,27.4415
2008-04-30,27.4366
2008-03-31,27.4105
2008-02-29,27.7960
2008-01-31,28.7568
2007-12-31,28.9085
2007-11-30,30.6732
2007-10-31,32.4419
2007-09-28,32.6314
2007-08-31,32.8483
2007-07-31,33.0950
2007-06-29,33.2081
2007-05-31,33.2428
2007-04-30,32.9988
2007-03-30,32.6961
2007-02-28,32.5752
2007-01-31,32.5512
2006-12-29,32.4054
2006-11-30,32.3934
2006-10-31,32.3780
2006-09-29,32.2625
2006-08-31,32.2306
2006-07-31,32.4844
2006-06-30,32.7620
