,KAMA_monthly_10
2022-04-04,61.5793
2022-03-31,60.9814
2022-02-28,60.3696
2022-01-31,60.0504
2021-12-31,59.9793
2021-11-30,59.9620
2021-10-29,60.3816
2021-09-30,60.4370
2021-08-31,60.4636
2021-07-30,59.1241
2021-06-30,57.3771
2021-05-28,56.6389
2021-04-30,55.6535
2021-03-31,55.2244
2021-02-26,54.7355
2021-01-29,54.6413
2020-12-31,54.2101
2020-11-30,53.9905
2020-10-30,53.9497
2020-09-30,53.8976
2020-08-31,53.8104
2020-07-31,53.5932
2020-06-30,53.4587
2020-05-29,53.3027
2020-04-30,52.9266
2020-03-31,52.3083
2020-02-28,52.3438
2020-01-31,51.9176
2019-12-31,49.8511
2019-11-29,48.3386
2019-10-31,47.8988
2019-09-30,47.5681
2019-08-30,47.5803
2019-07-31,47.6163
2019-06-28,49.1660
2019-05-31,50.4286
2019-04-30,51.4390
2019-03-29,51.8329
2019-02-28,51.9884
2019-01-31,52.0218
2018-12-31,52.5430
2018-11-30,52.9938
2018-10-31,53.1679
2018-09-28,53.5080
2018-08-31,53.5006
2018-07-31,53.4994
2018-06-29,53.5222
2018-05-31,53.6221
2018-04-30,53.7396
2018-03-29,53.8263
2018-02-28,53.6316
2018-01-31,52.9609
2017-12-29,52.7111
2017-11-30,52.6779
2017-10-31,52.2401
2017-09-29,52.2079
2017-08-31,52.0709
2017-07-31,52.0557
2017-06-30,52.1115
2017-05-31,52.1338
2017-04-28,52.6361
2017-03-31,52.9298
2017-02-28,53.3532
2017-01-31,53.6345
2016-12-30,54.2430
2016-11-30,54.2871
2016-10-31,54.3950
2016-09-30,55.4251
2016-08-31,55.9730
2016-07-29,56.2069
2016-06-30,55.0287
2016-05-31,53.9077
2016-04-29,53.6724
2016-03-31,53.4156
2016-02-29,53.4152
2016-01-29,53.4276
2015-12-31,53.4398
2015-11-30,53.0531
2015-10-30,52.8505
2015-09-30,52.7015
2015-08-31,52.7588
2015-07-31,52.8449
2015-06-30,52.1915
2015-05-29,50.6399
2015-04-30,49.1391
2015-03-31,47.0719
2015-02-27,44.2413
2015-01-30,42.0339
2014-12-31,40.3913
2014-11-28,39.5634
2014-10-31,38.2409
2014-09-30,37.7353
2014-08-29,37.7043
2014-07-31,37.6797
2014-06-30,37.5477
2014-05-30,37.4793
2014-04-30,37.3553
2014-03-31,37.2339
2014-02-28,37.0387
2014-01-31,36.2657
2013-12-31,35.9982
2013-11-29,34.7263
2013-10-31,33.6168
2013-09-30,31.4262
2013-08-30,30.4378
2013-07-31,30.1748
2013-06-28,29.5068
2013-05-31,28.1288
2013-04-30,26.6768
2013-03-28,26.3178
2013-02-28,25.2681
2013-01-31,24.9429
2012-12-31,24.7120
2012-11-30,24.7112
2012-10-31,24.7097
2012-09-28,24.7042
2012-08-31,24.6871
2012-07-31,24.6834
2012-06-29,24.3672
2012-05-31,23.9062
2012-04-30,23.7667
2012-03-30,23.6229
2012-02-29,23.4353
2012-01-31,23.4011
2011-12-30,23.3400
2011-11-30,21.7469
2011-10-31,20.3704
2011-09-30,19.4891
2011-08-31,18.3766
2011-07-29,18.0428
2011-06-30,17.8795
2011-05-31,17.5283
2011-04-29,17.1314
2011-03-31,16.8027
2011-02-28,16.5543
2011-01-31,16.5208
2010-12-31,16.5101
2010-11-30,16.4362
2010-10-29,16.4100
2010-09-30,16.3210
2010-08-31,16.1899
2010-07-30,16.0319
2010-06-30,15.9798
2010-05-28,15.9113
2010-04-30,15.9156
2010-03-31,15.7138
2010-02-26,14.9322
2010-01-29,14.5238
2009-12-31,14.3964
2009-11-30,13.8965
2009-10-30,13.7232
2009-09-30,13.7180
2009-08-31,13.6818
2009-07-31,13.6627
2009-06-30,13.6513
2009-05-29,13.6541
2009-04-30,13.6590
2009-03-31,13.6657
2009-02-27,13.6645
2009-01-30,13.7405
2008-12-31,13.7432
2008-11-28,13.7074
2008-10-31,13.7302
2008-09-30,13.8346
2008-08-29,14.0240
2008-07-31,14.1880
2008-06-30,14.3255
2008-05-30,14.6576
2008-04-30,14.7292
2008-03-31,15.0012
2008-02-29,15.4091
2008-01-31,15.5685
2007-12-31,15.6440
2007-11-30,15.6432
2007-10-31,15.6056
2007-09-28,15.4681
2007-08-31,15.3759
2007-07-31,15.2469
2007-06-29,15.1548
2007-05-31,14.1977
2007-04-30,13.7793
2007-03-30,13.6314
2007-02-28,13.5194
2007-01-31,13.4884
2006-12-29,13.2140
2006-11-30,13.0975
2006-10-31,13.0507
2006-09-29,13.0038
2006-08-31,12.9350
2006-07-31,12.9481
2006-06-30,12.9397
2006-05-31,12.8760
2006-04-28,12.8686
2006-03-31,12.8352
2006-02-28,12.8310
2006-01-31,12.8373
2005-12-30,12.8519
2005-11-30,12.8613
2005-10-31,12.8870
2005-09-30,13.0124
2005-08-31,13.0140
2005-07-29,13.0074
2005-06-30,12.9836
2005-05-31,12.9557
2005-04-29,12.9068
2005-03-31,12.8640
2005-02-28,12.8488
2005-01-31,12.8443
2004-12-31,12.8465
2004-11-30,12.8363
2004-10-29,12.9151
2004-09-30,13.0279
2004-08-31,13.0447
2004-07-30,13.0545
2004-06-30,13.0879
2004-05-28,13.0908
2004-04-30,13.0920
2004-03-31,13.0967
2004-02-27,13.1019
2004-01-30,13.0092
2003-12-31,12.7134
2003-11-28,12.4848
2003-10-31,12.4409
2003-09-30,12.4298
2003-08-29,12.4288
2003-07-31,12.4276
2003-06-30,12.4075
2003-05-30,12.3795
2003-04-30,12.3760
2003-03-31,12.3751
2003-02-28,12.6860
2003-01-31,12.7529
2002-12-31,12.9813
2002-11-29,13.4172
2002-10-31,13.5473
2002-09-30,14.0385
2002-08-30,14.9957
2002-07-31,16.0190
2002-06-28,18.0444
2002-05-31,20.4506
2002-04-30,22.6983
2002-03-28,24.4653
2002-02-28,25.1092
2002-01-31,25.3421
2001-12-31,25.9389
2001-11-30,26.2441
2001-10-31,26.3390
2001-09-28,26.6480
2001-08-31,26.7411
2001-07-31,26.7560
2001-06-29,26.7535
2001-05-31,26.7661
2001-04-30,26.7917
2001-03-30,26.8003
2001-02-28,26.7995
2001-01-31,26.7121
2000-12-29,26.6894
2000-11-30,25.8727
2000-10-31,25.7970
