,KAMA_monthly_10
2022-04-04,182.0425
2022-03-31,182.0722
2022-02-28,182.1371
2022-01-31,182.2076
2021-12-31,181.9734
2021-11-30,179.2519
2021-10-29,177.8462
2021-09-30,176.7679
2021-08-31,176.2128
2021-07-30,167.5122
2021-06-30,162.7457
2021-05-28,159.3558
2021-04-30,158.1704
2021-03-31,146.3469
2021-02-26,135.2271
2021-01-29,123.1199
2020-12-31,119.1661
2020-11-30,118.5006
2020-10-30,118.4379
2020-09-30,118.3409
2020-08-31,118.3576
2020-07-31,118.5051
2020-06-30,118.5521
2020-05-29,118.5776
2020-04-30,118.6777
2020-03-31,118.7265
2020-02-28,118.9567
2020-01-31,119.0898
2019-12-31,118.0705
2019-11-29,110.8220
2019-10-31,103.4290
2019-09-30,96.4845
2019-08-30,93.7462
2019-07-31,91.9127
2019-06-28,89.0412
2019-05-31,87.1506
2019-04-30,86.6346
2019-03-29,84.0186
2019-02-28,82.9744
2019-01-31,81.7548
2018-12-31,81.8855
2018-11-30,82.0509
2018-10-31,79.8691
2018-09-28,77.7313
2018-08-31,75.5551
2018-07-31,73.2382
2018-06-29,71.2261
2018-05-31,69.5789
2018-04-30,67.7307
2018-03-29,67.6657
2018-02-28,67.7406
2018-01-31,66.9691
2017-12-29,64.0718
2017-11-30,63.2416
2017-10-31,61.2671
2017-09-29,58.7407
2017-08-31,56.9833
2017-07-31,55.3790
2017-06-30,53.4948
2017-05-31,51.1892
2017-04-28,48.8906
2017-03-31,46.0287
2017-02-28,44.1039
2017-01-31,40.1652
2016-12-30,39.1820
2016-11-30,37.6151
2016-10-31,35.8808
2016-09-30,35.7380
2016-08-31,35.5940
2016-07-29,35.5579
2016-06-30,35.4885
2016-05-31,35.4749
2016-04-29,35.2245
2016-03-31,35.1976
2016-02-29,35.0635
2016-01-29,35.0402
2015-12-31,35.0312
2015-11-30,34.8267
2015-10-30,34.1556
2015-09-30,33.0952
2015-08-31,32.6685
2015-07-31,32.0879
2015-06-30,31.9992
2015-05-29,32.0014
2015-04-30,31.7388
2015-03-31,31.3068
2015-02-27,30.8628
2015-01-30,30.1407
2014-12-31,29.9351
2014-11-28,29.3785
2014-10-31,28.5828
2014-09-30,28.6013
2014-08-29,28.5852
2014-07-31,27.6269
2014-06-30,27.3672
2014-05-30,26.3299
