,KAMA_monthly_10
2022-04-04,78.7138
2022-03-31,77.5724
2022-02-28,76.2616
2022-01-31,74.6565
2021-12-31,72.9796
2021-11-30,70.2044
2021-10-29,70.2112
2021-09-30,70.1572
2021-08-31,70.1579
2021-07-30,69.9795
2021-06-30,69.5093
2021-05-28,69.2857
2021-04-30,68.8926
2021-03-31,68.7031
2021-02-26,68.6920
2021-01-29,68.6947
2020-12-31,66.7767
2020-11-30,66.2007
2020-10-30,66.0837
2020-09-30,66.0464
2020-08-31,66.0040
2020-07-31,65.8096
2020-06-30,65.7878
2020-05-29,65.7807
2020-04-30,65.7256
2020-03-31,65.6877
2020-02-28,65.8897
2020-01-31,65.8523
2019-12-31,65.2096
2019-11-29,63.8109
2019-10-31,62.5857
2019-09-30,62.0782
2019-08-30,61.7536
2019-07-31,61.2878
2019-06-28,60.9843
2019-05-31,60.5241
2019-04-30,60.2183
2019-03-29,60.0741
2019-02-28,60.1505
2019-01-31,60.2408
2018-12-31,60.3908
2018-11-30,61.5235
2018-10-31,62.1403
2018-09-28,62.7278
2018-08-31,62.7494
2018-07-31,62.7460
2018-06-29,62.9555
2018-05-31,63.2504
2018-04-30,63.3833
2018-03-29,63.7311
2018-02-28,64.0400
2018-01-31,64.0519
2017-12-29,63.8108
2017-11-30,63.6674
2017-10-31,62.6578
2017-09-29,62.0030
2017-08-31,59.8059
2017-07-31,59.5149
2017-06-30,59.4818
2017-05-31,59.4365
2017-04-28,59.3881
2017-03-31,59.3070
2017-02-28,59.3396
2017-01-31,59.3828
2016-12-30,59.4270
2016-11-30,59.6779
2016-10-31,60.1641
2016-09-30,60.1971
2016-08-31,60.2030
2016-07-29,60.1811
2016-06-30,60.1790
2016-05-31,60.2316
2016-04-29,60.8974
2016-03-31,61.3313
2016-02-29,62.1622
2016-01-29,63.9670
2015-12-31,64.7797
2015-11-30,65.2481
2015-10-30,65.4499
2015-09-30,65.4609
2015-08-31,65.6360
2015-07-31,65.6907
2015-06-30,65.1114
2015-05-29,64.8607
2015-04-30,64.8237
2015-03-31,62.3271
2015-02-27,58.7443
2015-01-30,53.9645
2014-12-31,52.8901
2014-11-28,52.7125
