,KAMA_monthly_10
2015-02-03,99.0164
2015-01-30,95.3894
2014-12-31,91.2809
2014-11-28,87.4881
2014-10-31,82.7727
2014-09-30,79.9753
2014-08-29,78.5829
2014-07-31,76.3889
2014-06-30,73.4064
2014-05-30,64.8950
2014-04-30,63.3531
2014-03-31,62.3706
2014-02-28,60.3063
2014-01-31,58.5997
2013-12-31,58.4742
2013-11-29,58.0700
2013-10-31,57.5032
2013-09-30,57.1392
2013-08-30,57.0684
2013-07-31,57.0292
2013-06-28,56.9604
2013-05-31,56.7103
2013-04-30,56.3212
2013-03-28,55.7090
2013-02-28,53.0175
2013-01-31,52.2550
2012-12-31,51.5707
2012-11-30,51.3075
2012-10-31,50.9742
2012-09-28,50.7644
2012-08-31,49.1648
2012-07-31,48.5412
2012-06-29,47.6563
2012-05-31,47.6171
2012-04-30,47.5989
2012-03-30,47.5124
2012-02-29,47.4884
2012-01-31,47.4534
2011-12-30,47.4453
2011-11-30,47.6728
2011-10-31,47.7134
2011-09-30,47.7536
2011-08-31,47.8427
2011-07-29,47.5777
2011-06-30,47.5350
2011-05-31,46.6155
2011-04-29,44.7857
2011-03-31,42.9988
2011-02-28,42.3874
2011-01-31,42.2580
2010-12-31,42.2337
2010-11-30,42.2295
2010-10-29,42.4460
2010-09-30,42.7648
2010-08-31,42.9894
2010-07-30,43.4732
2010-06-30,43.8179
2010-05-28,43.8726
2010-04-30,44.0418
2010-03-31,44.0083
2010-02-26,43.2041
2010-01-29,42.4569
2009-12-31,40.2889
2009-11-30,38.4038
2009-10-30,37.9972
2009-09-30,37.9630
2009-08-31,37.8607
2009-07-31,37.9107
2009-06-30,38.3736
2009-05-29,39.0329
2009-04-30,39.6124
2009-03-31,40.6694
2009-02-27,41.9734
2009-01-30,43.2458
2008-12-31,43.4882
2008-11-28,43.8298
2008-10-31,44.2368
2008-09-30,44.2636
2008-08-29,43.3365
2008-07-31,42.4181
2008-06-30,42.2164
2008-05-30,42.1483
