,KAMA_monthly_10
2020-07-30,1.0972
2020-06-30,1.1922
2020-05-29,1.2640
2020-04-30,1.3694
2020-03-31,1.4674
2020-02-28,1.6975
2020-01-31,1.8932
2019-12-31,1.9981
2019-11-29,2.0237
2019-10-31,2.2191
2019-09-30,2.3077
2019-08-30,2.4327
2019-07-31,2.7911
2019-06-28,3.4996
2019-05-31,4.0581
2019-04-30,4.3252
2019-03-29,4.5030
2019-02-28,4.6514
2019-01-31,4.7253
2018-12-31,4.7600
2018-11-30,4.7886
2018-10-31,4.8033
2018-09-28,4.8389
2018-08-31,4.2514
2018-07-31,3.6894
2018-06-29,3.4279
2018-05-31,2.7560
2018-04-30,2.3635
2018-03-29,2.2108
2018-02-28,2.1504
2018-01-31,2.1502
2017-12-29,2.1477
2017-11-30,2.1460
2017-10-31,2.2070
2017-09-29,2.6411
2017-08-31,3.2181
2017-07-31,3.3738
2017-06-30,3.5613
2017-05-31,3.7161
2017-04-28,3.8451
2017-03-31,3.9410
2017-02-28,4.0251
2017-01-31,4.0835
2016-12-30,4.1081
2016-11-30,4.1465
2016-10-31,4.1740
2016-09-30,4.1933
2016-08-31,4.2045
2016-07-29,4.2174
2016-06-30,4.2311
2016-05-31,4.2399
2016-04-29,4.2411
2016-03-31,4.2563
2016-02-29,4.5526
2016-01-29,5.4973
2015-12-31,6.0243
2015-11-30,6.6188
2015-10-30,6.7521
2015-09-30,6.9818
2015-08-31,7.5471
2015-07-31,8.0867
2015-06-30,9.1528
2015-05-29,9.8723
2015-04-30,10.4084
2015-03-31,10.7834
2015-02-27,11.5343
2015-01-30,12.1168
2014-12-31,13.5737
2014-11-28,14.9201
2014-10-31,16.3108
2014-09-30,16.7695
2014-08-29,16.8542
2014-07-31,16.8655
2014-06-30,16.8842
2014-05-30,16.8587
2014-04-30,16.8676
2014-03-31,16.8774
2014-02-28,16.9525
2014-01-31,17.0042
2013-12-31,17.1489
2013-11-29,17.2133
2013-10-31,17.2801
2013-09-30,17.2138
2013-08-30,17.1869
2013-07-31,17.2298
2013-06-28,17.2474
2013-05-31,17.2799
2013-04-30,17.2593
2013-03-28,17.2843
2013-02-28,17.1949
2013-01-31,17.1943
2012-12-31,17.1902
2012-11-30,17.3772
2012-10-31,17.6126
2012-09-28,17.6297
2012-08-31,17.6508
2012-07-31,17.6665
2012-06-29,17.7801
2012-05-31,17.8058
2012-04-30,17.8969
2012-03-30,17.8951
2012-02-29,17.9093
2012-01-31,17.8906
2011-12-30,17.8885
2011-11-30,18.3366
2011-10-31,18.3941
2011-09-30,18.4800
2011-08-31,19.0966
2011-07-29,19.1405
2011-06-30,19.1782
2011-05-31,19.1925
2011-04-29,18.9657
2011-03-31,18.4581
2011-02-28,17.4864
2011-01-31,17.1089
2010-12-31,17.0083
2010-11-30,16.9315
2010-10-29,16.9095
2010-09-30,16.9258
2010-08-31,16.9740
2010-07-30,16.9884
2010-06-30,17.0046
2010-05-28,17.0287
2010-04-30,17.0356
2010-03-31,16.9499
