,KAMA_monthly_10
2019-09-30,53.6611
2019-08-30,52.8950
2019-07-31,52.3867
2019-06-28,51.9329
2019-05-31,51.3085
2019-04-30,50.8901
2019-03-29,50.2765
2019-02-28,49.6040
2019-01-31,49.0842
2018-12-31,48.7119
2018-11-30,48.6525
2018-10-31,48.0418
2018-09-28,47.9395
2018-08-31,47.9310
2018-07-31,47.9028
2018-06-29,47.8671
2018-05-31,47.8649
2018-04-30,47.8689
2018-03-29,47.8712
2018-02-28,47.8759
2018-01-31,47.8934
2017-12-29,47.9137
2017-11-30,47.8233
2017-10-31,47.4728
2017-09-29,47.3515
2017-08-31,47.2719
