,KAMA_monthly_10
2022-04-04,117.5543
2022-03-31,119.3851
2022-02-28,120.7922
2022-01-31,120.9962
2021-12-31,121.1150
2021-11-30,117.2821
2021-10-29,116.2564
2021-09-30,115.2913
2021-08-31,114.7733
2021-07-30,112.1762
2021-06-30,107.1495
2021-05-28,100.9753
2021-04-30,92.7018
2021-03-31,87.8853
2021-02-26,82.7264
2021-01-29,81.0952
2020-12-31,79.4450
2020-11-30,75.2145
2020-10-30,73.1781
2020-09-30,72.3635
2020-08-31,70.5359
2020-07-31,68.7196
2020-06-30,67.7756
2020-05-29,67.5466
2020-04-30,67.4951
2020-03-31,67.4475
2020-02-28,67.4732
2020-01-31,67.4217
2019-12-31,67.3872
2019-11-29,67.2242
2019-10-31,67.0560
2019-09-30,66.9664
2019-08-30,66.9312
2019-07-31,66.8982
2019-06-28,66.8099
2019-05-31,66.7304
2019-04-30,66.7135
2019-03-29,66.4417
2019-02-28,66.3821
2019-01-31,66.1078
2018-12-31,66.0886
2018-11-30,66.0941
2018-10-31,65.5543
2018-09-28,65.5728
2018-08-31,64.9890
2018-07-31,63.9500
2018-06-29,61.5552
2018-05-31,59.2416
2018-04-30,56.7340
2018-03-29,56.3201
2018-02-28,55.7841
2018-01-31,55.0845
2017-12-29,54.3835
2017-11-30,53.6488
2017-10-31,52.4250
2017-09-29,52.2665
2017-08-31,51.8609
2017-07-31,51.7789
2017-06-30,51.0848
2017-05-31,50.7404
2017-04-28,50.7580
2017-03-31,50.0777
2017-02-28,48.7252
2017-01-31,47.3861
2016-12-30,47.0851
2016-11-30,45.7502
2016-10-31,43.8155
2016-09-30,41.8753
2016-08-31,41.4937
2016-07-29,41.3626
2016-06-30,41.1478
2016-05-31,41.1028
2016-04-29,41.0007
2016-03-31,40.7833
2016-02-29,40.6185
2016-01-29,40.6031
2015-12-31,40.5732
2015-11-30,40.5409
2015-10-30,40.1911
2015-09-30,39.7518
2015-08-31,39.7251
2015-07-31,39.2217
2015-06-30,38.8576
2015-05-29,38.6329
2015-04-30,38.5345
2015-03-31,38.4847
2015-02-27,38.3461
2015-01-30,37.9400
2014-12-31,37.8633
2014-11-28,37.6988
2014-10-31,37.3027
2014-09-30,37.2876
2014-08-29,37.3018
2014-07-31,37.2993
2014-06-30,37.2895
2014-05-30,37.1849
2014-04-30,36.9080
2014-03-31,36.9021
2014-02-28,36.9147
2014-01-31,36.9716
2013-12-31,36.9899
2013-11-29,36.7653
2013-10-31,36.7429
2013-09-30,36.5412
2013-08-30,36.3640
2013-07-31,36.3706
2013-06-28,36.3859
2013-05-31,36.4267
2013-04-30,36.4883
2013-03-28,36.5903
2013-02-28,36.6830
2013-01-31,36.6992
2012-12-31,36.6676
2012-11-30,36.7191
2012-10-31,37.0370
2012-09-28,37.2050
2012-08-31,37.5392
2012-07-31,37.9645
2012-06-29,38.1377
2012-05-31,38.2863
2012-04-30,38.5515
2012-03-30,38.8102
2012-02-29,38.7447
2012-01-31,38.8002
2011-12-30,38.7958
2011-11-30,38.9165
2011-10-31,38.9559
2011-09-30,38.9225
2011-08-31,39.3545
2011-07-29,39.3523
2011-06-30,39.3295
2011-05-31,38.8446
2011-04-29,38.3395
2011-03-31,37.0123
2011-02-28,36.5939
2011-01-31,36.4386
2010-12-31,35.8327
2010-11-30,34.0470
2010-10-29,32.1505
