,KAMA_monthly_10
2022-04-04,27.2542
2022-03-31,25.1090
2022-02-28,22.7577
2022-01-31,20.9801
2021-12-31,20.1513
2021-11-30,20.1226
2021-10-29,20.0782
2021-09-30,19.7386
2021-08-31,19.6360
2021-07-30,19.6142
2021-06-30,19.5115
2021-05-28,19.2691
2021-04-30,19.0236
2021-03-31,19.0008
2021-02-26,18.6978
2021-01-29,18.2256
2020-12-31,18.3511
2020-11-30,18.3470
2020-10-30,18.3955
2020-09-30,19.0385
2020-08-31,19.3764
2020-07-31,19.4222
2020-06-30,19.5373
2020-05-29,19.7450
2020-04-30,20.3552
2020-03-31,21.2677
2020-02-28,23.2612
2020-01-31,23.9797
2019-12-31,24.1634
2019-11-29,24.1860
2019-10-31,24.8924
2019-09-30,25.3463
2019-08-30,26.3194
2019-07-31,27.7925
2019-06-28,28.9257
2019-05-31,30.1892
2019-04-30,32.8168
2019-03-29,34.1166
2019-02-28,35.7358
2019-01-31,37.6082
2018-12-31,38.4218
2018-11-30,41.0150
2018-10-31,43.5179
2018-09-28,44.4616
2018-08-31,44.4976
2018-07-31,44.5731
2018-06-29,44.6369
2018-05-31,44.7055
2018-04-30,44.6664
2018-03-29,44.4397
2018-02-28,44.4512
2018-01-31,44.4628
2017-12-29,44.3372
2017-11-30,44.3244
2017-10-31,45.2276
2017-09-29,45.7350
2017-08-31,45.8800
2017-07-31,46.3365
2017-06-30,46.4310
2017-05-31,46.4695
2017-04-28,46.5371
2017-03-31,46.5754
2017-02-28,46.6824
2017-01-31,46.3191
2016-12-30,44.0418
2016-11-30,41.7072
2016-10-31,38.8098
2016-09-30,38.2409
2016-08-31,38.1463
2016-07-29,38.1263
2016-06-30,38.0452
2016-05-31,37.9385
2016-04-29,37.9384
2016-03-31,37.9456
2016-02-29,38.4117
2016-01-29,40.5595
2015-12-31,41.7008
2015-11-30,42.3486
2015-10-30,42.3858
2015-09-30,42.4331
2015-08-31,42.9398
2015-07-31,43.8931
2015-06-30,45.0971
2015-05-29,46.4032
2015-04-30,47.5571
2015-03-31,48.3101
2015-02-27,49.6532
2015-01-30,51.2227
2014-12-31,53.0165
2014-11-28,54.7235
2014-10-31,55.0872
2014-09-30,55.2207
2014-08-29,55.1214
2014-07-31,54.4929
2014-06-30,53.0709
2014-05-30,49.8826
2014-04-30,47.8288
2014-03-31,45.4128
2014-02-28,43.6832
2014-01-31,42.4117
2013-12-31,42.4094
2013-11-29,42.1282
2013-10-31,40.9747
2013-09-30,38.7219
2013-08-30,37.5117
2013-07-31,35.7928
2013-06-28,34.9963
2013-05-31,34.8029
2013-04-30,34.5887
2013-03-28,33.8542
2013-02-28,33.6942
2013-01-31,33.5518
2012-12-31,33.4510
2012-11-30,33.4972
2012-10-31,33.6393
2012-09-28,33.7332
2012-08-31,33.8420
2012-07-31,34.0617
2012-06-29,34.1606
2012-05-31,35.3627
2012-04-30,37.1660
2012-03-30,37.9076
2012-02-29,38.8203
2012-01-31,39.4110
