,KAMA_monthly_10
2022-04-04,360.8812
2022-03-31,361.3089
2022-02-28,361.9466
2022-01-31,362.2091
2021-12-31,361.9693
2021-11-30,330.2668
2021-10-29,303.8261
2021-09-30,280.9463
2021-08-31,274.2963
2021-07-30,266.4124
2021-06-30,260.0368
2021-05-28,256.3206
2021-04-30,250.6307
2021-03-31,240.5155
2021-02-26,233.3033
2021-01-29,231.8215
2020-12-31,224.3249
2020-11-30,221.8910
2020-10-30,218.5432
2020-09-30,215.7648
2020-08-31,210.1752
2020-07-31,205.2162
2020-06-30,202.6264
2020-05-29,201.1862
2020-04-30,199.2608
2020-03-31,199.0322
2020-02-28,199.1443
2020-01-31,198.8805
2019-12-31,196.9174
2019-11-29,195.8002
2019-10-31,194.3737
2019-09-30,185.7184
2019-08-30,179.3337
2019-07-31,172.7348
2019-06-28,172.3274
2019-05-31,171.9780
2019-04-30,171.9377
2019-03-29,171.5488
2019-02-28,171.4311
2019-01-31,171.4313
2018-12-31,171.4538
2018-11-30,171.6168
2018-10-31,171.7641
2018-09-28,171.9389
2018-08-31,169.8796
2018-07-31,167.7894
2018-06-29,166.0524
2018-05-31,163.8984
2018-04-30,162.8880
2018-03-29,162.3250
2018-02-28,162.3237
2018-01-31,162.0742
2017-12-29,152.6209
2017-11-30,144.2238
2017-10-31,136.2176
2017-09-29,131.3848
2017-08-31,125.2779
2017-07-31,121.9155
2017-06-30,120.1398
2017-05-31,118.0353
2017-04-28,116.4334
2017-03-31,112.9695
2017-02-28,111.8327
2017-01-31,111.0873
2016-12-30,110.8654
2016-11-30,110.5271
2016-10-31,110.4491
2016-09-30,110.5317
2016-08-31,110.5043
2016-07-29,110.1023
2016-06-30,108.6723
2016-05-31,108.4556
2016-04-29,107.5673
2016-03-31,105.8852
2016-02-29,103.9784
2016-01-29,103.4625
2015-12-31,103.0791
2015-11-30,101.1410
2015-10-30,97.2459
2015-09-30,95.5406
2015-08-31,94.8714
2015-07-31,93.9131
2015-06-30,92.2799
2015-05-29,91.7572
2015-04-30,90.9007
2015-03-31,90.8004
2015-02-27,87.4395
2015-01-30,81.5224
2014-12-31,77.6867
2014-11-28,73.3017
2014-10-31,69.2965
2014-09-30,67.4635
2014-08-29,66.3771
2014-07-31,64.3746
2014-06-30,64.1640
2014-05-30,63.8568
2014-04-30,63.8105
2014-03-31,63.7609
2014-02-28,63.7318
2014-01-31,63.4268
2013-12-31,63.4008
2013-11-29,62.3151
2013-10-31,61.3929
2013-09-30,60.6800
2013-08-30,60.4570
2013-07-31,60.3489
2013-06-28,58.8459
2013-05-31,57.1702
2013-04-30,53.9965
2013-03-28,51.9598
2013-02-28,50.2196
2013-01-31,49.0414
2012-12-31,47.8930
2012-11-30,47.4267
2012-10-31,45.1583
2012-09-28,43.3617
2012-08-31,41.0817
2012-07-31,39.0692
2012-06-29,37.8987
2012-05-31,35.8883
2012-04-30,34.8222
2012-03-30,32.5481
2012-02-29,30.0418
2012-01-31,28.3626
2011-12-30,27.2398
2011-11-30,26.5700
2011-10-31,26.2699
2011-09-30,26.2184
2011-08-31,26.2315
2011-07-29,26.2208
2011-06-30,26.1182
2011-05-31,25.4707
2011-04-29,24.8259
2011-03-31,23.4282
2011-02-28,23.2010
2011-01-31,23.0553
2010-12-31,22.8174
2010-11-30,22.6416
2010-10-29,22.6229
2010-09-30,22.6001
2010-08-31,22.5174
2010-07-30,22.5515
2010-06-30,22.5668
2010-05-28,22.5814
2010-04-30,22.1092
2010-03-31,20.7916
2010-02-26,19.8725
2010-01-29,19.6236
2009-12-31,19.5347
2009-11-30,19.2384
2009-10-30,19.1577
2009-09-30,19.1702
2009-08-31,19.1308
2009-07-31,19.0717
2009-06-30,19.0709
2009-05-29,19.1138
2009-04-30,19.1231
2009-03-31,19.1168
2009-02-27,19.1717
2009-01-30,19.7657
2008-12-31,20.1663
2008-11-28,20.2702
2008-10-31,20.5853
2008-09-30,20.6567
2008-08-29,20.6875
2008-07-31,20.7240
2008-06-30,21.0732
2008-05-30,21.8485
