,KAMA_monthly_10
2022-04-04,206.3156
2022-03-31,206.7691
2022-02-28,207.7422
2022-01-31,208.8501
2021-12-31,208.9420
2021-11-30,208.9627
2021-10-29,209.0823
2021-09-30,208.9864
2021-08-31,208.9667
2021-07-30,205.2418
2021-06-30,200.4660
2021-05-28,198.1453
2021-04-30,188.9947
2021-03-31,180.0115
2021-02-26,171.1832
2021-01-29,164.6281
2020-12-31,158.3451
2020-11-30,151.5263
2020-10-30,148.4274
2020-09-30,148.2128
2020-08-31,147.9554
2020-07-31,147.8550
2020-06-30,147.9987
2020-05-29,148.3610
2020-04-30,148.8029
2020-03-31,150.0647
2020-02-28,151.9172
2020-01-31,151.8298
2019-12-31,151.0936
2019-11-29,149.2444
2019-10-31,145.6850
2019-09-30,142.2554
2019-08-30,141.1922
2019-07-31,140.3905
2019-06-28,139.7681
2019-05-31,138.5577
2019-04-30,138.1033
2019-03-29,135.5679
2019-02-28,134.9700
2019-01-31,134.5679
2018-12-31,134.5691
2018-11-30,134.8465
2018-10-31,134.8223
2018-09-28,134.8221
2018-08-31,134.2134
2018-07-31,133.7170
2018-06-29,133.1283
2018-05-31,133.2646
2018-04-30,133.3850
2018-03-29,133.7059
2018-02-28,134.0578
2018-01-31,134.1433
2017-12-29,130.7552
2017-11-30,128.6711
2017-10-31,121.8763
2017-09-29,118.4599
2017-08-31,114.0044
2017-07-31,108.4138
2017-06-30,106.0792
2017-05-31,104.0733
2017-04-28,101.6451
2017-03-31,99.4554
2017-02-28,98.2029
2017-01-31,96.8396
2016-12-30,96.3857
2016-11-30,95.7760
2016-10-31,95.4799
2016-09-30,95.5816
2016-08-31,93.9018
2016-07-29,91.3302
2016-06-30,87.3972
2016-05-31,84.8843
2016-04-29,84.0216
2016-03-31,82.8489
2016-02-29,82.2416
2016-01-29,82.1920
2015-12-31,82.1657
2015-11-30,82.1062
2015-10-30,81.8962
2015-09-30,81.8066
2015-08-31,81.8418
2015-07-31,81.8046
2015-06-30,81.0277
2015-05-29,80.7781
2015-04-30,79.8907
2015-03-31,79.5741
2015-02-27,78.3584
2015-01-30,77.2261
2014-12-31,76.9169
2014-11-28,76.3266
2014-10-31,75.5167
2014-09-30,75.2096
2014-08-29,75.0979
2014-07-31,74.3512
2014-06-30,74.1784
2014-05-30,73.4398
2014-04-30,72.9266
2014-03-31,72.3241
2014-02-28,71.5827
2014-01-31,69.4651
2013-12-31,68.3661
2013-11-29,66.6212
2013-10-31,65.0843
2013-09-30,63.5186
2013-08-30,62.4613
2013-07-31,61.9953
2013-06-28,59.5919
2013-05-31,57.5400
2013-04-30,54.8055
2013-03-28,52.9633
2013-02-28,47.2605
2013-01-31,45.6657
2012-12-31,44.5537
2012-11-30,44.1043
2012-10-31,43.7736
2012-09-28,43.2241
2012-08-31,42.8307
2012-07-31,42.4624
2012-06-29,41.8070
2012-05-31,41.6619
2012-04-30,41.6236
2012-03-30,41.5610
2012-02-29,41.4832
2012-01-31,41.4619
2011-12-30,41.4434
2011-11-30,41.4365
2011-10-31,41.4344
2011-09-30,41.4402
2011-08-31,41.6669
2011-07-29,41.7230
2011-06-30,41.8478
2011-05-31,39.8661
2011-04-29,38.4252
2011-03-31,35.3622
