,KAMA_monthly_10
2022-04-04,14.4330
2022-03-31,14.3012
2022-02-28,14.2334
2022-01-31,14.2207
2021-12-31,14.1723
2021-11-30,14.1075
2021-10-29,14.1057
2021-09-30,14.0745
2021-08-31,14.0788
2021-07-30,13.7459
2021-06-30,13.6654
2021-05-28,13.5603
2021-04-30,12.8969
2021-03-31,11.9352
2021-02-26,10.7390
2021-01-29,9.9453
2020-12-31,9.6410
2020-11-30,9.6255
2020-10-30,9.5724
2020-09-30,10.2360
2020-08-31,10.7871
2020-07-31,11.5210
2020-06-30,11.9428
2020-05-29,12.1802
2020-04-30,12.5131
2020-03-31,12.8639
2020-02-28,13.1130
2020-01-31,13.1754
2019-12-31,13.1818
2019-11-29,13.1754
2019-10-31,13.1622
2019-09-30,13.0426
2019-08-30,13.0351
2019-07-31,13.0431
2019-06-28,13.0434
2019-05-31,13.0351
2019-04-30,13.0496
2019-03-29,13.0177
2019-02-28,13.0082
2019-01-31,12.9971
2018-12-31,12.9733
2018-11-30,13.2032
2018-10-31,13.2015
2018-09-28,13.1963
2018-08-31,13.1323
2018-07-31,13.0539
2018-06-29,13.0457
2018-05-31,13.0481
2018-04-30,13.0397
2018-03-29,12.7641
2018-02-28,12.5864
2018-01-31,12.0987
2017-12-29,11.9137
2017-11-30,11.8928
2017-10-31,11.8883
2017-09-29,11.8859
2017-08-31,11.8602
2017-07-31,11.8515
2017-06-30,11.8528
2017-05-31,11.8633
2017-04-28,11.6907
2017-03-31,11.4317
2017-02-28,11.3024
2017-01-31,11.2619
2016-12-30,11.2452
2016-11-30,11.1316
2016-10-31,10.8744
2016-09-30,10.8137
