,KAMA_monthly_10
2022-04-04,253.7553
2022-03-31,253.8544
2022-02-28,254.0972
2022-01-31,254.2658
2021-12-31,254.8721
2021-11-30,247.3455
2021-10-29,244.3147
2021-09-30,239.7348
2021-08-31,239.7811
2021-07-30,225.0727
2021-06-30,211.9141
2021-05-28,199.8020
2021-04-30,183.3777
2021-03-31,161.1028
2021-02-26,155.4200
2021-01-29,147.9115
2020-12-31,140.0497
2020-11-30,137.7011
2020-10-30,137.2264
2020-09-30,137.1510
2020-08-31,136.8673
2020-07-31,136.2101
2020-06-30,135.9553
2020-05-29,135.8501
2020-04-30,135.6662
2020-03-31,135.4718
2020-02-28,137.0638
2020-01-31,137.0520
2019-12-31,136.4549
2019-11-29,135.6912
2019-10-31,135.1704
2019-09-30,134.3537
2019-08-30,133.3950
2019-07-31,131.0021
2019-06-28,128.5085
2019-05-31,124.9368
2019-04-30,124.4769
2019-03-29,122.3674
2019-02-28,117.7972
2019-01-31,113.1044
2018-12-31,110.9956
2018-11-30,110.6143
2018-10-31,108.6787
2018-09-28,106.5956
2018-08-31,102.0111
2018-07-31,99.8215
2018-06-29,97.0518
2018-05-31,97.0093
2018-04-30,96.9447
2018-03-29,96.9740
2018-02-28,96.9099
2018-01-31,96.8099
2017-12-29,96.0033
2017-11-30,95.7336
2017-10-31,94.3879
2017-09-29,86.7516
2017-08-31,83.6084
2017-07-31,77.1137
2017-06-30,76.2653
2017-05-31,75.1668
2017-04-28,74.5329
2017-03-31,73.2918
2017-02-28,72.8060
2017-01-31,72.6280
2016-12-30,72.2116
2016-11-30,71.9400
2016-10-31,71.4926
2016-09-30,71.4899
2016-08-31,70.6899
2016-07-29,70.1111
2016-06-30,69.8666
2016-05-31,70.0969
2016-04-29,70.2039
2016-03-31,70.2205
2016-02-29,70.3216
2016-01-29,70.4217
2015-12-31,70.6809
2015-11-30,70.7178
2015-10-30,70.8204
2015-09-30,70.9888
2015-08-31,71.1453
2015-07-31,70.2169
2015-06-30,66.9558
2015-05-29,64.6023
2015-04-30,62.5971
2015-03-31,61.4222
2015-02-27,58.3631
2015-01-30,54.5875
2014-12-31,53.6451
2014-11-28,53.4260
2014-10-31,52.9997
2014-09-30,52.2879
2014-08-29,51.8250
2014-07-31,51.1584
2014-06-30,50.8686
2014-05-30,50.6830
2014-04-30,50.6717
