,KAMA_monthly_10
2022-04-04,24.3366
2022-03-31,24.3853
2022-02-28,24.4858
2022-01-31,24.7505
2021-12-31,24.8006
2021-11-30,24.8203
2021-10-29,24.8716
2021-09-30,24.8489
2021-08-31,24.9765
2021-07-30,24.9778
2021-06-30,25.2330
2021-05-28,24.7980
2021-04-30,22.2788
2021-03-31,19.7750
2021-02-26,16.7543
2021-01-29,14.1576
2020-12-31,11.8125
2020-11-30,11.6165
2020-10-30,11.5986
2020-09-30,11.5525
2020-08-31,11.6075
2020-07-31,11.7846
2020-06-30,12.0422
2020-05-29,12.1498
2020-04-30,13.3952
2020-03-31,14.9270
2020-02-28,16.2491
2020-01-31,16.6456
2019-12-31,16.6569
2019-11-29,16.6590
2019-10-31,16.6644
2019-09-30,16.6819
2019-08-30,16.7160
2019-07-31,16.8619
2019-06-28,16.8629
2019-05-31,16.8326
2019-04-30,16.8077
2019-03-29,16.7165
2019-02-28,16.7221
2019-01-31,16.7232
2018-12-31,17.1989
2018-11-30,19.1944
2018-10-31,20.4618
2018-09-28,21.9661
2018-08-31,23.5199
2018-07-31,24.8520
2018-06-29,25.4443
2018-05-31,25.8036
2018-04-30,26.1916
2018-03-29,26.4450
2018-02-28,26.4480
2018-01-31,26.4461
2017-12-29,26.0371
2017-11-30,25.7214
2017-10-31,25.2101
2017-09-29,24.9239
2017-08-31,24.7670
2017-07-31,24.6680
2017-06-30,24.5545
2017-05-31,24.3997
2017-04-28,24.3712
2017-03-31,24.2228
2017-02-28,24.2228
2017-01-31,24.2044
2016-12-30,24.2175
2016-11-30,24.2304
2016-10-31,24.2254
2016-09-30,24.2937
2016-08-31,24.2936
2016-07-29,24.2939
2016-06-30,24.3104
2016-05-31,24.6635
2016-04-29,24.6910
2016-03-31,24.7430
2016-02-29,24.8425
2016-01-29,25.9658
2015-12-31,26.3863
2015-11-30,26.4763
2015-10-30,26.4924
2015-09-30,26.5714
2015-08-31,26.8842
2015-07-31,26.9635
2015-06-30,26.9550
2015-05-29,26.9301
2015-04-30,26.8429
2015-03-31,26.6289
2015-02-27,26.5024
2015-01-30,26.2113
2014-12-31,26.2061
2014-11-28,25.8934
2014-10-31,25.1962
2014-09-30,24.9559
2014-08-29,24.7163
2014-07-31,24.0871
2014-06-30,23.7755
2014-05-30,23.3213
2014-04-30,23.1182
2014-03-31,23.0183
2014-02-28,22.8636
2014-01-31,22.7971
2013-12-31,22.7448
2013-11-29,22.0398
2013-10-31,21.5560
2013-09-30,21.1588
2013-08-30,20.9345
2013-07-31,20.8494
2013-06-28,20.4791
2013-05-31,20.0516
2013-04-30,18.0982
2013-03-28,16.4837
2013-02-28,15.1857
2013-01-31,15.0243
2012-12-31,14.9667
2012-11-30,14.8947
