,KAMA_monthly_10
2022-04-04,177.5289
2022-03-31,177.6684
2022-02-28,178.0054
2022-01-31,178.2989
2021-12-31,178.6089
2021-11-30,171.1466
2021-10-29,165.8550
2021-09-30,162.8964
2021-08-31,162.6247
2021-07-30,151.2793
2021-06-30,142.4769
2021-05-28,134.7993
2021-04-30,130.8883
2021-03-31,122.9735
2021-02-26,117.6915
2021-01-29,110.3693
2020-12-31,99.0031
2020-11-30,94.3811
2020-10-30,91.7959
2020-09-30,91.6986
2020-08-31,91.5450
2020-07-31,91.4931
2020-06-30,91.4284
2020-05-29,91.3362
2020-04-30,90.4215
2020-03-31,90.3000
2020-02-28,90.4549
2020-01-31,90.3665
2019-12-31,90.3256
2019-11-29,89.3065
2019-10-31,85.7497
2019-09-30,82.2626
2019-08-30,79.0674
2019-07-31,74.8939
2019-06-28,73.6936
2019-05-31,72.2474
2019-04-30,72.0753
2019-03-29,69.0532
2019-02-28,65.2814
2019-01-31,60.8160
2018-12-31,58.8010
2018-11-30,58.4522
2018-10-31,58.0931
2018-09-28,58.2039
2018-08-31,55.1976
2018-07-31,52.4112
2018-06-29,51.0425
2018-05-31,48.5222
2018-04-30,45.7931
2018-03-29,44.5527
2018-02-28,42.5368
2018-01-31,41.6833
2017-12-29,40.6357
2017-11-30,40.5817
2017-10-31,40.1500
2017-09-29,38.9678
2017-08-31,38.5581
2017-07-31,38.0086
2017-06-30,36.7402
2017-05-31,36.0365
2017-04-28,35.1436
2017-03-31,34.4179
2017-02-28,34.1924
2017-01-31,32.9073
2016-12-30,32.0650
2016-11-30,31.0593
2016-10-31,29.4022
2016-09-30,29.2688
2016-08-31,29.2497
2016-07-29,29.2283
2016-06-30,29.2282
2016-05-31,29.2307
2016-04-29,29.2245
2016-03-31,29.3684
2016-02-29,29.4430
2016-01-29,29.7369
2015-12-31,31.3869
2015-11-30,31.9581
2015-10-30,31.9842
2015-09-30,31.9753
