,KAMA_monthly_10
2022-04-04,34.7662
2022-03-31,34.7313
2022-02-28,34.6026
2022-01-31,34.5688
2021-12-31,34.5434
2021-11-30,34.5347
2021-10-29,34.5494
2021-09-30,34.5395
2021-08-31,34.4765
2021-07-30,34.4323
2021-06-30,34.1053
2021-05-28,33.8008
2021-04-30,32.6590
2021-03-31,31.7401
2021-02-26,30.8565
2021-01-29,30.5323
2020-12-31,30.3790
2020-11-30,29.9491
2020-10-30,29.8947
2020-09-30,29.9004
2020-08-31,29.9131
2020-07-31,29.8011
2020-06-30,29.6612
2020-05-29,29.6684
2020-04-30,29.6759
2020-03-31,29.6884
2020-02-28,29.7597
2020-01-31,30.0628
2019-12-31,30.1089
2019-11-29,30.1176
2019-10-31,30.3943
2019-09-30,30.4625
2019-08-30,31.2354
2019-07-31,33.0093
2019-06-28,33.8488
2019-05-31,35.2795
2019-04-30,39.1003
2019-03-29,42.4922
2019-02-28,44.9911
2019-01-31,47.3300
2018-12-31,47.8402
2018-11-30,50.4070
2018-10-31,52.1681
2018-09-28,53.4022
2018-08-31,55.0611
2018-07-31,55.7029
2018-06-29,56.2494
2018-05-31,56.6593
2018-04-30,59.1147
2018-03-29,62.6010
2018-02-28,65.7585
2018-01-31,67.7068
2017-12-29,68.0422
2017-11-30,68.5130
2017-10-31,68.5953
2017-09-29,69.0596
2017-08-31,69.1442
2017-07-31,69.2604
2017-06-30,69.2565
2017-05-31,69.2647
2017-04-28,68.8925
2017-03-31,68.8118
2017-02-28,68.5509
2017-01-31,68.0739
2016-12-30,67.8291
2016-11-30,67.7113
2016-10-31,67.8320
2016-09-30,67.2582
2016-08-31,66.3466
2016-07-29,65.7699
2016-06-30,65.4841
