,KAMA_monthly_10
2022-04-04,40.8350
2022-03-31,42.0070
2022-02-28,44.4047
2022-01-31,45.1741
2021-12-31,45.3199
2021-11-30,45.3470
2021-10-29,45.3774
2021-09-30,45.3683
2021-08-31,45.3947
2021-07-30,45.3056
2021-06-30,45.2298
2021-05-28,44.4472
2021-04-30,41.7390
2021-03-31,39.8566
2021-02-26,38.5506
2021-01-29,38.2998
2020-12-31,38.1753
2020-11-30,38.0651
2020-10-30,38.0370
2020-09-30,38.0014
2020-08-31,37.9723
2020-07-31,37.9597
2020-06-30,37.9618
2020-05-29,37.9864
2020-04-30,38.2199
2020-03-31,38.2651
2020-02-28,38.6182
2020-01-31,38.6361
2019-12-31,38.4733
2019-11-29,38.1694
2019-10-31,37.4437
2019-09-30,36.4931
2019-08-30,36.4826
2019-07-31,36.5152
2019-06-28,36.5228
2019-05-31,36.5751
2019-04-30,36.7547
2019-03-29,36.7921
2019-02-28,36.7837
2019-01-31,36.6737
2018-12-31,36.6812
2018-11-30,36.9140
2018-10-31,37.0690
2018-09-28,37.6472
2018-08-31,37.6336
2018-07-31,37.6208
2018-06-29,37.6201
2018-05-31,37.6157
2018-04-30,37.8122
2018-03-29,38.3986
2018-02-28,38.4353
2018-01-31,38.6666
2017-12-29,38.6396
2017-11-30,38.6313
2017-10-31,38.6008
2017-09-29,38.5916
2017-08-31,38.5748
2017-07-31,38.5759
2017-06-30,38.5024
2017-05-31,38.4296
2017-04-28,38.3963
2017-03-31,38.2785
2017-02-28,38.2307
2017-01-31,38.2082
2016-12-30,38.2013
2016-11-30,38.0697
2016-10-31,37.9559
2016-09-30,37.9721
2016-08-31,37.9751
2016-07-29,37.3270
2016-06-30,36.2521
2016-05-31,35.8190
2016-04-29,35.7116
2016-03-31,35.6661
2016-02-29,35.6146
2016-01-29,35.6099
2015-12-31,35.6589
2015-11-30,35.6795
2015-10-30,35.6324
2015-09-30,35.6265
2015-08-31,35.6414
2015-07-31,35.6676
2015-06-30,35.1794
2015-05-29,34.2389
2015-04-30,33.3896
2015-03-31,33.3871
2015-02-27,32.0855
2015-01-30,30.6932
2014-12-31,29.6275
2014-11-28,28.0733
2014-10-31,26.0447
2014-09-30,24.8183
2014-08-29,24.3969
2014-07-31,23.8932
2014-06-30,23.7660
2014-05-30,22.9353
2014-04-30,22.7355
2014-03-31,22.6151
2014-02-28,22.5478
2014-01-31,22.5280
2013-12-31,22.5199
2013-11-29,22.5031
2013-10-31,22.5018
2013-09-30,22.5147
2013-08-30,22.5144
2013-07-31,22.5632
2013-06-28,22.4311
2013-05-31,22.3035
2013-04-30,21.9550
2013-03-28,21.3291
2013-02-28,18.9573
2013-01-31,17.6174
2012-12-31,16.7989
2012-11-30,16.2789
2012-10-31,15.3800
2012-09-28,15.0471
2012-08-31,14.8179
2012-07-31,14.7108
2012-06-29,14.5623
2012-05-31,14.5602
2012-04-30,14.5602
2012-03-30,14.5459
2012-02-29,14.5159
2012-01-31,14.4733
2011-12-30,14.4633
2011-11-30,14.4442
2011-10-31,14.4366
2011-09-30,14.4342
2011-08-31,14.4384
2011-07-29,14.4175
2011-06-30,14.4162
2011-05-31,14.1846
2011-04-29,13.8957
2011-03-31,13.4268
2011-02-28,13.3606
2011-01-31,13.3465
2010-12-31,13.3249
2010-11-30,13.2551
2010-10-29,13.2492
2010-09-30,13.2491
2010-08-31,13.1889
2010-07-30,13.1950
2010-06-30,13.1903
2010-05-28,13.1990
2010-04-30,12.9617
2010-03-31,12.1647
2010-02-26,11.7618
2010-01-29,11.7369
2009-12-31,11.7903
2009-11-30,11.0101
2009-10-30,10.5895
2009-09-30,10.4444
2009-08-31,10.2458
2009-07-31,10.2272
2009-06-30,10.2149
2009-05-29,10.2923
2009-04-30,10.3498
2009-03-31,10.3715
2009-02-27,10.4865
2009-01-30,10.6255
2008-12-31,10.6758
2008-11-28,10.6873
2008-10-31,10.7486
2008-09-30,10.7534
2008-08-29,10.7182
2008-07-31,10.6534
2008-06-30,10.6478
2008-05-30,10.6763
2008-04-30,10.6752
2008-03-31,10.7831
2008-02-29,11.2376
2008-01-31,11.4787
2007-12-31,11.5225
2007-11-30,11.7709
2007-10-31,11.8061
