,KAMA_monthly_10
2022-04-04,105.2716
2022-03-31,100.7703
2022-02-28,96.1927
2022-01-31,94.2828
2021-12-31,94.1730
2021-11-30,94.7179
2021-10-29,94.8507
2021-09-30,94.4364
2021-08-31,94.3262
2021-07-30,95.0254
2021-06-30,95.6610
2021-05-28,93.3213
2021-04-30,93.2971
2021-03-31,94.1477
2021-02-26,94.2334
2021-01-29,88.5594
2020-12-31,91.5454
2020-11-30,92.5963
2020-10-30,95.2176
2020-09-30,112.0901
2020-08-31,119.5164
2020-07-31,123.1850
2020-06-30,126.7912
2020-05-29,130.2215
2020-04-30,139.4498
2020-03-31,158.6060
2020-02-28,169.7068
2020-01-31,175.5231
2019-12-31,179.3363
2019-11-29,179.7769
2019-10-31,182.9430
2019-09-30,183.5538
2019-08-30,187.1748
2019-07-31,199.4282
2019-06-28,205.6758
2019-05-31,212.9892
2019-04-30,228.0399
2019-03-29,235.1644
2019-02-28,246.9402
2019-01-31,265.8029
2018-12-31,285.7591
2018-11-30,327.9301
2018-10-31,368.1549
2018-09-28,375.0422
2018-08-31,375.8664
2018-07-31,377.3422
2018-06-29,381.2356
2018-05-31,381.6422
2018-04-30,381.8057
2018-03-29,382.0158
2018-02-28,383.4462
2018-01-31,389.6286
2017-12-29,392.6451
2017-11-30,408.3944
2017-10-31,451.8067
2017-09-29,527.3349
2017-08-31,571.8309
2017-07-31,596.2846
2017-06-30,614.1768
2017-05-31,618.3328
2017-04-28,619.3646
2017-03-31,620.4268
2017-02-28,622.7724
2017-01-31,619.6888
2016-12-30,591.8722
2016-11-30,544.5342
2016-10-31,492.4065
2016-09-30,489.3182
2016-08-31,487.4333
2016-07-29,487.6878
2016-06-30,488.3347
2016-05-31,489.2889
2016-04-29,492.6040
2016-03-31,498.9795
2016-02-29,513.0948
2016-01-29,622.1265
2015-12-31,661.0137
2015-11-30,680.3663
2015-10-30,684.0484
2015-09-30,692.4709
2015-08-31,706.0543
2015-07-31,724.7997
2015-06-30,761.0109
2015-05-29,786.5797
2015-04-30,813.8568
2015-03-31,831.6683
2015-02-27,874.8037
2015-01-30,934.9871
2014-12-31,1025.4627
2014-11-28,1081.3509
2014-10-31,1092.7995
2014-09-30,1095.4670
2014-08-29,1105.1066
2014-07-31,1095.2102
2014-06-30,1082.2585
2014-05-30,995.3435
2014-04-30,939.7998
2014-03-31,872.8859
2014-02-28,815.4706
2014-01-31,764.3095
2013-12-31,765.3533
2013-11-29,765.8330
2013-10-31,766.1346
2013-09-30,769.1940
2013-08-30,772.7162
2013-07-31,779.2489
2013-06-28,783.2614
2013-05-31,784.8894
2013-04-30,790.2706
2013-03-28,791.8373
2013-02-28,800.9506
2013-01-31,801.4699
2012-12-31,802.7464
2012-11-30,840.1555
2012-10-31,850.6781
2012-09-28,863.5891
2012-08-31,876.2859
2012-07-31,886.9995
2012-06-29,890.7708
2012-05-31,897.9768
2012-04-30,929.3331
2012-03-30,940.4729
2012-02-29,953.8596
2012-01-31,956.3383
2011-12-30,973.7818
2011-11-30,995.1364
2011-10-31,1003.1470
2011-09-30,1008.8453
2011-08-31,1044.6085
2011-07-29,1048.8345
2011-06-30,1043.3523
2011-05-31,1045.3460
2011-04-29,1029.7838
2011-03-31,952.5146
2011-02-28,888.3444
2011-01-31,865.0462
2010-12-31,857.1449
2010-11-30,855.7271
2010-10-29,855.3986
2010-09-30,855.2530
2010-08-31,858.0095
2010-07-30,876.4773
2010-06-30,880.9482
2010-05-28,881.6150
2010-04-30,883.9006
2010-03-31,881.6312
2010-02-26,883.1275
2010-01-29,876.7170
2009-12-31,860.2801
2009-11-30,844.1602
2009-10-30,841.1073
2009-09-30,837.2121
2009-08-31,834.9687
2009-07-31,838.2161
2009-06-30,846.0057
2009-05-29,882.1790
