,KAMA_monthly_10
2022-04-04,61.6497
2022-03-31,58.5398
2022-02-28,57.8803
2022-01-31,57.7231
2021-12-31,57.6916
2021-11-30,57.5448
2021-10-29,57.5861
2021-09-30,57.6572
2021-08-31,57.7001
2021-07-30,57.7148
2021-06-30,57.6938
2021-05-28,57.6589
2021-04-30,57.3165
2021-03-31,57.2863
2021-02-26,57.2717
2021-01-29,57.3961
2020-12-31,57.4322
2020-11-30,57.4448
2020-10-30,57.5894
2020-09-30,57.1629
2020-08-31,56.3375
2020-07-31,53.6563
2020-06-30,47.7024
2020-05-29,44.2479
2020-04-30,40.7793
2020-03-31,36.6189
2020-02-28,35.5500
2020-01-31,34.3233
2019-12-31,33.5879
2019-11-29,32.9156
2019-10-31,32.7781
2019-09-30,32.5204
2019-08-30,32.3293
2019-07-31,31.7166
2019-06-28,31.5008
2019-05-31,30.9035
2019-04-30,30.9060
2019-03-29,31.0332
2019-02-28,30.9944
2019-01-31,31.0083
2018-12-31,31.0224
2018-11-30,31.0127
2018-10-31,31.3501
2018-09-28,31.6928
2018-08-31,32.1521
2018-07-31,32.4303
2018-06-29,32.4270
2018-05-31,32.4196
2018-04-30,32.3500
2018-03-29,32.0104
2018-02-28,31.8286
2018-01-31,31.7122
2017-12-29,31.0412
2017-11-30,30.9235
2017-10-31,30.9045
2017-09-29,30.8788
2017-08-31,30.7135
2017-07-31,30.6759
2017-06-30,30.6442
2017-05-31,30.7813
2017-04-28,30.8548
2017-03-31,30.8882
2017-02-28,30.8988
2017-01-31,30.9027
2016-12-30,30.8507
2016-11-30,30.8817
2016-10-31,31.0229
2016-09-30,30.7973
2016-08-31,30.0983
2016-07-29,29.5657
2016-06-30,25.9290
2016-05-31,23.3796
2016-04-29,22.2369
2016-03-31,21.3495
2016-02-29,21.3372
2016-01-29,21.3288
2015-12-31,21.3729
2015-11-30,21.7584
2015-10-30,22.0264
2015-09-30,22.0554
2015-08-31,22.1542
2015-07-31,22.2251
2015-06-30,22.4419
2015-05-29,22.4788
2015-04-30,22.4605
2015-03-31,22.4547
2015-02-27,22.4822
2015-01-30,22.4762
2014-12-31,22.4820
2014-11-28,22.7360
2014-10-31,22.9092
2014-09-30,23.1419
2014-08-29,23.1797
2014-07-31,23.1772
2014-06-30,23.2241
2014-05-30,23.2967
2014-04-30,23.6219
2014-03-31,23.7498
2014-02-28,24.3988
2014-01-31,24.9151
2013-12-31,27.0007
2013-11-29,28.4806
2013-10-31,30.0603
2013-09-30,31.5952
2013-08-30,33.2737
2013-07-31,34.9058
2013-06-28,38.3698
2013-05-31,40.3647
2013-04-30,40.8436
2013-03-28,41.9640
2013-02-28,42.0785
2013-01-31,42.3603
2012-12-31,42.6096
2012-11-30,42.8526
2012-10-31,43.1362
2012-09-28,43.0957
2012-08-31,42.9160
2012-07-31,43.0425
2012-06-29,44.0118
2012-05-31,44.4341
2012-04-30,44.6483
2012-03-30,44.7807
2012-02-29,44.8328
2012-01-31,44.8018
2011-12-30,44.5853
2011-11-30,44.4644
2011-10-31,42.0467
2011-09-30,41.5858
2011-08-31,41.3017
2011-07-29,41.1859
2011-06-30,40.9864
2011-05-31,40.8503
2011-04-29,40.8149
2011-03-31,40.7306
2011-02-28,40.7083
2011-01-31,40.6907
2010-12-31,40.6349
2010-11-30,39.9690
2010-10-29,39.2553
2010-09-30,38.5909
2010-08-31,38.1743
2010-07-30,37.4068
2010-06-30,37.0890
2010-05-28,35.5842
2010-04-30,35.1239
2010-03-31,34.2268
2010-02-26,34.1658
2010-01-29,34.0100
2009-12-31,34.0108
2009-11-30,33.9398
2009-10-30,33.3008
2009-09-30,33.2860
2009-08-31,33.2055
2009-07-31,33.3181
2009-06-30,33.3251
2009-05-29,33.3370
2009-04-30,33.3051
2009-03-31,33.3756
2009-02-27,33.3602
2009-01-30,33.3662
2008-12-31,33.4015
2008-11-28,33.4477
2008-10-31,34.1754
2008-09-30,35.9169
2008-08-29,36.2427
2008-07-31,36.2735
2008-06-30,36.2561
2008-05-30,35.9715
2008-04-30,35.9351
2008-03-31,35.9842
2008-02-29,36.0050
2008-01-31,35.6352
2007-12-31,34.3529
2007-11-30,34.2175
2007-10-31,33.9982
2007-09-28,33.5700
2007-08-31,33.5469
2007-07-31,33.5818
2007-06-29,33.5934
2007-05-31,34.3118
2007-04-30,34.8594
2007-03-30,35.3913
2007-02-28,35.8398
2007-01-31,36.0595
2006-12-29,36.1143
2006-11-30,36.1780
2006-10-31,36.1935
2006-09-29,36.2366
