,KAMA_monthly_10
2022-04-04,111.1096
2022-03-31,106.6525
2022-02-28,103.0595
2022-01-31,100.5195
2021-12-31,100.4995
2021-11-30,98.6040
2021-10-29,97.5840
2021-09-30,95.5173
2021-08-31,95.2479
2021-07-30,87.2113
2021-06-30,81.7805
2021-05-28,77.7068
2021-04-30,65.5506
2021-03-31,58.6822
2021-02-26,50.2576
2021-01-29,48.0384
2020-12-31,48.1026
2020-11-30,47.3625
2020-10-30,47.1270
2020-09-30,47.1538
2020-08-31,47.3949
2020-07-31,47.5313
2020-06-30,47.8455
2020-05-29,48.0762
2020-04-30,48.5074
2020-03-31,49.1675
2020-02-28,49.9048
2020-01-31,50.6770
2019-12-31,50.9421
2019-11-29,50.9160
2019-10-31,50.8857
2019-09-30,50.8917
2019-08-30,50.9839
2019-07-31,51.1754
2019-06-28,51.1958
2019-05-31,51.1965
2019-04-30,51.9877
2019-03-29,51.9766
2019-02-28,51.9442
2019-01-31,51.9284
2018-12-31,51.8975
2018-11-30,52.3052
2018-10-31,52.2084
2018-09-28,52.1799
2018-08-31,51.9172
2018-07-31,51.7575
2018-06-29,50.6195
2018-05-31,50.0631
2018-04-30,49.5421
2018-03-29,49.3061
2018-02-28,49.0997
2018-01-31,48.6480
2017-12-29,47.4986
2017-11-30,47.3069
2017-10-31,47.2817
2017-09-29,47.2550
2017-08-31,47.1471
2017-07-31,47.0879
2017-06-30,46.8370
2017-05-31,46.5004
2017-04-28,46.3893
2017-03-31,45.7820
2017-02-28,45.2576
2017-01-31,44.3382
2016-12-30,43.8151
2016-11-30,42.4091
2016-10-31,39.5944
2016-09-30,39.3613
2016-08-31,39.0720
2016-07-29,38.9241
2016-06-30,36.8921
2016-05-31,36.5562
2016-04-29,36.3717
2016-03-31,36.0279
2016-02-29,35.9818
2016-01-29,36.3312
2015-12-31,36.6349
2015-11-30,36.7765
2015-10-30,36.7955
2015-09-30,36.8493
2015-08-31,37.9121
2015-07-31,38.1846
2015-06-30,38.3857
2015-05-29,38.6026
2015-04-30,38.5992
2015-03-31,38.5882
2015-02-27,38.5824
2015-01-30,38.5898
2014-12-31,38.7917
2014-11-28,38.7851
2014-10-31,37.9816
2014-09-30,37.8807
2014-08-29,37.5916
2014-07-31,37.3909
2014-06-30,37.3313
2014-05-30,37.2255
2014-04-30,37.0892
2014-03-31,36.6551
2014-02-28,36.3947
2014-01-31,36.1467
2013-12-31,36.1001
2013-11-29,35.2218
2013-10-31,34.8555
2013-09-30,34.0653
2013-08-30,33.4902
2013-07-31,33.3144
2013-06-28,32.7718
2013-05-31,32.6408
2013-04-30,32.4647
