,KAMA_monthly_10
2013-10-17,10.9096
2013-09-30,10.5076
2013-08-30,10.3778
2013-07-31,10.1813
2013-06-28,10.1706
2013-05-31,10.0628
2013-04-30,9.8902
2013-03-28,9.5378
2013-02-28,9.3675
2013-01-31,9.3462
2012-12-31,9.3365
2012-11-30,9.3324
2012-10-31,9.3036
2012-09-28,9.2867
2012-08-31,9.1463
2012-07-31,9.1348
2012-06-29,9.1366
2012-05-31,9.7541
2012-04-30,10.8611
2012-03-30,12.0387
2012-02-29,12.9666
2012-01-31,13.4134
2011-12-30,14.5575
2011-11-30,15.2425
2011-10-31,15.7142
2011-09-30,16.1323
2011-08-31,16.4525
2011-07-29,16.5024
2011-06-30,16.5578
2011-05-31,16.2369
2011-04-29,14.9711
2011-03-31,13.5589
2011-02-28,12.3954
2011-01-31,11.5548
2010-12-31,11.0215
2010-11-30,10.3632
2010-10-29,9.6283
2010-09-30,9.5722
2010-08-31,9.4704
2010-07-30,9.5090
2010-06-30,9.5132
2010-05-28,9.5209
2010-04-30,9.5382
2010-03-31,9.7113
2010-02-26,10.1854
2010-01-29,11.1302
2009-12-31,12.6604
2009-11-30,13.1501
2009-10-30,13.9213
2009-09-30,14.9610
2009-08-31,15.3965
2009-07-31,16.1070
2009-06-30,16.2449
2009-05-29,16.4106
2009-04-30,16.4038
2009-03-31,16.3968
2009-02-27,16.3530
2009-01-30,16.5433
2008-12-31,16.6732
2008-11-28,16.6957
2008-10-31,16.7765
2008-09-30,17.0144
2008-08-29,17.0978
2008-07-31,17.1097
2008-06-30,17.1614
2008-05-30,17.1085
2008-04-30,16.4671
2008-03-31,16.1256
