,KAMA_monthly_10
2022-04-04,93.0652
2022-03-31,90.9313
2022-02-28,88.8665
2022-01-31,88.3409
2021-12-31,86.5894
2021-11-30,84.8815
2021-10-29,84.6905
2021-09-30,84.6378
2021-08-31,84.5256
2021-07-30,84.1770
2021-06-30,84.0139
2021-05-28,83.6443
2021-04-30,82.8882
2021-03-31,80.9498
2021-02-26,79.5860
2021-01-29,79.3102
2020-12-31,78.7512
2020-11-30,75.4363
2020-10-30,75.2492
2020-09-30,73.5194
2020-08-31,70.3607
2020-07-31,65.8303
2020-06-30,64.3757
2020-05-29,64.0480
2020-04-30,64.0026
2020-03-31,63.9658
2020-02-28,63.9077
2020-01-31,63.8629
2019-12-31,63.1282
2019-11-29,63.1172
2019-10-31,62.9860
2019-09-30,62.9875
2019-08-30,62.3935
2019-07-31,62.1397
2019-06-28,61.1820
2019-05-31,60.0544
2019-04-30,58.3484
2019-03-29,56.5636
2019-02-28,56.0169
2019-01-31,55.1914
2018-12-31,55.0935
2018-11-30,55.1327
2018-10-31,54.8453
2018-09-28,53.9667
2018-08-31,52.1494
2018-07-31,50.5661
2018-06-29,50.3236
2018-05-31,50.1534
2018-04-30,49.0296
2018-03-29,47.9910
2018-02-28,46.0967
2018-01-31,44.6293
2017-12-29,44.1987
2017-11-30,41.8931
2017-10-31,39.8362
2017-09-29,38.9473
2017-08-31,37.5959
2017-07-31,36.4327
2017-06-30,33.5718
2017-05-31,31.6332
2017-04-28,29.5540
2017-03-31,28.5356
2017-02-28,27.4269
2017-01-31,25.9446
2016-12-30,25.7577
2016-11-30,25.5368
2016-10-31,25.4339
2016-09-30,25.4258
2016-08-31,25.4083
2016-07-29,25.3967
2016-06-30,25.3449
2016-05-31,25.1868
2016-04-29,25.0703
2016-03-31,24.9196
2016-02-29,24.0640
2016-01-29,23.7057
2015-12-31,23.5806
2015-11-30,23.3246
2015-10-30,23.1172
2015-09-30,22.2350
2015-08-31,21.8838
2015-07-31,21.5497
2015-06-30,20.8006
2015-05-29,20.5420
2015-04-30,20.2377
2015-03-31,20.1863
2015-02-27,20.0617
2015-01-30,19.9505
2014-12-31,19.9303
2014-11-28,19.8243
2014-10-31,19.5885
2014-09-30,19.5805
2014-08-29,19.5715
2014-07-31,19.5706
2014-06-30,19.6192
2014-05-30,19.6120
2014-04-30,19.6113
2014-03-31,19.6137
2014-02-28,19.6166
2014-01-31,19.6184
2013-12-31,19.6375
2013-11-29,19.5633
2013-10-31,19.2784
2013-09-30,19.2154
2013-08-30,18.7460
