,KAMA_monthly_10
2022-04-04,346.7756
2022-03-31,339.3407
2022-02-28,330.1493
2022-01-31,327.2674
2021-12-31,321.5766
2021-11-30,305.0029
2021-10-29,300.2409
2021-09-30,292.6684
2021-08-31,292.4343
2021-07-30,279.0954
2021-06-30,264.7731
2021-05-28,249.0406
2021-04-30,235.8350
2021-03-31,216.1845
2021-02-26,210.5425
2021-01-29,206.7892
2020-12-31,205.5697
2020-11-30,204.4191
2020-10-30,204.2982
2020-09-30,203.7517
2020-08-31,203.4374
2020-07-31,203.4485
2020-06-30,204.4157
2020-05-29,207.7636
2020-04-30,208.5270
2020-03-31,211.4712
2020-02-28,212.7653
2020-01-31,212.9273
2019-12-31,212.9954
2019-11-29,213.1776
2019-10-31,213.3089
2019-09-30,213.6481
2019-08-30,212.1994
2019-07-31,200.4866
2019-06-28,193.5883
2019-05-31,190.1506
2019-04-30,187.9643
2019-03-29,187.9001
2019-02-28,187.6048
2019-01-31,187.5119
2018-12-31,187.3588
2018-11-30,187.5330
2018-10-31,187.3423
2018-09-28,187.3709
2018-08-31,187.4360
2018-07-31,187.4268
2018-06-29,187.3188
2018-05-31,186.0331
2018-04-30,186.0556
2018-03-29,186.1069
2018-02-28,186.3177
2018-01-31,186.8267
2017-12-29,187.8001
2017-11-30,188.0136
2017-10-31,188.0679
2017-09-29,188.3152
2017-08-31,188.4408
2017-07-31,188.5437
2017-06-30,188.8659
2017-05-31,189.0426
2017-04-28,189.3099
2017-03-31,190.6619
2017-02-28,191.0356
2017-01-31,191.0590
2016-12-30,192.7129
2016-11-30,192.8524
2016-10-31,194.2575
2016-09-30,195.0297
2016-08-31,195.1685
2016-07-29,195.2219
2016-06-30,195.1904
2016-05-31,193.2605
2016-04-29,191.8666
2016-03-31,190.9158
2016-02-29,178.9254
2016-01-29,172.2096
2015-12-31,164.8699
2015-11-30,157.4420
2015-10-30,152.3794
2015-09-30,147.3175
2015-08-31,145.2511
2015-07-31,144.3120
2015-06-30,141.3469
2015-05-29,141.1511
2015-04-30,140.1073
2015-03-31,139.5339
2015-02-27,136.6497
2015-01-30,134.4013
2014-12-31,129.3832
2014-11-28,127.3196
2014-10-31,123.1195
2014-09-30,118.1603
2014-08-29,116.8652
2014-07-31,115.9306
2014-06-30,114.8877
2014-05-30,113.1100
2014-04-30,112.1413
2014-03-31,110.0533
2014-02-28,108.5884
2014-01-31,108.2591
2013-12-31,108.0494
2013-11-29,107.9871
2013-10-31,107.9384
2013-09-30,106.3915
2013-08-30,105.1940
2013-07-31,104.6973
2013-06-28,103.1408
2013-05-31,102.6794
2013-04-30,102.5087
2013-03-28,99.4417
2013-02-28,97.4454
2013-01-31,96.9424
2012-12-31,95.7178
2012-11-30,95.0842
2012-10-31,94.9724
2012-09-28,94.8439
2012-08-31,94.6193
2012-07-31,93.7414
2012-06-29,90.8643
2012-05-31,89.8934
2012-04-30,89.6262
2012-03-30,87.6256
2012-02-29,86.5574
2012-01-31,85.8968
2011-12-30,83.8469
2011-11-30,82.3159
2011-10-31,80.9340
2011-09-30,79.4076
2011-08-31,79.4884
2011-07-29,77.4656
2011-06-30,75.7816
2011-05-31,74.9359
2011-04-29,72.2139
2011-03-31,68.0690
2011-02-28,66.1732
2011-01-31,64.7826
2010-12-31,63.3891
2010-11-30,62.3994
2010-10-29,61.9145
2010-09-30,61.0757
2010-08-31,60.3231
2010-07-30,59.1692
2010-06-30,58.0094
2010-05-28,57.8103
2010-04-30,57.0694
2010-03-31,54.2595
2010-02-26,52.0626
2010-01-29,51.5366
2009-12-31,51.1979
2009-11-30,50.0315
2009-10-30,49.6577
2009-09-30,49.6688
2009-08-31,49.6652
2009-07-31,49.7285
2009-06-30,49.8458
2009-05-29,50.1283
2009-04-30,50.2763
2009-03-31,50.4057
2009-02-27,51.5035
2009-01-30,52.8352
2008-12-31,53.5694
2008-11-28,53.5814
2008-10-31,53.7232
2008-09-30,53.7732
2008-08-29,52.4661
2008-07-31,52.3404
2008-06-30,52.3551
2008-05-30,52.3980
2008-04-30,51.9602
2008-03-31,51.5409
2008-02-29,51.5149
2008-01-31,51.5485
2007-12-31,51.7492
2007-11-30,52.7953
2007-10-31,53.7708
2007-09-28,53.9488
2007-08-31,54.2247
2007-07-31,54.4967
2007-06-29,55.0204
2007-05-31,55.2094
2007-04-30,55.2329
2007-03-30,55.0695
2007-02-28,54.7003
2007-01-31,53.6069
2006-12-29,50.7102
2006-11-30,49.1891
2006-10-31,47.3455
2006-09-29,46.0277
2006-08-31,45.3411
2006-07-31,44.3478
2006-06-30,43.9897
2006-05-31,43.8903
2006-04-28,43.9238
2006-03-31,43.6299
2006-02-28,41.7003
2006-01-31,39.9822
2005-12-30,38.9668
2005-11-30,38.6073
2005-10-31,36.7794
2005-09-30,36.3068
2005-08-31,35.3276
2005-07-29,33.9666
2005-06-30,32.1882
