,KAMA_monthly_10
2022-04-04,603.8003
2022-03-31,593.5292
2022-02-28,577.5909
2022-01-31,573.2565
2021-12-31,569.5459
2021-11-30,558.3939
2021-10-29,552.0812
2021-09-30,543.3461
2021-08-31,540.7857
2021-07-30,529.2094
2021-06-30,528.7780
2021-05-28,527.7760
2021-04-30,531.2814
2021-03-31,540.3310
2021-02-26,551.8205
2021-01-29,556.1405
2020-12-31,556.6107
2020-11-30,557.9442
2020-10-30,562.9270
2020-09-30,564.9190
2020-08-31,565.6106
2020-07-31,545.2868
2020-06-30,505.3338
2020-05-29,459.7456
2020-04-30,411.8589
2020-03-31,387.2364
2020-02-28,367.7539
2020-01-31,362.6639
2019-12-31,363.8587
2019-11-29,363.4424
2019-10-31,363.2122
2019-09-30,366.0801
2019-08-30,373.9213
2019-07-31,376.7551
2019-06-28,382.0018
2019-05-31,386.7254
2019-04-30,389.7945
2019-03-29,390.0120
2019-02-28,388.0169
2019-01-31,382.0857
2018-12-31,379.4378
2018-11-30,379.6371
2018-10-31,379.6991
2018-09-28,380.4945
2018-08-31,379.8152
2018-07-31,379.6699
2018-06-29,380.3121
2018-05-31,385.3339
2018-04-30,410.6507
2018-03-29,441.8106
2018-02-28,453.2212
2018-01-31,458.4923
2017-12-29,459.6466
2017-11-30,460.0581
2017-10-31,460.5443
2017-09-29,461.9472
2017-08-31,463.0369
2017-07-31,448.9963
2017-06-30,445.1967
2017-05-31,440.6649
2017-04-28,440.2681
2017-03-31,441.5603
2017-02-28,441.9717
2017-01-31,442.3152
2016-12-30,442.6862
2016-11-30,443.3765
2016-10-31,444.5388
2016-09-30,456.8592
2016-08-31,461.6851
2016-07-29,469.3922
2016-06-30,470.0139
2016-05-31,481.6857
2016-04-29,489.1917
2016-03-31,496.5720
2016-02-29,508.2170
2016-01-29,511.5500
2015-12-31,512.6493
2015-11-30,509.8101
2015-10-30,506.6211
2015-09-30,500.4484
2015-08-31,501.6776
2015-07-31,499.5705
2015-06-30,468.4169
2015-05-29,445.7799
2015-04-30,404.5687
2015-03-31,372.8424
2015-02-27,349.6522
2015-01-30,333.4693
2014-12-31,312.8509
2014-11-28,304.0545
2014-10-31,285.7764
2014-09-30,269.3502
2014-08-29,263.5973
2014-07-31,258.4595
2014-06-30,258.1409
2014-05-30,257.4854
2014-04-30,256.3011
2014-03-31,254.3175
2014-02-28,252.7485
2014-01-31,244.6063
2013-12-31,240.3232
2013-11-29,237.0493
2013-10-31,230.1907
2013-09-30,223.4588
2013-08-30,207.2257
2013-07-31,202.4711
2013-06-28,187.7052
2013-05-31,182.1581
2013-04-30,163.5789
2013-03-28,148.1946
2013-02-28,146.2411
2013-01-31,145.1489
2012-12-31,141.7188
2012-11-30,137.6763
2012-10-31,129.8126
2012-09-28,127.2566
2012-08-31,120.6541
2012-07-31,113.5623
2012-06-29,109.2910
2012-05-31,108.5695
2012-04-30,95.4123
2012-03-30,79.7253
2012-02-29,69.7683
2012-01-31,60.6784
2011-12-30,53.7604
2011-11-30,53.5925
2011-10-31,52.5251
2011-09-30,52.0765
2011-08-31,50.4510
2011-07-29,47.7734
2011-06-30,46.5673
2011-05-31,42.3799
2011-04-29,33.9671
2011-03-31,26.6142
2011-02-28,24.2296
2011-01-31,23.2182
2010-12-31,22.7070
2010-11-30,22.1222
2010-10-29,22.0386
2010-09-30,21.9920
2010-08-31,21.6807
2010-07-30,21.6692
2010-06-30,21.6032
2010-05-28,21.5994
2010-04-30,21.2451
2010-03-31,21.0097
2010-02-26,20.4983
2010-01-29,20.1293
2009-12-31,19.2802
2009-11-30,18.8140
2009-10-30,18.8175
