,KAMA_monthly_10
2022-04-04,142.6965
2022-03-31,142.8724
2022-02-28,143.0904
2022-01-31,143.4674
2021-12-31,143.1533
2021-11-30,136.4052
2021-10-29,129.9582
2021-09-30,123.2996
2021-08-31,121.6114
2021-07-30,116.2344
2021-06-30,112.6369
2021-05-28,105.6302
2021-04-30,95.5306
2021-03-31,87.1837
2021-02-26,78.9785
2021-01-29,72.8955
2020-12-31,70.1225
2020-11-30,69.6506
2020-10-30,69.1479
2020-09-30,71.4391
2020-08-31,74.1243
2020-07-31,76.4283
2020-06-30,81.2908
2020-05-29,84.9818
2020-04-30,95.2923
2020-03-31,104.6036
2020-02-28,129.3698
2020-01-31,134.3422
2019-12-31,138.7288
2019-11-29,139.8797
2019-10-31,140.7079
2019-09-30,141.0170
2019-08-30,141.4195
2019-07-31,142.4958
2019-06-28,142.5678
2019-05-31,142.8318
2019-04-30,142.8835
2019-03-29,142.7986
2019-02-28,141.7760
2019-01-31,140.5568
2018-12-31,139.2681
2018-11-30,139.1748
2018-10-31,136.4398
2018-09-28,135.4921
2018-08-31,134.7084
2018-07-31,131.8092
2018-06-29,130.8724
2018-05-31,130.2987
2018-04-30,130.2677
2018-03-29,130.2844
2018-02-28,130.3681
2018-01-31,130.4361
2017-12-29,130.4346
2017-11-30,130.3280
2017-10-31,130.3751
2017-09-29,130.8506
2017-08-31,131.0205
2017-07-31,131.7680
2017-06-30,133.3636
2017-05-31,134.9051
2017-04-28,140.9200
2017-03-31,143.4390
2017-02-28,143.8547
2017-01-31,143.8805
2016-12-30,144.0046
2016-11-30,144.1014
2016-10-31,144.1317
2016-09-30,144.1542
2016-08-31,143.4619
2016-07-29,142.7197
2016-06-30,139.1973
2016-05-31,136.5624
2016-04-29,136.1660
2016-03-31,135.1652
2016-02-29,133.8924
2016-01-29,133.6777
2015-12-31,133.6406
2015-11-30,133.4873
2015-10-30,133.4383
2015-09-30,132.7377
2015-08-31,132.7069
2015-07-31,132.7197
2015-06-30,132.4749
2015-05-29,132.5671
2015-04-30,132.5917
2015-03-31,132.6712
2015-02-27,130.9763
2015-01-30,129.6419
2014-12-31,123.9760
2014-11-28,121.5263
2014-10-31,118.2590
2014-09-30,114.5317
2014-08-29,113.7288
2014-07-31,110.3843
2014-06-30,106.3899
2014-05-30,101.1096
2014-04-30,99.2080
2014-03-31,98.0356
2014-02-28,97.9792
2014-01-31,97.7415
2013-12-31,97.7321
