,KAMA_monthly_10
2022-04-04,40.5813
2022-03-31,40.5000
2022-02-28,40.4576
2022-01-31,39.6842
2021-12-31,37.6879
2021-11-30,36.7183
2021-10-29,36.3716
2021-09-30,34.6425
2021-08-31,33.8271
2021-07-30,32.7686
2021-06-30,30.3679
2021-05-28,28.3940
2021-04-30,26.6538
2021-03-31,24.4206
2021-02-26,23.7695
2021-01-29,23.1536
2020-12-31,21.9228
2020-11-30,21.8470
2020-10-30,21.8323
2020-09-30,21.8317
2020-08-31,21.8435
2020-07-31,21.8242
2020-06-30,21.8413
2020-05-29,21.9240
2020-04-30,21.9282
2020-03-31,21.9636
2020-02-28,23.3621
2020-01-31,23.3770
2019-12-31,23.3252
2019-11-29,23.2767
2019-10-31,23.1673
2019-09-30,22.3216
2019-08-30,21.9910
2019-07-31,21.5418
2019-06-28,20.9007
2019-05-31,20.4787
2019-04-30,20.1576
2019-03-29,19.6526
2019-02-28,19.2614
2019-01-31,18.9979
2018-12-31,18.6364
2018-11-30,18.6293
2018-10-31,18.6211
2018-09-28,18.6174
2018-08-31,18.5731
2018-07-31,18.5717
2018-06-29,18.5836
2018-05-31,18.6795
2018-04-30,18.7042
2018-03-29,18.7110
2018-02-28,18.7616
2018-01-31,18.7589
2017-12-29,18.3227
2017-11-30,18.3529
2017-10-31,18.3336
2017-09-29,18.2290
2017-08-31,18.0419
2017-07-31,17.9554
2017-06-30,17.8661
2017-05-31,17.8496
2017-04-28,17.8478
2017-03-31,17.8488
2017-02-28,18.2027
2017-01-31,18.5243
2016-12-30,18.5732
2016-11-30,18.6001
2016-10-31,18.9740
2016-09-30,19.2844
2016-08-31,19.4302
2016-07-29,19.4599
2016-06-30,19.4760
2016-05-31,19.6112
2016-04-29,19.6429
2016-03-31,19.6720
2016-02-29,19.8504
2016-01-29,20.6796
2015-12-31,21.1637
2015-11-30,21.2463
2015-10-30,21.4780
2015-09-30,22.4552
2015-08-31,23.2213
2015-07-31,23.3620
2015-06-30,23.8976
2015-05-29,24.0609
2015-04-30,24.0793
2015-03-31,24.0220
2015-02-27,23.9891
2015-01-30,23.9032
2014-12-31,23.8850
2014-11-28,23.8847
2014-10-31,24.0106
2014-09-30,24.2132
2014-08-29,23.4603
2014-07-31,21.1591
2014-06-30,19.4324
2014-05-30,18.2191
2014-04-30,16.1713
2014-03-31,14.7451
2014-02-28,14.2417
2014-01-31,13.8729
2013-12-31,13.7556
2013-11-29,13.6283
2013-10-31,13.4018
2013-09-30,13.3142
2013-08-30,13.2783
