,KAMA_monthly_10
2022-04-04,169.2979
2022-03-31,175.5609
2022-02-28,185.5468
2022-01-31,188.2545
2021-12-31,188.9310
2021-11-30,188.9647
2021-10-29,189.0898
2021-09-30,189.1704
2021-08-31,189.3571
2021-07-30,189.2759
2021-06-30,188.7967
2021-05-28,186.6527
2021-04-30,176.9897
2021-03-31,167.0809
2021-02-26,155.4275
2021-01-29,149.6275
2020-12-31,141.6397
2020-11-30,139.7290
2020-10-30,138.3383
2020-09-30,138.1938
2020-08-31,138.0129
2020-07-31,137.7344
2020-06-30,137.5926
2020-05-29,137.6154
2020-04-30,138.0051
2020-03-31,139.6108
2020-02-28,140.9981
2020-01-31,141.0116
2019-12-31,140.4493
2019-11-29,138.8844
2019-10-31,137.8944
2019-09-30,137.3627
2019-08-30,137.3412
2019-07-31,137.6430
2019-06-28,137.6237
2019-05-31,137.6229
2019-04-30,138.1145
2019-03-29,138.0974
2019-02-28,138.1382
2019-01-31,138.2841
2018-12-31,139.0342
2018-11-30,140.9339
2018-10-31,142.0511
2018-09-28,147.5815
2018-08-31,148.2751
2018-07-31,149.2223
2018-06-29,149.2663
2018-05-31,149.9062
2018-04-30,149.9989
2018-03-29,150.1539
2018-02-28,150.8197
2018-01-31,151.4375
2017-12-29,150.2834
2017-11-30,144.8737
2017-10-31,135.2014
2017-09-29,124.2242
2017-08-31,117.5974
2017-07-31,111.0487
2017-06-30,108.9515
2017-05-31,106.8193
2017-04-28,104.9379
2017-03-31,102.0265
2017-02-28,99.9874
2017-01-31,98.6152
2016-12-30,97.2007
2016-11-30,96.4236
2016-10-31,94.4601
2016-09-30,94.2413
2016-08-31,93.0071
2016-07-29,91.1831
2016-06-30,88.8403
2016-05-31,88.3543
2016-04-29,87.9196
2016-03-31,87.5879
2016-02-29,87.4795
2016-01-29,87.5126
2015-12-31,87.5295
2015-11-30,87.0411
2015-10-30,85.7924
2015-09-30,85.2389
2015-08-31,85.2184
2015-07-31,84.8659
2015-06-30,82.7004
2015-05-29,80.9577
2015-04-30,79.3594
2015-03-31,78.4188
2015-02-27,77.8726
2015-01-30,76.1990
2014-12-31,75.0387
2014-11-28,72.6152
2014-10-31,69.6465
2014-09-30,67.8156
2014-08-29,66.8951
2014-07-31,64.4243
2014-06-30,64.3264
2014-05-30,64.0966
2014-04-30,63.8912
2014-03-31,63.4484
2014-02-28,63.3475
