,KAMA_monthly_10
2022-04-04,48.8786
2022-03-31,48.8592
2022-02-28,48.7429
2022-01-31,48.7047
2021-12-31,48.7294
2021-11-30,48.7663
2021-10-29,48.8983
2021-09-30,48.9307
2021-08-31,48.9495
2021-07-30,49.0655
2021-06-30,49.1555
2021-05-28,48.8860
2021-04-30,47.6494
2021-03-31,46.7337
2021-02-26,46.5032
2021-01-29,46.5467
2020-12-31,46.3630
2020-11-30,46.3963
2020-10-30,46.4463
2020-09-30,48.3639
2020-08-31,50.2685
2020-07-31,51.6643
2020-06-30,53.7840
2020-05-29,55.6638
2020-04-30,57.2034
2020-03-31,58.5041
2020-02-28,60.3345
2020-01-31,61.3151
2019-12-31,61.3978
2019-11-29,61.6393
2019-10-31,62.8189
2019-09-30,62.9237
2019-08-30,63.0924
2019-07-31,63.6960
2019-06-28,63.9662
2019-05-31,64.3230
2019-04-30,64.7840
2019-03-29,64.8312
2019-02-28,64.8753
2019-01-31,65.0686
2018-12-31,65.1373
2018-11-30,66.7078
2018-10-31,67.2959
2018-09-28,68.2061
2018-08-31,69.2370
2018-07-31,69.7768
2018-06-29,70.4209
2018-05-31,71.3831
2018-04-30,75.2964
2018-03-29,76.4182
2018-02-28,77.5059
2018-01-31,78.6917
2017-12-29,78.8707
2017-11-30,79.5597
2017-10-31,80.8989
2017-09-29,82.0046
2017-08-31,83.1645
2017-07-31,83.3908
2017-06-30,84.0586
2017-05-31,84.6607
2017-04-28,84.6371
2017-03-31,84.6085
2017-02-28,84.5963
2017-01-31,84.4066
2016-12-30,84.3895
2016-11-30,84.1830
2016-10-31,84.0544
2016-09-30,83.6069
2016-08-31,81.3506
2016-07-29,80.0542
2016-06-30,78.2752
2016-05-31,75.2968
2016-04-29,73.1000
2016-03-31,71.1899
2016-02-29,69.5165
2016-01-29,69.1752
2015-12-31,67.9179
2015-11-30,65.5006
2015-10-30,63.1484
2015-09-30,61.3632
2015-08-31,60.8833
2015-07-31,60.9477
2015-06-30,60.9259
2015-05-29,60.9340
2015-04-30,60.6261
2015-03-31,60.6088
2015-02-27,60.3559
2015-01-30,59.6117
2014-12-31,58.7750
2014-11-28,57.9689
2014-10-31,55.6386
2014-09-30,54.4607
2014-08-29,52.8629
2014-07-31,51.3150
2014-06-30,50.5225
2014-05-30,45.9884
2014-04-30,43.6933
2014-03-31,42.3980
2014-02-28,41.5355
2014-01-31,41.1754
2013-12-31,41.0596
2013-11-29,39.9315
2013-10-31,39.4391
2013-09-30,38.3855
2013-08-30,37.8641
2013-07-31,37.6209
2013-06-28,37.3786
2013-05-31,37.2781
2013-04-30,36.8545
2013-03-28,35.6436
2013-02-28,34.6098
2013-01-31,34.5299
2012-12-31,34.5078
2012-11-30,34.5050
2012-10-31,34.5075
2012-09-28,34.5035
2012-08-31,34.3832
2012-07-31,34.3298
2012-06-29,34.3348
2012-05-31,34.3412
2012-04-30,34.4929
2012-03-30,34.5139
2012-02-29,34.5066
2012-01-31,34.4907
2011-12-30,34.5011
2011-11-30,34.5000
2011-10-31,34.6375
2011-09-30,34.7463
2011-08-31,35.0766
2011-07-29,35.0907
2011-06-30,35.0883
2011-05-31,35.0896
2011-04-29,35.0629
2011-03-31,34.7689
2011-02-28,34.6095
2011-01-31,34.5901
2010-12-31,34.5014
2010-11-30,33.6793
2010-10-29,33.3878
2010-09-30,33.3198
2010-08-31,33.2523
2010-07-30,33.2449
2010-06-30,33.2190
2010-05-28,33.2587
2010-04-30,33.3129
2010-03-31,33.3060
2010-02-26,33.3221
2010-01-29,33.3799
2009-12-31,33.5103
2009-11-30,33.4435
2009-10-30,33.4203
2009-09-30,33.3992
2009-08-31,33.3328
2009-07-31,33.2254
2009-06-30,33.2228
2009-05-29,33.2482
2009-04-30,33.2615
2009-03-31,33.6241
2009-02-27,34.8680
2009-01-30,35.7056
2008-12-31,36.0010
2008-11-28,35.9999
2008-10-31,36.0162
2008-09-30,36.6089
2008-08-29,36.6794
2008-07-31,36.7519
2008-06-30,36.7029
2008-05-30,36.5786
2008-04-30,36.1248
2008-03-31,35.9647
2008-02-29,35.8885
2008-01-31,35.7711
2007-12-31,35.8118
2007-11-30,35.6647
2007-10-31,35.0826
2007-09-28,32.7185
2007-08-31,31.6693
2007-07-31,31.5056
2007-06-29,31.3664
2007-05-31,30.6748
2007-04-30,29.9831
2007-03-30,28.0860
2007-02-28,24.9084
2007-01-31,24.4523
2006-12-29,24.0355
2006-11-30,23.6897
2006-10-31,23.5707
2006-09-29,23.5284
2006-08-31,23.5126
2006-07-31,23.4331
2006-06-30,23.3587
2006-05-31,23.3433
2006-04-28,23.3487
2006-03-31,22.9551
2006-02-28,22.7965
2006-01-31,22.8070
2005-12-30,22.8835
2005-11-30,22.8785
2005-10-31,22.8659
2005-09-30,22.9587
2005-08-31,22.9876
2005-07-29,22.9916
2005-06-30,23.0092
2005-05-31,23.0371
2005-04-29,23.1434
2005-03-31,23.2185
2005-02-28,22.8984
2005-01-31,22.8673
2004-12-31,22.7642
2004-11-30,22.5592
2004-10-29,22.0905
2004-09-30,22.0230
2004-08-31,21.8736
2004-07-30,21.6901
2004-06-30,21.4451
2004-05-28,20.7994
2004-04-30,20.6042
2004-03-31,20.2071
2004-02-27,19.7109
2004-01-30,19.2233
2003-12-31,19.2223
2003-11-28,19.2332
2003-10-31,19.2422
2003-09-30,19.2470
2003-08-29,19.3051
2003-07-31,19.3470
2003-06-30,19.3757
2003-05-30,19.4853
2003-04-30,19.4998
2003-03-31,19.5485
2003-02-28,19.8991
2003-01-31,20.3203
2002-12-31,20.3263
2002-11-29,20.3249
2002-10-31,20.2296
2002-09-30,19.9546
2002-08-30,19.9599
2002-07-31,19.9533
2002-06-28,19.9369
2002-05-31,19.8419
2002-04-30,19.5256
2002-03-28,19.1708
2002-02-28,18.8079
2002-01-31,18.7285
2001-12-31,18.8243
2001-11-30,18.9155
2001-10-31,18.9197
2001-09-28,19.8366
2001-08-31,21.5297
2001-07-31,21.9962
2001-06-29,22.2818
2001-05-31,22.4546
2001-04-30,22.6452
2001-03-30,22.7808
2001-02-28,22.8319
2001-01-31,22.9055
2000-12-29,22.9359
2000-11-30,21.3308
2000-10-31,20.5449
