,KAMA_monthly_10
2022-04-04,82.0093
2022-03-31,82.1663
2022-02-28,82.3257
2022-01-31,82.8056
2021-12-31,82.9643
2021-11-30,82.7351
2021-10-29,82.4647
2021-09-30,82.0096
2021-08-31,81.9853
2021-07-30,76.4511
2021-06-30,73.0008
2021-05-28,70.9673
2021-04-30,69.2345
2021-03-31,63.9642
2021-02-26,58.2668
2021-01-29,51.6525
2020-12-31,46.1665
2020-11-30,42.5640
2020-10-30,41.0290
2020-09-30,40.8148
2020-08-31,40.4945
2020-07-31,39.4211
2020-06-30,39.2279
2020-05-29,39.0783
2020-04-30,39.0776
2020-03-31,39.5387
2020-02-28,39.9896
2020-01-31,39.9949
2019-12-31,39.9507
2019-11-29,39.9259
2019-10-31,39.9117
2019-09-30,39.9160
2019-08-30,39.9234
2019-07-31,39.9344
2019-06-28,39.9156
2019-05-31,39.8248
2019-04-30,39.8228
2019-03-29,39.7708
2019-02-28,39.7415
2019-01-31,39.7336
2018-12-31,39.7546
2018-11-30,39.9688
2018-10-31,40.0432
2018-09-28,40.0868
2018-08-31,40.0543
2018-07-31,40.0368
2018-06-29,40.1888
2018-05-31,40.6620
2018-04-30,40.9576
2018-03-29,41.0164
2018-02-28,41.0412
2018-01-31,41.1098
2017-12-29,39.9215
2017-11-30,39.6716
2017-10-31,38.1242
2017-09-29,36.7261
2017-08-31,35.4307
2017-07-31,33.7641
2017-06-30,32.5966
2017-05-31,31.6634
2017-04-28,29.9807
2017-03-31,27.7180
2017-02-28,26.9318
2017-01-31,26.1144
2016-12-30,25.7438
2016-11-30,24.9682
2016-10-31,24.2593
2016-09-30,23.9476
2016-08-31,23.5999
2016-07-29,23.3688
2016-06-30,22.9492
2016-05-31,22.8805
2016-04-29,22.8377
2016-03-31,22.8311
2016-02-29,22.8109
2016-01-29,22.8043
2015-12-31,23.0350
2015-11-30,23.1157
2015-10-30,23.1177
2015-09-30,23.1287
2015-08-31,25.1802
2015-07-31,26.1886
2015-06-30,26.6514
2015-05-29,27.2705
2015-04-30,27.6268
2015-03-31,27.9448
2015-02-27,28.2846
2015-01-30,28.5845
2014-12-31,29.7298
2014-11-28,30.2729
2014-10-31,30.3299
2014-09-30,30.5361
2014-08-29,30.5364
2014-07-31,30.4559
2014-06-30,30.4521
2014-05-30,29.5264
2014-04-30,29.1488
2014-03-31,27.9206
2014-02-28,26.8656
2014-01-31,26.0296
2013-12-31,25.9321
2013-11-29,25.5611
2013-10-31,25.5166
2013-09-30,25.4807
2013-08-30,25.4160
2013-07-31,25.4182
