,KAMA_monthly_10
2022-04-04,44.4708
2022-03-31,44.5239
2022-02-28,44.5139
2022-01-31,44.4647
2021-12-31,44.3589
2021-11-30,44.1339
2021-10-29,44.1290
2021-09-30,44.0366
2021-08-31,43.9138
2021-07-30,43.0129
2021-06-30,42.7765
2021-05-28,41.4434
2021-04-30,40.3874
2021-03-31,39.5185
2021-02-26,38.1570
2021-01-29,37.7826
2020-12-31,37.3706
2020-11-30,37.3387
2020-10-30,37.5368
2020-09-30,41.7504
2020-08-31,47.8300
2020-07-31,50.3587
2020-06-30,52.7091
2020-05-29,53.4933
2020-04-30,54.5554
2020-03-31,55.7728
2020-02-28,55.9408
2020-01-31,56.3464
2019-12-31,56.8936
2019-11-29,57.0571
2019-10-31,57.1980
2019-09-30,57.7116
2019-08-30,58.9241
2019-07-31,60.7097
2019-06-28,61.4099
2019-05-31,61.8400
2019-04-30,62.8388
2019-03-29,63.0440
2019-02-28,63.0936
2019-01-31,63.0881
2018-12-31,63.0669
2018-11-30,63.0804
2018-10-31,62.4395
2018-09-28,62.1310
2018-08-31,62.1138
2018-07-31,62.1449
2018-06-29,62.2419
2018-05-31,63.6990
2018-04-30,64.7051
2018-03-29,65.0925
2018-02-28,65.7756
2018-01-31,66.3276
2017-12-29,66.3629
2017-11-30,66.6053
2017-10-31,66.7114
2017-09-29,67.6893
2017-08-31,67.7397
2017-07-31,67.7282
2017-06-30,67.7183
2017-05-31,67.7249
2017-04-28,67.6940
2017-03-31,67.5123
2017-02-28,67.3588
2017-01-31,66.8781
2016-12-30,66.8560
2016-11-30,66.7654
2016-10-31,66.5492
2016-09-30,66.5232
2016-08-31,66.5049
2016-07-29,66.4841
2016-06-30,66.4827
2016-05-31,66.4424
2016-04-29,66.6819
2016-03-31,66.6874
2016-02-29,66.6679
2016-01-29,66.6752
2015-12-31,66.6801
2015-11-30,66.6226
2015-10-30,66.4533
2015-09-30,66.3209
2015-08-31,66.1662
2015-07-31,65.5054
2015-06-30,59.9199
2015-05-29,57.3963
2015-04-30,55.9488
2015-03-31,55.4834
2015-02-27,54.6168
2015-01-30,53.5998
2014-12-31,53.3509
2014-11-28,52.9827
2014-10-31,52.8037
2014-09-30,52.8196
2014-08-29,52.8485
2014-07-31,52.8881
2014-06-30,52.5086
2014-05-30,49.4794
2014-04-30,47.0114
2014-03-31,44.7229
2014-02-28,43.3486
2014-01-31,41.3673
2013-12-31,40.9342
2013-11-29,40.1343
2013-10-31,38.5177
2013-09-30,36.3942
2013-08-30,34.9434
2013-07-31,34.4767
2013-06-28,33.6412
2013-05-31,33.5019
2013-04-30,32.5011
2013-03-28,29.6866
2013-02-28,27.0602
2013-01-31,26.7056
2012-12-31,26.3793
2012-11-30,26.2661
2012-10-31,26.2616
2012-09-28,26.2278
2012-08-31,26.1440
2012-07-31,26.0766
2012-06-29,25.9748
2012-05-31,26.3433
2012-04-30,26.8350
2012-03-30,26.8310
2012-02-29,27.2324
2012-01-31,27.6924
2011-12-30,27.9097
2011-11-30,28.3430
2011-10-31,28.4940
2011-09-30,28.6457
2011-08-31,28.6830
2011-07-29,28.7098
2011-06-30,28.6752
2011-05-31,27.8419
2011-04-29,26.6484
2011-03-31,25.3147
2011-02-28,25.0107
2011-01-31,24.5008
2010-12-31,24.3693
2010-11-30,24.2508
2010-10-29,24.2404
2010-09-30,24.2268
2010-08-31,24.2067
2010-07-30,24.9054
2010-06-30,25.3926
2010-05-28,25.8163
2010-04-30,25.8451
2010-03-31,25.8494
2010-02-26,25.6408
2010-01-29,25.6278
2009-12-31,25.5064
2009-11-30,25.1931
2009-10-30,24.6363
2009-09-30,24.0769
2009-08-31,23.4849
2009-07-31,23.3484
2009-06-30,23.3533
2009-05-29,23.4478
2009-04-30,23.4893
2009-03-31,23.4942
2009-02-27,23.8891
2009-01-30,24.5649
2008-12-31,25.0456
2008-11-28,25.9975
2008-10-31,26.7375
2008-09-30,27.7015
2008-08-29,27.9141
2008-07-31,27.9502
2008-06-30,28.3829
2008-05-30,28.9921
2008-04-30,29.2018
2008-03-31,29.5326
2008-02-29,29.6754
2008-01-31,29.9121
2007-12-31,30.5385
2007-11-30,30.7507
2007-10-31,31.2407
2007-09-28,31.4672
2007-08-31,31.2365
2007-07-31,31.2256
2007-06-29,31.2256
2007-05-31,31.2491
2007-04-30,31.2425
2007-03-30,31.2443
2007-02-28,31.1994
2007-01-31,31.1928
2006-12-29,31.1824
2006-11-30,31.1726
2006-10-31,31.2171
2006-09-29,31.2199
2006-08-31,31.2200
2006-07-31,31.0506
2006-06-30,30.9822
2006-05-31,30.9763
2006-04-28,31.3169
2006-03-31,31.4104
2006-02-28,31.4361
2006-01-31,31.4360
2005-12-30,31.4481
2005-11-30,31.4556
2005-10-31,31.4341
2005-09-30,31.4029
2005-08-31,31.4767
2005-07-29,31.2291
2005-06-30,30.2348
2005-05-31,29.6192
2005-04-29,28.9745
2005-03-31,28.6965
2005-02-28,27.4111
2005-01-31,26.0728
2004-12-31,24.0252
2004-11-30,23.8212
2004-10-29,23.5467
2004-09-30,23.5385
2004-08-31,23.5244
2004-07-30,23.4858
2004-06-30,23.3505
2004-05-28,23.2922
2004-04-30,23.2513
2004-03-31,23.2339
2004-02-27,23.2473
2004-01-30,23.1597
2003-12-31,23.1221
2003-11-28,22.7781
2003-10-31,22.3734
2003-09-30,22.2077
2003-08-29,22.2535
2003-07-31,22.2534
2003-06-30,22.2712
2003-05-30,22.3652
2003-04-30,22.4360
2003-03-31,22.5702
2003-02-28,22.8952
2003-01-31,23.5243
2002-12-31,24.2019
2002-11-29,25.0365
2002-10-31,25.4182
2002-09-30,25.4303
2002-08-30,25.5135
2002-07-31,25.5654
2002-06-28,25.5815
2002-05-31,25.5327
2002-04-30,25.4962
2002-03-28,25.4896
