,KAMA_monthly_10
2022-04-04,88.8110
2022-03-31,87.9637
2022-02-28,87.6131
2022-01-31,87.5673
2021-12-31,87.3632
2021-11-30,86.5948
2021-10-29,86.5966
2021-09-30,86.5877
2021-08-31,86.5838
2021-07-30,86.5114
2021-06-30,86.4817
2021-05-28,86.4763
2021-04-30,86.4400
2021-03-31,86.1005
2021-02-26,86.0419
2021-01-29,86.2990
2020-12-31,86.3073
2020-11-30,86.2875
2020-10-30,86.2348
2020-09-30,85.7581
2020-08-31,85.4302
2020-07-31,85.3877
2020-06-30,85.3426
2020-05-29,85.3994
2020-04-30,85.3369
2020-03-31,85.3330
2020-02-28,85.4132
2020-01-31,85.2564
2019-12-31,83.3157
2019-11-29,82.7230
2019-10-31,82.6457
2019-09-30,79.8554
2019-08-30,76.8761
2019-07-31,71.7157
2019-06-28,69.2366
2019-05-31,67.1429
2019-04-30,65.2820
2019-03-29,63.6660
2019-02-28,61.0190
2019-01-31,58.9620
2018-12-31,57.4782
2018-11-30,56.4636
2018-10-31,54.9597
2018-09-28,54.7091
2018-08-31,54.6590
2018-07-31,54.5418
2018-06-29,54.3467
2018-05-31,54.3166
2018-04-30,54.2844
2018-03-29,54.2072
2018-02-28,54.1926
2018-01-31,54.2011
2017-12-29,54.1024
2017-11-30,53.7338
2017-10-31,51.9943
2017-09-29,50.6320
2017-08-31,49.9472
2017-07-31,49.0481
2017-06-30,48.6393
2017-05-31,48.4262
2017-04-28,48.4000
2017-03-31,48.2397
2017-02-28,48.1717
2017-01-31,48.0445
2016-12-30,48.0306
2016-11-30,47.9805
2016-10-31,47.9850
2016-09-30,47.7175
2016-08-31,47.3289
2016-07-29,47.0322
2016-06-30,45.3811
2016-05-31,42.5750
2016-04-29,41.1603
2016-03-31,39.7177
2016-02-29,38.0625
2016-01-29,37.1340
2015-12-31,36.4857
2015-11-30,36.3931
2015-10-30,36.2420
2015-09-30,36.2083
2015-08-31,36.0223
2015-07-31,36.0089
2015-06-30,35.7838
2015-05-29,35.7770
2015-04-30,35.6183
2015-03-31,35.5465
2015-02-27,35.4210
2015-01-30,35.2990
2014-12-31,34.4228
2014-11-28,33.7344
2014-10-31,33.3224
2014-09-30,32.8213
2014-08-29,32.8032
2014-07-31,32.6477
2014-06-30,32.5849
2014-05-30,31.9978
2014-04-30,31.8396
2014-03-31,30.6817
2014-02-28,29.7928
2014-01-31,29.7599
2013-12-31,29.7302
2013-11-29,29.7073
2013-10-31,29.6151
2013-09-30,29.4498
2013-08-30,29.4065
2013-07-31,29.3411
2013-06-28,29.0019
2013-05-31,28.9051
2013-04-30,28.8825
2013-03-28,28.3202
2013-02-28,27.9016
2013-01-31,27.5897
2012-12-31,27.4406
2012-11-30,27.4548
2012-10-31,27.4258
2012-09-28,27.3569
2012-08-31,27.3297
2012-07-31,27.2573
2012-06-29,26.1004
2012-05-31,25.0586
2012-04-30,24.1321
2012-03-30,23.5646
2012-02-29,23.2361
2012-01-31,23.0302
2011-12-30,22.8195
2011-11-30,22.0363
2011-10-31,21.6521
2011-09-30,21.3651
2011-08-31,21.3030
2011-07-29,21.1494
2011-06-30,21.1042
2011-05-31,20.8284
2011-04-29,20.4434
2011-03-31,19.9335
2011-02-28,19.4115
2011-01-31,19.2529
2010-12-31,18.9335
2010-11-30,18.6592
2010-10-29,18.0617
2010-09-30,17.5852
2010-08-31,17.0355
2010-07-30,16.5346
2010-06-30,16.2572
2010-05-28,16.1723
2010-04-30,16.1219
2010-03-31,15.6207
2010-02-26,15.3233
2010-01-29,15.0691
2009-12-31,14.8453
2009-11-30,14.3778
2009-10-30,14.3645
2009-09-30,14.3603
2009-08-31,14.3430
2009-07-31,14.3174
2009-06-30,14.3186
2009-05-29,14.3791
2009-04-30,14.4508
2009-03-31,14.5225
2009-02-27,14.5989
2009-01-30,14.7372
2008-12-31,14.7405
2008-11-28,14.7517
2008-10-31,14.7588
2008-09-30,14.7937
2008-08-29,14.7998
2008-07-31,14.7985
2008-06-30,14.8014
2008-05-30,14.8060
2008-04-30,14.7465
2008-03-31,14.7277
2008-02-29,14.7548
2008-01-31,14.7949
2007-12-31,14.8031
2007-11-30,14.7906
2007-10-31,14.7796
2007-09-28,14.7752
2007-08-31,14.7828
2007-07-31,14.7904
2007-06-29,14.7999
2007-05-31,14.8234
2007-04-30,14.6761
2007-03-30,14.4147
2007-02-28,14.0665
2007-01-31,13.6281
2006-12-29,13.4010
2006-11-30,13.0283
2006-10-31,12.7138
2006-09-29,12.3494
2006-08-31,12.1547
2006-07-31,11.9232
2006-06-30,11.8703
2006-05-31,11.8552
2006-04-28,11.8512
2006-03-31,11.8504
2006-02-28,11.8211
2006-01-31,11.7186
2005-12-30,11.5706
2005-11-30,11.5340
2005-10-31,11.5351
2005-09-30,11.5487
2005-08-31,11.3439
2005-07-29,11.1470
2005-06-30,10.5338
2005-05-31,10.0924
2005-04-29,9.8461
2005-03-31,9.7361
2005-02-28,9.5308
2005-01-31,9.3382
2004-12-31,9.2584
2004-11-30,9.2078
2004-10-29,9.1910
2004-09-30,9.1882
2004-08-31,9.1869
2004-07-30,9.1752
2004-06-30,9.1586
2004-05-28,9.0939
2004-04-30,9.0545
2004-03-31,9.0485
2004-02-27,8.9925
2004-01-30,8.8855
2003-12-31,8.6210
2003-11-28,8.0711
2003-10-31,7.6516
2003-09-30,7.2896
2003-08-29,6.9835
2003-07-31,6.7363
2003-06-30,6.6338
2003-05-30,6.5180
2003-04-30,6.4401
2003-03-31,6.4137
2003-02-28,6.4089
2003-01-31,6.4060
2002-12-31,6.4043
2002-11-29,6.3822
2002-10-31,6.3805
2002-09-30,6.3804
2002-08-30,6.3403
2002-07-31,6.1685
2002-06-28,6.0263
2002-05-31,5.9871
2002-04-30,5.7518
2002-03-28,5.6727
2002-02-28,5.6236
2002-01-31,5.5642
2001-12-31,5.5469
2001-11-30,5.5370
2001-10-31,5.5204
2001-09-28,5.5177
2001-08-31,5.5070
2001-07-31,5.4079
2001-06-29,5.3910
2001-05-31,5.3510
2001-04-30,5.2988
2001-03-30,5.2787
2001-02-28,5.2729
2001-01-31,5.2604
