,MAMA_monthly_10
2022-04-04,34.6219
2022-03-31,34.0582
2022-02-28,33.4905
2022-01-31,33.0363
2021-12-31,32.6164
2021-11-30,32.2667
2021-10-29,31.9676
2021-09-30,31.6485
2021-08-31,31.3686
2021-07-30,31.0859
2021-06-30,30.8067
2021-05-28,30.5160
2021-04-30,30.1634
2021-03-31,29.8445
2021-02-26,29.5829
2021-01-29,29.3228
2020-12-31,29.1284
2020-11-30,28.9280
2020-10-30,28.7320
2020-09-30,28.5719
2020-08-31,28.4077
2020-07-31,28.2587
2020-06-30,28.1304
2020-05-29,28.0290
2020-04-30,27.9324
2020-03-31,27.8594
2020-02-28,27.8044
2020-01-31,27.7253
2019-12-31,27.5807
2019-11-29,27.4196
2019-10-31,27.2892
2019-09-30,27.1693
2019-08-30,27.0573
2019-07-31,26.9726
2019-06-28,26.8620
2019-05-31,26.7530
2019-04-30,26.6660
2019-03-29,26.5230
2019-02-28,26.3923
2019-01-31,26.2660
2018-12-31,26.1197
2018-11-30,26.0079
2018-10-31,25.8488
2018-09-28,25.6799
2018-08-31,25.4818
2018-07-31,25.2805
2018-06-29,25.0996
2018-05-31,24.9389
2018-04-30,24.7956
2018-03-29,24.6389
2018-02-28,24.4987
2018-01-31,24.3736
2017-12-29,24.2375
2017-11-30,24.1255
2017-10-31,24.0141
2017-09-29,23.8958
2017-08-31,23.7618
2017-07-31,23.6370
2017-06-30,23.5061
2017-05-31,23.3809
2017-04-28,23.2527
2017-03-31,23.0897
2017-02-28,22.9225
2017-01-31,22.7456
2016-12-30,22.5932
2016-11-30,22.4272
2016-10-31,22.2805
2016-09-30,22.1320
2016-08-31,21.9939
2016-07-29,21.8409
2016-06-30,21.6776
2016-05-31,21.5313
2016-04-29,21.3846
2016-03-31,21.2631
2016-02-29,21.1711
2016-01-29,21.0896
2015-12-31,21.0068
2015-11-30,20.9120
2015-10-30,20.8179
2015-09-30,20.6488
2015-08-31,20.5130
2015-07-31,20.3464
2015-06-30,20.1602
2015-05-29,19.9656
2015-04-30,19.7307
2015-03-31,19.5284
2015-02-27,19.3362
2015-01-30,19.1382
2014-12-31,18.9506
2014-11-28,18.7173
2014-10-31,18.4761
2014-09-30,18.2806
2014-08-29,18.0498
2014-07-31,17.8268
2014-06-30,17.6314
2014-05-30,17.4526
2014-04-30,17.2653
2014-03-31,17.0877
2014-02-28,16.9112
2014-01-31,16.7553
2013-12-31,16.6087
2013-11-29,16.4292
2013-10-31,16.2732
2013-09-30,16.1119
2013-08-30,15.9813
2013-07-31,15.8623
2013-06-28,15.7336
2013-05-31,15.6239
2013-04-30,15.5264
2013-03-28,15.4159
2013-02-28,15.3059
2013-01-31,15.2095
2012-12-31,15.1397
2012-11-30,15.0781
2012-10-31,15.0213
2012-09-28,14.9643
2012-08-31,14.9041
2012-07-31,14.8466
2012-06-29,14.7950
2012-05-31,14.7164
2012-04-30,14.6188
2012-03-30,14.5296
2012-02-29,14.4331
2012-01-31,14.3391
2011-12-30,14.2652
2011-11-30,14.1908
2011-10-31,14.1040
2011-09-30,14.0266
2011-08-31,13.9799
2011-07-29,13.9048
2011-06-30,13.8158
2011-05-31,13.7276
2011-04-29,13.6215
2011-03-31,13.4809
2011-02-28,13.3464
2011-01-31,13.2018
2010-12-31,13.0907
2010-11-30,12.9979
2010-10-29,12.9123
2010-09-30,12.7947
2010-08-31,12.6863
2010-07-30,12.5851
2010-06-30,12.5095
2010-05-28,12.4446
2010-04-30,12.3831
2010-03-31,12.3024
2010-02-26,12.2137
2010-01-29,12.1208
2009-12-31,12.0236
2009-11-30,11.9155
2009-10-30,11.8101
2009-09-30,11.7096
2009-08-31,11.6146
2009-07-31,11.5215
2009-06-30,11.4192
2009-05-29,11.3402
2009-04-30,11.2549
2009-03-31,11.1908
2009-02-27,11.1032
2009-01-30,11.0229
2008-12-31,10.9375
2008-11-28,10.8409
2008-10-31,10.7537
2008-09-30,10.7141
2008-08-29,10.6657
2008-07-31,10.5914
2008-06-30,10.4948
2008-05-30,10.3608
2008-04-30,10.1831
2008-03-31,9.9736
2008-02-29,9.7825
2008-01-31,9.5615
2007-12-31,9.3472
2007-11-30,9.1134
2007-10-31,8.9484
2007-09-28,8.7867
2007-08-31,8.6423
2007-07-31,8.4921
2007-06-29,8.3419
2007-05-31,8.1938
2007-04-30,8.0305
