,MAMA_monthly_10
2022-04-04,128.5172
2022-03-31,127.3419
2022-02-28,126.1856
2022-01-31,125.1725
2021-12-31,124.1622
2021-11-30,123.1634
2021-10-29,122.4159
2021-09-30,121.5971
2021-08-31,120.7138
2021-07-30,119.6936
2021-06-30,118.5222
2021-05-28,117.3172
2021-04-30,116.1573
2021-03-31,114.9854
2021-02-26,113.7119
2021-01-29,112.6593
2020-12-31,111.4521
2020-11-30,110.3444
2020-10-30,109.3022
2020-09-30,108.3130
2020-08-31,106.9548
2020-07-31,105.5909
2020-06-30,104.3124
2020-05-29,103.1054
2020-04-30,101.9452
2020-03-31,100.6973
2020-02-28,99.7841
2020-01-31,98.8904
2019-12-31,97.8468
2019-11-29,96.5562
2019-10-31,95.3126
2019-09-30,94.2727
2019-08-30,93.4076
2019-07-31,92.3919
2019-06-28,91.5857
2019-05-31,90.7927
2019-04-30,90.1556
2019-03-29,89.4086
2019-02-28,88.5554
2019-01-31,87.6928
2018-12-31,86.8622
2018-11-30,85.9538
2018-10-31,84.9118
2018-09-28,84.0130
2018-08-31,82.9731
2018-07-31,81.9908
2018-06-29,81.0403
2018-05-31,80.1883
2018-04-30,79.3728
2018-03-29,78.6074
2018-02-28,77.8703
2018-01-31,77.0063
2017-12-29,76.1253
2017-11-30,75.3438
2017-10-31,74.5386
2017-09-29,73.7397
2017-08-31,72.8333
2017-07-31,71.9946
2017-06-30,71.1866
2017-05-31,70.3906
2017-04-28,69.7360
2017-03-31,69.0139
2017-02-28,68.2781
2017-01-31,67.4259
2016-12-30,66.7478
2016-11-30,66.1537
2016-10-31,65.5722
2016-09-30,65.0183
2016-08-31,64.2379
2016-07-29,63.4216
2016-06-30,62.5885
2016-05-31,61.9173
2016-04-29,61.1896
2016-03-31,60.4604
2016-02-29,59.7951
2016-01-29,59.1881
2015-12-31,58.4953
2015-11-30,57.7143
2015-10-30,56.9358
2015-09-30,56.1810
2015-08-31,55.5868
2015-07-31,54.8723
2015-06-30,53.9489
2015-05-29,53.2092
2015-04-30,52.4391
2015-03-31,51.6539
2015-02-27,50.8447
2015-01-30,50.0451
2014-12-31,49.2894
2014-11-28,48.4678
2014-10-31,47.5880
2014-09-30,46.7303
2014-08-29,46.0432
2014-07-31,45.3580
2014-06-30,44.7699
2014-05-30,44.2500
2014-04-30,43.7443
2014-03-31,43.2734
2014-02-28,42.7031
2014-01-31,42.1215
2013-12-31,41.5802
2013-11-29,41.0731
2013-10-31,40.5608
2013-09-30,40.0306
2013-08-30,39.5291
2013-07-31,39.0467
2013-06-28,38.5685
2013-05-31,38.1631
2013-04-30,37.7386
2013-03-28,37.2837
2013-02-28,36.8379
2013-01-31,36.4755
2012-12-31,36.1621
2012-11-30,35.8396
2012-10-31,35.4931
2012-09-28,35.1644
2012-08-31,34.8499
2012-07-31,34.5351
2012-06-29,34.2305
2012-05-31,33.9995
2012-04-30,33.7929
2012-03-30,33.5745
2012-02-29,33.3787
2012-01-31,33.1806
2011-12-30,32.9839
2011-11-30,32.8143
2011-10-31,32.6923
2011-09-30,32.5764
2011-08-31,32.4772
2011-07-29,32.3736
2011-06-30,32.2768
2011-05-31,32.1507
2011-04-29,32.0063
2011-03-31,31.8891
2011-02-28,31.7970
2011-01-31,31.7205
2010-12-31,31.6141
2010-11-30,31.5080
2010-10-29,31.4180
2010-09-30,31.2922
2010-08-31,31.1813
2010-07-30,31.1007
2010-06-30,30.9924
2010-05-28,30.8978
2010-04-30,30.8087
2010-03-31,30.6758
2010-02-26,30.5220
2010-01-29,30.3917
2009-12-31,30.2455
2009-11-30,30.1127
2009-10-30,29.9802
2009-09-30,29.8676
2009-08-31,29.7025
2009-07-31,29.5394
2009-06-30,29.3549
2009-05-29,29.2412
2009-04-30,29.1496
2009-03-31,29.0685
2009-02-27,28.9784
2009-01-30,28.8919
2008-12-31,28.7588
2008-11-28,28.6018
2008-10-31,28.4603
2008-09-30,28.2837
2008-08-29,28.1101
2008-07-31,27.9071
2008-06-30,27.7037
2008-05-30,27.6181
2008-04-30,27.5559
2008-03-31,27.5098
2008-02-29,27.4639
2008-01-31,27.3886
2007-12-31,27.3042
2007-11-30,27.2202
2007-10-31,27.0670
2007-09-28,26.8902
2007-08-31,26.7234
2007-07-31,26.6051
2007-06-29,26.4574
2007-05-31,26.2962
2007-04-30,26.1244
2007-03-30,25.8913
2007-02-28,25.7199
2007-01-31,25.4817
2006-12-29,25.1938
2006-11-30,24.9190
2006-10-31,24.6202
2006-09-29,24.2807
2006-08-31,23.9717
2006-07-31,23.6867
2006-06-30,23.3858
2006-05-31,23.1166
2006-04-28,22.8264
2006-03-31,22.5323
2006-02-28,22.1962
2006-01-31,21.8356
2005-12-30,21.4913
2005-11-30,21.0973
2005-10-31,20.6833
2005-09-30,20.3063
2005-08-31,19.8941
2005-07-29,19.4759
2005-06-30,19.0545
2005-05-31,18.7785
2005-04-29,18.4833
2005-03-31,18.2189
2005-02-28,17.9519
2005-01-31,17.6558
2004-12-31,17.3519
2004-11-30,17.0301
2004-10-29,16.7369
2004-09-30,16.4658
2004-08-31,16.1919
2004-07-30,15.8961
2004-06-30,15.6159
2004-05-28,15.3508
2004-04-30,15.0820
2004-03-31,14.7972
2004-02-27,14.4961
2004-01-30,14.1503
2003-12-31,13.7922
2003-11-28,13.4527
2003-10-31,13.1421
2003-09-30,12.7963
2003-08-29,12.4256
2003-07-31,12.0402
2003-06-30,11.6238
2003-05-30,11.2303
2003-04-30,10.8420
2003-03-31,10.4766
2003-02-28,10.1365
2003-01-31,9.8155
2002-12-31,9.5197
2002-11-29,9.2413
2002-10-31,8.9689
2002-09-30,8.6986
2002-08-30,8.4633
