,MAMA_monthly_10
2022-04-04,120.0017
2022-03-31,117.9135
2022-02-28,115.8154
2022-01-31,114.0343
2021-12-31,112.3938
2021-11-30,110.4988
2021-10-29,108.6328
2021-09-30,106.5046
2021-08-31,104.7037
2021-07-30,102.8737
2021-06-30,101.2953
2021-05-28,99.9197
2021-04-30,98.3835
2021-03-31,96.8511
2021-02-26,95.5223
2021-01-29,94.2040
2020-12-31,93.1192
2020-11-30,91.9464
2020-10-30,90.8255
2020-09-30,89.9021
2020-08-31,88.7516
2020-07-31,87.6524
2020-06-30,86.4900
2020-05-29,85.4458
2020-04-30,84.3478
2020-03-31,83.4805
2020-02-28,82.6845
2020-01-31,81.4539
2019-12-31,80.0891
2019-11-29,78.8335
2019-10-31,77.6115
2019-09-30,76.4808
2019-08-30,75.3390
2019-07-31,74.1730
2019-06-28,73.0506
2019-05-31,71.8844
2019-04-30,70.8338
2019-03-29,69.7718
2019-02-28,68.7965
2019-01-31,67.8030
2018-12-31,66.9502
2018-11-30,66.1994
2018-10-31,65.2471
2018-09-28,64.3728
2018-08-31,63.5171
2018-07-31,62.7333
2018-06-29,61.9652
2018-05-31,61.2553
2018-04-30,60.5120
2018-03-29,59.7359
2018-02-28,58.9765
2018-01-31,58.2096
2017-12-29,57.4170
2017-11-30,56.6990
2017-10-31,55.9135
2017-09-29,55.0890
2017-08-31,54.2339
2017-07-31,53.4371
2017-06-30,52.6419
2017-05-31,51.8924
2017-04-28,51.1549
2017-03-31,50.5168
2017-02-28,49.8866
2017-01-31,49.2793
2016-12-30,48.6943
2016-11-30,48.1177
2016-10-31,47.5106
2016-09-30,46.9288
2016-08-31,46.3283
2016-07-29,45.7327
2016-06-30,45.1720
2016-05-31,44.5880
2016-04-29,43.9978
2016-03-31,43.4411
2016-02-29,42.8884
2016-01-29,42.4171
2015-12-31,42.0118
2015-11-30,41.5638
2015-10-30,41.0874
2015-09-30,40.6198
2015-08-31,40.1945
2015-07-31,39.7193
2015-06-30,39.1703
2015-05-29,38.6287
2015-04-30,38.0672
2015-03-31,37.5469
2015-02-27,37.0252
2015-01-30,36.4584
2014-12-31,35.9826
2014-11-28,35.4596
2014-10-31,34.9531
2014-09-30,34.5023
2014-08-29,34.0337
2014-07-31,33.5651
2014-06-30,33.1180
2014-05-30,32.6153
2014-04-30,32.1089
2014-03-31,31.6444
2014-02-28,31.1832
2014-01-31,30.7050
2013-12-31,30.2697
2013-11-29,29.7998
2013-10-31,29.3460
2013-09-30,28.9112
2013-08-30,28.5165
2013-07-31,28.1921
2013-06-28,27.8542
2013-05-31,27.5434
2013-04-30,27.2358
2013-03-28,26.9556
2013-02-28,26.6636
2013-01-31,26.3724
2012-12-31,26.1091
2012-11-30,25.8640
2012-10-31,25.6056
2012-09-28,25.3706
2012-08-31,25.1498
2012-07-31,24.9298
2012-06-29,24.7328
2012-05-31,24.5571
2012-04-30,24.3823
2012-03-30,24.1575
2012-02-29,23.9567
2012-01-31,23.7743
2011-12-30,23.5753
2011-11-30,23.3905
2011-10-31,23.2112
2011-09-30,23.0243
2011-08-31,22.8787
2011-07-29,22.6887
2011-06-30,22.4843
2011-05-31,22.2506
2011-04-29,22.0069
2011-03-31,21.7605
2011-02-28,21.5059
2011-01-31,21.2516
2010-12-31,21.0566
2010-11-30,20.8585
2010-10-29,20.7110
2010-09-30,20.5653
2010-08-31,20.4251
2010-07-30,20.3091
2010-06-30,20.1791
2010-05-28,20.0541
2010-04-30,19.9070
2010-03-31,19.7319
2010-02-26,19.5541
2010-01-29,19.3902
2009-12-31,19.2426
2009-11-30,19.0998
2009-10-30,18.9521
2009-09-30,18.8048
2009-08-31,18.6382
2009-07-31,18.4605
2009-06-30,18.3012
2009-05-29,18.1555
2009-04-30,18.0246
2009-03-31,17.8382
2009-02-27,17.6633
