,MAMA_monthly_10
2019-06-28,30.8035
2019-05-31,30.5364
2019-04-30,30.2555
2019-03-29,29.9811
2019-02-28,29.7266
2019-01-31,29.4954
2018-12-31,29.3057
2018-11-30,29.1434
2018-10-31,28.9509
2018-09-28,28.7892
2018-08-31,28.5978
2018-07-31,28.3978
2018-06-29,28.2320
2018-05-31,28.1010
2018-04-30,27.9678
2018-03-29,27.8268
2018-02-28,27.6819
2018-01-31,27.5299
2017-12-29,27.3536
2017-11-30,27.1653
2017-10-31,26.9835
2017-09-29,26.8213
2017-08-31,26.6522
2017-07-31,26.5099
2017-06-30,26.3714
2017-05-31,26.1944
2017-04-28,26.0310
2017-03-31,25.8660
2017-02-28,25.6620
2017-01-31,25.4491
2016-12-30,25.2450
2016-11-30,25.0474
2016-10-31,24.8264
2016-09-30,24.6188
2016-08-31,24.3875
2016-07-29,24.1389
2016-06-30,23.9052
2016-05-31,23.6649
2016-04-29,23.4330
2016-03-31,23.2030
2016-02-29,22.9558
2016-01-29,22.7313
2015-12-31,22.5184
2015-11-30,22.3328
2015-10-30,22.1228
2015-09-30,21.9256
2015-08-31,21.7835
2015-07-31,21.6138
2015-06-30,21.4252
2015-05-29,21.2306
2015-04-30,21.0255
2015-03-31,20.8294
2015-02-27,20.6195
2015-01-30,20.3848
2014-12-31,20.1910
2014-11-28,19.9870
2014-10-31,19.8285
2014-09-30,19.6841
2014-08-29,19.5422
2014-07-31,19.3745
2014-06-30,19.2230
2014-05-30,19.0553
2014-04-30,18.8792
2014-03-31,18.7141
2014-02-28,18.5562
2014-01-31,18.3963
2013-12-31,18.2440
2013-11-29,18.0686
2013-10-31,17.9084
2013-09-30,17.7412
2013-08-30,17.5801
2013-07-31,17.4106
2013-06-28,17.2295
2013-05-31,17.0642
2013-04-30,16.8973
2013-03-28,16.7290
2013-02-28,16.5504
2013-01-31,16.3960
2012-12-31,16.2564
2012-11-30,16.1344
2012-10-31,16.0101
2012-09-28,15.8913
2012-08-31,15.7847
2012-07-31,15.6873
2012-06-29,15.5869
2012-05-31,15.4805
2012-04-30,15.3813
2012-03-30,15.2662
2012-02-29,15.1507
2012-01-31,15.0418
2011-12-30,14.9346
2011-11-30,14.8362
2011-10-31,14.7417
2011-09-30,14.6597
2011-08-31,14.5670
2011-07-29,14.4590
2011-06-30,14.3474
2011-05-31,14.2170
2011-04-29,14.0907
2011-03-31,13.9794
2011-02-28,13.8551
2011-01-31,13.7293
2010-12-31,13.6064
2010-11-30,13.4815
2010-10-29,13.3653
2010-09-30,13.2470
2010-08-31,13.1277
2010-07-30,13.0301
2010-06-30,12.9248
2010-05-28,12.8417
2010-04-30,12.7446
2010-03-31,12.6347
2010-02-26,12.5370
2010-01-29,12.4339
2009-12-31,12.3411
2009-11-30,12.2350
2009-10-30,12.1305
2009-09-30,12.0536
2009-08-31,11.9753
2009-07-31,11.8910
2009-06-30,11.8096
2009-05-29,11.7359
2009-04-30,11.6624
2009-03-31,11.5978
2009-02-27,11.5558
2009-01-30,11.5316
2008-12-31,11.4786
2008-11-28,11.4168
2008-10-31,11.3292
2008-09-30,11.2589
2008-08-29,11.1777
2008-07-31,11.0830
2008-06-30,10.9871
2008-05-30,10.9326
2008-04-30,10.8467
2008-03-31,10.7637
2008-02-29,10.6863
2008-01-31,10.6125
2007-12-31,10.5225
2007-11-30,10.4300
2007-10-31,10.3383
2007-09-28,10.2398
2007-08-31,10.1333
2007-07-31,10.0204
2007-06-29,9.9107
2007-05-31,9.7734
2007-04-30,9.6314
2007-03-30,9.4925
2007-02-28,9.3509
2007-01-31,9.2098
2006-12-29,9.0631
2006-11-30,8.9145
2006-10-31,8.7633
2006-09-29,8.6155
2006-08-31,8.4715
2006-07-31,8.3301
2006-06-30,8.1997
2006-05-31,8.0686
2006-04-28,7.9377
2006-03-31,7.7994
2006-02-28,7.6589
2006-01-31,7.5281
2005-12-30,7.3936
2005-11-30,7.2760
2005-10-31,7.1594
2005-09-30,7.0506
2005-08-31,6.9526
2005-07-29,6.8436
2005-06-30,6.7290
2005-05-31,6.6163
2005-04-29,6.4983
2005-03-31,6.3776
2005-02-28,6.2316
2005-01-31,6.0927
2004-12-31,5.9594
2004-11-30,5.8241
2004-10-29,5.6958
2004-09-30,5.5764
2004-08-31,5.4552
2004-07-30,5.3337
2004-06-30,5.2117
2004-05-28,5.0767
2004-04-30,4.9450
2004-03-31,4.8167
2004-02-27,4.6937
2004-01-30,4.5726
2003-12-31,4.4598
2003-11-28,4.3409
2003-10-31,4.2355
2003-09-30,4.1276
2003-08-29,4.0249
2003-07-31,3.9179
2003-06-30,3.8127
2003-05-30,3.6996
2003-04-30,3.5887
2003-03-31,3.4779
2003-02-28,3.3777
2003-01-31,3.2770
2002-12-31,3.1706
2002-11-29,3.0439
2002-10-31,2.9092
2002-09-30,2.7728
2002-08-30,2.6436
