,MAMA_monthly_10
2022-04-04,120.0156
2022-03-31,118.3262
2022-02-28,116.6530
2022-01-31,114.8903
2021-12-31,112.7199
2021-11-30,110.0527
2021-10-29,107.4687
2021-09-30,104.0221
2021-08-31,100.9044
2021-07-30,97.4402
2021-06-30,94.3142
2021-05-28,91.5303
2021-04-30,89.0408
2021-03-31,86.5821
2021-02-26,84.5291
2021-01-29,82.4926
2020-12-31,80.7092
2020-11-30,79.0006
2020-10-30,77.4297
2020-09-30,75.9118
2020-08-31,74.3912
2020-07-31,72.9310
2020-06-30,71.6577
2020-05-29,70.6204
2020-04-30,69.5190
2020-03-31,68.7599
2020-02-28,68.1796
2020-01-31,67.2969
2019-12-31,66.4152
2019-11-29,65.5431
2019-10-31,64.7379
2019-09-30,64.0789
2019-08-30,63.3891
2019-07-31,62.7042
2019-06-28,61.9786
2019-05-31,61.1713
2019-04-30,60.5220
2019-03-29,59.7144
2019-02-28,58.8504
2019-01-31,58.0088
2018-12-31,57.3504
2018-11-30,56.7865
2018-10-31,55.9980
2018-09-28,55.3331
2018-08-31,54.5330
2018-07-31,53.8363
2018-06-29,53.1245
2018-05-31,52.5272
2018-04-30,51.9717
2018-03-29,51.4443
2018-02-28,50.8857
2018-01-31,50.3229
2017-12-29,49.7661
2017-11-30,49.1632
2017-10-31,48.6073
2017-09-29,47.9237
2017-08-31,47.3166
2017-07-31,46.6956
2017-06-30,46.1753
2017-05-31,45.6200
2017-04-28,45.1510
2017-03-31,44.7011
2017-02-28,44.2440
2017-01-31,43.8124
2016-12-30,43.4388
2016-11-30,43.1080
2016-10-31,42.8252
2016-09-30,42.4914
2016-08-31,42.0787
2016-07-29,41.6633
2016-06-30,41.1959
2016-05-31,40.7793
2016-04-29,40.3233
2016-03-31,39.9299
2016-02-29,39.5661
2016-01-29,39.2241
2015-12-31,38.8705
2015-11-30,38.4511
2015-10-30,38.0660
2015-09-30,37.7916
2015-08-31,37.5317
2015-07-31,37.2149
2015-06-30,36.8068
2015-05-29,36.4681
2015-04-30,36.1057
2015-03-31,35.7718
2015-02-27,35.3323
2015-01-30,34.9147
2014-12-31,34.5669
2014-11-28,34.2732
2014-10-31,33.9654
2014-09-30,33.6705
2014-08-29,33.4071
2014-07-31,33.1476
2014-06-30,32.9349
2014-05-30,32.7269
2014-04-30,32.5163
2014-03-31,32.3021
2014-02-28,32.0189
2014-01-31,31.7422
2013-12-31,31.4918
2013-11-29,31.2742
2013-10-31,31.0631
2013-09-30,30.8798
2013-08-30,30.7245
2013-07-31,30.5697
2013-06-28,30.4184
2013-05-31,30.3113
2013-04-30,30.1800
2013-03-28,30.0455
2013-02-28,29.9018
2013-01-31,29.7924
2012-12-31,29.6759
2012-11-30,29.5972
2012-10-31,29.5086
2012-09-28,29.4297
2012-08-31,29.3269
2012-07-31,29.2563
2012-06-29,29.2081
2012-05-31,29.1722
2012-04-30,29.1297
2012-03-30,29.0651
2012-02-29,28.9941
2012-01-31,28.9321
2011-12-30,28.8832
2011-11-30,28.8989
2011-10-31,28.9045
2011-09-30,28.8704
2011-08-31,28.8729
2011-07-29,28.8300
2011-06-30,28.7217
2011-05-31,28.6012
2011-04-29,28.4994
2011-03-31,28.3611
2011-02-28,28.2599
2011-01-31,28.1773
2010-12-31,28.0746
2010-11-30,27.9992
2010-10-29,27.9522
2010-09-30,27.9035
2010-08-31,27.8505
2010-07-30,27.8465
2010-06-30,27.8138
2010-05-28,27.7492
2010-04-30,27.6907
2010-03-31,27.6322
2010-02-26,27.5143
2010-01-29,27.4092
2009-12-31,27.3190
2009-11-30,27.2546
2009-10-30,27.2052
2009-09-30,27.1111
2009-08-31,27.0114
2009-07-31,26.9359
2009-06-30,26.8739
2009-05-29,26.8044
2009-04-30,26.7577
2009-03-31,26.7487
2009-02-27,26.7440
2009-01-30,26.7637
2008-12-31,26.7875
2008-11-28,26.7934
2008-10-31,26.8337
2008-09-30,26.7429
2008-08-29,26.4521
2008-07-31,26.0565
2008-06-30,25.6484
2008-05-30,25.2618
2008-04-30,24.8677
2008-03-31,24.5325
2008-02-29,24.1850
2008-01-31,23.8376
2007-12-31,23.4492
2007-11-30,23.0214
2007-10-31,22.6122
2007-09-28,22.2547
2007-08-31,21.9124
2007-07-31,21.6036
2007-06-29,21.3049
2007-05-31,20.9986
2007-04-30,20.6737
2007-03-30,20.4041
2007-02-28,20.1429
2007-01-31,19.8831
2006-12-29,19.6294
2006-11-30,19.3908
2006-10-31,19.1649
2006-09-29,18.9250
2006-08-31,18.6777
2006-07-31,18.4558
2006-06-30,18.2836
2006-05-31,18.0966
2006-04-28,17.8750
2006-03-31,17.5782
2006-02-28,17.2607
2006-01-31,16.9466
2005-12-30,16.6518
2005-11-30,16.3921
2005-10-31,16.0974
2005-09-30,15.8180
2005-08-31,15.5372
2005-07-29,15.1808
2005-06-30,14.8422
2005-05-31,14.5048
2005-04-29,14.1655
2005-03-31,13.8301
2005-02-28,13.4947
2005-01-31,13.1653
2004-12-31,12.8197
2004-11-30,12.4845
2004-10-29,12.1383
2004-09-30,11.7883
2004-08-31,11.4448
2004-07-30,11.1205
2004-06-30,10.7776
2004-05-28,10.3928
2004-04-30,10.0424
2004-03-31,9.6792
2004-02-27,9.3441
2004-01-30,9.0036
2003-12-31,8.6890
2003-11-28,8.4300
2003-10-31,8.1873
2003-09-30,7.9444
2003-08-29,7.7146
2003-07-31,7.4314
2003-06-30,7.1312
2003-05-30,6.8781
2003-04-30,6.6267
2003-03-31,6.4194
