,MAMA_monthly_10
2022-04-04,77.7162
2022-03-31,77.9679
2022-02-28,78.2160
2022-01-31,78.4078
2021-12-31,78.5471
2021-11-30,78.7351
2021-10-29,78.8919
2021-09-30,78.9956
2021-08-31,79.0952
2021-07-30,79.1786
2021-06-30,79.3056
2021-05-28,79.4079
2021-04-30,79.4327
2021-03-31,79.5315
2021-02-26,79.6215
2021-01-29,79.7798
2020-12-31,80.0170
2020-11-30,80.2259
2020-10-30,80.5010
2020-09-30,80.9115
2020-08-31,81.3149
2020-07-31,81.6454
2020-06-30,81.9899
2020-05-29,82.3324
2020-04-30,82.7086
2020-03-31,83.0876
2020-02-28,83.5310
2020-01-31,83.7782
2019-12-31,83.9250
2019-11-29,84.0269
2019-10-31,84.1744
2019-09-30,84.3584
2019-08-30,84.5700
2019-07-31,84.8276
2019-06-28,85.0296
2019-05-31,85.2441
2019-04-30,85.5332
2019-03-29,85.7507
2019-02-28,86.0480
2019-01-31,86.3321
2018-12-31,86.6189
2018-11-30,87.0211
2018-10-31,87.3118
2018-09-28,87.6034
2018-08-31,87.8413
2018-07-31,88.0862
2018-06-29,88.3316
2018-05-31,88.6241
2018-04-30,88.9216
2018-03-29,89.2107
2018-02-28,89.5097
2018-01-31,89.7405
2017-12-29,89.9497
2017-11-30,90.1973
2017-10-31,90.4377
2017-09-29,90.7011
2017-08-31,90.9738
2017-07-31,91.2910
2017-06-30,91.6105
2017-05-31,91.9470
2017-04-28,92.3428
2017-03-31,92.7551
2017-02-28,93.1667
2017-01-31,93.5827
2016-12-30,94.0391
2016-11-30,94.4687
2016-10-31,94.9292
2016-09-30,95.4592
2016-08-31,96.0113
2016-07-29,96.5645
2016-06-30,97.1576
2016-05-31,97.7704
2016-04-29,98.3531
2016-03-31,98.9441
2016-02-29,99.5809
2016-01-29,100.2494
2015-12-31,100.8922
2015-11-30,101.4624
2015-10-30,102.0180
2015-09-30,102.5873
2015-08-31,103.1935
2015-07-31,103.7724
2015-06-30,104.3140
2015-05-29,104.8893
2015-04-30,105.4805
2015-03-31,106.0847
2015-02-27,106.7105
2015-01-30,107.3349
2014-12-31,108.0129
2014-11-28,108.6359
2014-10-31,109.2664
2014-09-30,109.9071
2014-08-29,110.5692
2014-07-31,111.2394
2014-06-30,111.9401
2014-05-30,112.6635
2014-04-30,113.3903
2014-03-31,114.1215
2014-02-28,114.8628
2014-01-31,115.6026
2013-12-31,116.3603
2013-11-29,117.0853
2013-10-31,117.8106
2013-09-30,118.5791
2013-08-30,119.3577
2013-07-31,120.1457
2013-06-28,120.9089
2013-05-31,121.7158
2013-04-30,122.4961
2013-03-28,123.3304
2013-02-28,124.1940
2013-01-31,125.0860
2012-12-31,125.9854
2012-11-30,126.9164
2012-10-31,127.8998
2012-09-28,128.8690
2012-08-31,129.8882
2012-07-31,130.9437
2012-06-29,132.0323
2012-05-31,133.1294
2012-04-30,134.2454
2012-03-30,135.3163
2012-02-29,136.3678
2012-01-31,137.4578
2011-12-30,138.5814
2011-11-30,139.7543
2011-10-31,140.9289
2011-09-30,142.0801
2011-08-31,143.2944
2011-07-29,144.4741
2011-06-30,145.6029
2011-05-31,146.7148
2011-04-29,147.8421
2011-03-31,148.9399
2011-02-28,150.0635
2011-01-31,151.1760
2010-12-31,152.2877
2010-11-30,153.4183
2010-10-29,154.6061
2010-09-30,155.8085
2010-08-31,157.0454
2010-07-30,158.3121
2010-06-30,159.5579
2010-05-28,160.8456
2010-04-30,162.1291
2010-03-31,163.3902
2010-02-26,164.6916
2010-01-29,166.0621
2009-12-31,167.4535
2009-11-30,168.8597
2009-10-30,170.2112
2009-09-30,171.5781
2009-08-31,172.8941
2009-07-31,174.2097
2009-06-30,175.6962
2009-05-29,177.2150
2009-04-30,178.6845
2009-03-31,180.2265
2009-02-27,181.8290
2009-01-30,183.5364
2008-12-31,185.0844
2008-11-28,186.3772
2008-10-31,187.5473
2008-09-30,188.2685
2008-08-29,188.4286
2008-07-31,188.7195
2008-06-30,189.0387
2008-05-30,189.5490
2008-04-30,189.6362
2008-03-31,189.4677
2008-02-29,189.6150
2008-01-31,189.5750
2007-12-31,189.1668
2007-11-30,188.6769
2007-10-31,187.8674
2007-09-28,186.3957
2007-08-31,184.5255
2007-07-31,182.6196
2007-06-29,180.7616
2007-05-31,178.5097
2007-04-30,175.9805
2007-03-30,173.5372
2007-02-28,171.2488
2007-01-31,169.0135
2006-12-29,166.4655
2006-11-30,163.8052
2006-10-31,161.5944
2006-09-29,159.3549
2006-08-31,157.1306
2006-07-31,154.9085
2006-06-30,152.7816
2006-05-31,150.6377
2006-04-28,148.3920
2006-03-31,146.0740
2006-02-28,143.9767
2006-01-31,141.9233
2005-12-30,139.8711
2005-11-30,137.6522
2005-10-31,135.4094
2005-09-30,133.3841
2005-08-31,131.3576
2005-07-29,129.4404
2005-06-30,127.5238
2005-05-31,125.4195
2005-04-29,123.2294
2005-03-31,121.0282
2005-02-28,118.9841
2005-01-31,116.7172
2004-12-31,114.3625
2004-11-30,112.0466
2004-10-29,109.9544
2004-09-30,107.8685
2004-08-31,105.8080
2004-07-30,103.5511
2004-06-30,101.4491
2004-05-28,99.1835
2004-04-30,96.9000
2004-03-31,94.4760
2004-02-27,91.8022
2004-01-30,89.2025
2003-12-31,86.6312
2003-11-28,84.1272
2003-10-31,81.7031
2003-09-30,79.2287
2003-08-29,76.8840
2003-07-31,74.6649
2003-06-30,72.3233
2003-05-30,70.1190
2003-04-30,68.0146
2003-03-31,66.0241
2003-02-28,64.3408
2003-01-31,62.7163
2002-12-31,61.0044
2002-11-29,59.2340
2002-10-31,57.1954
2002-09-30,55.2671
2002-08-30,53.8241
