,MAMA_monthly_10
2022-04-04,83.5362
2022-03-31,82.9608
2022-02-28,82.4166
2022-01-31,81.9045
2021-12-31,81.2208
2021-11-30,80.6784
2021-10-29,80.2956
2021-09-30,79.6680
2021-08-31,78.8872
2021-07-30,78.0500
2021-06-30,76.8953
2021-05-28,75.7878
2021-04-30,74.6091
2021-03-31,73.2085
2021-02-26,71.9248
2021-01-29,70.6660
2020-12-31,69.6097
2020-11-30,68.1528
2020-10-30,66.8859
2020-09-30,65.9814
2020-08-31,64.8690
2020-07-31,63.7570
2020-06-30,62.6197
2020-05-29,61.5551
2020-04-30,60.3829
2020-03-31,59.3335
2020-02-28,58.4913
2020-01-31,57.2456
2019-12-31,55.8728
2019-11-29,54.6148
2019-10-31,53.3607
2019-09-30,52.2128
2019-08-30,51.1547
2019-07-31,50.0165
2019-06-28,48.8475
2019-05-31,47.7443
2019-04-30,46.6908
2019-03-29,45.7061
2019-02-28,44.8066
2019-01-31,43.9594
2018-12-31,43.2841
2018-11-30,42.6932
2018-10-31,42.0099
2018-09-28,41.2955
2018-08-31,40.4427
2018-07-31,39.6095
2018-06-29,38.8875
2018-05-31,38.1690
2018-04-30,37.4467
2018-03-29,36.6982
2018-02-28,35.9574
2018-01-31,35.1906
2017-12-29,34.4321
2017-11-30,33.7809
2017-10-31,33.1201
2017-09-29,32.4188
2017-08-31,31.7993
2017-07-31,31.1690
2017-06-30,30.5436
2017-05-31,29.9522
2017-04-28,29.3421
2017-03-31,28.8239
2017-02-28,28.3113
2017-01-31,27.8034
2016-12-30,27.3144
2016-11-30,26.8989
2016-10-31,26.4878
2016-09-30,26.0331
2016-08-31,25.5315
2016-07-29,25.0330
2016-06-30,24.5423
2016-05-31,24.0794
2016-04-29,23.5490
2016-03-31,23.0681
2016-02-29,22.6509
2016-01-29,22.2729
2015-12-31,21.9110
2015-11-30,21.4901
2015-10-30,21.0018
2015-09-30,20.5351
2015-08-31,20.1715
2015-07-31,19.8209
2015-06-30,19.4633
2015-05-29,19.1451
2015-04-30,18.8191
2015-03-31,18.5103
2015-02-27,18.2412
2015-01-30,17.9684
2014-12-31,17.7157
2014-11-28,17.4931
2014-10-31,17.2402
2014-09-30,17.0140
2014-08-29,16.8384
2014-07-31,16.6469
2014-06-30,16.4706
2014-05-30,16.2748
2014-04-30,16.0984
2014-03-31,15.9289
2014-02-28,15.7364
2014-01-31,15.5458
2013-12-31,15.3744
2013-11-29,15.2068
2013-10-31,15.0472
2013-09-30,14.9038
2013-08-30,14.8006
2013-07-31,14.7134
2013-06-28,14.6321
2013-05-31,14.5500
2013-04-30,14.4588
2013-03-28,14.3746
2013-02-28,14.2734
2013-01-31,14.1783
2012-12-31,14.0771
2012-11-30,13.9946
2012-10-31,13.9182
2012-09-28,13.8468
2012-08-31,13.7792
2012-07-31,13.7119
2012-06-29,13.6382
2012-05-31,13.5617
2012-04-30,13.4882
2012-03-30,13.3944
2012-02-29,13.2945
2012-01-31,13.1730
2011-12-30,13.0584
2011-11-30,12.9557
2011-10-31,12.8676
2011-09-30,12.7703
2011-08-31,12.6994
2011-07-29,12.6008
2011-06-30,12.4935
2011-05-31,12.3674
2011-04-29,12.2353
2011-03-31,12.0956
2011-02-28,11.9759
2011-01-31,11.8595
2010-12-31,11.7458
2010-11-30,11.6360
2010-10-29,11.5481
2010-09-30,11.4722
2010-08-31,11.3762
2010-07-30,11.3052
2010-06-30,11.2330
2010-05-28,11.1661
2010-04-30,11.0705
2010-03-31,10.9710
2010-02-26,10.8570
2010-01-29,10.7554
2009-12-31,10.6445
2009-11-30,10.4862
2009-10-30,10.3393
2009-09-30,10.2009
2009-08-31,10.0736
2009-07-31,9.9661
2009-06-30,9.8582
2009-05-29,9.7731
2009-04-30,9.6946
2009-03-31,9.6345
2009-02-27,9.5673
2009-01-30,9.5128
2008-12-31,9.4380
2008-11-28,9.3718
2008-10-31,9.2884
2008-09-30,9.1829
2008-08-29,9.0549
2008-07-31,8.9091
2008-06-30,8.7812
2008-05-30,8.6407
2008-04-30,8.4957
2008-03-31,8.3639
2008-02-29,8.2450
2008-01-31,8.1333
2007-12-31,8.0322
2007-11-30,7.8847
2007-10-31,7.7519
2007-09-28,7.5966
2007-08-31,7.4561
2007-07-31,7.3375
2007-06-29,7.2280
2007-05-31,7.1064
2007-04-30,6.9816
2007-03-30,6.8657
2007-02-28,6.7680
2007-01-31,6.6475
2006-12-29,6.5295
2006-11-30,6.3684
2006-10-31,6.2081
2006-09-29,6.0565
2006-08-31,5.9020
2006-07-31,5.7750
2006-06-30,5.6249
2006-05-31,5.4439
2006-04-28,5.2706
2006-03-31,5.0916
2006-02-28,4.8834
2006-01-31,4.6778
2005-12-30,4.4757
2005-11-30,4.2927
2005-10-31,4.1217
2005-09-30,3.9537
2005-08-31,3.8035
2005-07-29,3.6810
2005-06-30,3.5562
2005-05-31,3.4263
2005-04-29,3.2915
2005-03-31,3.1665
2005-02-28,3.0408
2005-01-31,2.9359
2004-12-31,2.8256
2004-11-30,2.7112
2004-10-29,2.6039
2004-09-30,2.4966
2004-08-31,2.3911
2004-07-30,2.3070
2004-06-30,2.2190
2004-05-28,2.1317
2004-04-30,2.0395
2004-03-31,1.9432
2004-02-27,1.8530
2004-01-30,1.7664
2003-12-31,1.6710
2003-11-28,1.5732
2003-10-31,1.4786
