,MAMA_monthly_10
2022-04-04,57.5472
2022-03-31,57.2687
2022-02-28,57.0196
2022-01-31,56.6153
2021-12-31,56.2530
2021-11-30,55.8007
2021-10-29,55.3926
2021-09-30,54.9919
2021-08-31,54.6590
2021-07-30,54.2323
2021-06-30,53.7900
2021-05-28,53.3987
2021-04-30,52.9890
2021-03-31,52.5408
2021-02-26,52.1274
2021-01-29,51.7336
2020-12-31,51.3412
2020-11-30,50.9477
2020-10-30,50.5551
2020-09-30,50.2591
2020-08-31,49.9667
2020-07-31,49.7079
2020-06-30,49.5063
2020-05-29,49.2881
2020-04-30,49.0816
2020-03-31,48.8854
2020-02-28,48.7000
2020-01-31,48.4586
2019-12-31,47.9810
2019-11-29,47.4697
2019-10-31,46.9901
2019-09-30,46.5470
2019-08-30,45.9056
2019-07-31,45.3347
2019-06-28,44.6579
2019-05-31,44.1248
2019-04-30,43.6845
2019-03-29,43.1771
2019-02-28,42.8267
2019-01-31,42.4739
2018-12-31,42.0651
2018-11-30,41.7435
2018-10-31,41.3291
2018-09-28,40.9040
2018-08-31,40.3580
2018-07-31,39.8595
2018-06-29,39.3532
2018-05-31,38.9137
2018-04-30,38.5202
2018-03-29,38.1105
2018-02-28,37.7365
2018-01-31,37.2573
2017-12-29,36.7822
2017-11-30,36.3404
2017-10-31,35.8750
2017-09-29,35.4088
2017-08-31,34.8978
2017-07-31,34.3764
2017-06-30,33.7819
2017-05-31,33.1367
2017-04-28,32.5402
2017-03-31,31.9921
2017-02-28,31.4372
2017-01-31,30.9026
2016-12-30,30.4889
2016-11-30,30.1168
2016-10-31,29.6744
2016-09-30,29.2449
2016-08-31,28.8509
2016-07-29,28.4320
2016-06-30,28.0133
2016-05-31,27.5710
2016-04-29,27.0957
2016-03-31,26.6384
2016-02-29,26.2199
2016-01-29,25.8335
2015-12-31,25.4568
2015-11-30,25.1392
2015-10-30,24.7696
2015-09-30,24.3643
2015-08-31,23.9986
2015-07-31,23.6084
2015-06-30,23.1790
2015-05-29,22.7825
2015-04-30,22.4044
2015-03-31,22.0337
2015-02-27,21.7264
2015-01-30,21.4238
2014-12-31,21.1801
2014-11-28,20.9369
2014-10-31,20.6562
2014-09-30,20.3866
2014-08-29,20.1388
2014-07-31,19.9078
2014-06-30,19.6967
2014-05-30,19.4616
2014-04-30,19.2189
2014-03-31,18.9609
2014-02-28,18.7009
2014-01-31,18.4420
2013-12-31,18.2295
2013-11-29,17.9706
2013-10-31,17.7187
2013-09-30,17.4818
2013-08-30,17.2817
2013-07-31,17.0920
2013-06-28,16.8970
2013-05-31,16.7125
2013-04-30,16.5289
2013-03-28,16.3205
2013-02-28,16.1401
2013-01-31,15.9887
2012-12-31,15.8565
2012-11-30,15.7346
2012-10-31,15.5943
2012-09-28,15.4717
2012-08-31,15.3339
2012-07-31,15.1998
2012-06-29,15.0774
2012-05-31,14.9712
2012-04-30,14.8522
2012-03-30,14.7220
2012-02-29,14.5932
2012-01-31,14.4738
2011-12-30,14.3563
2011-11-30,14.2624
2011-10-31,14.1383
2011-09-30,13.9960
2011-08-31,13.8950
2011-07-29,13.7475
2011-06-30,13.5924
2011-05-31,13.4057
2011-04-29,13.2037
2011-03-31,12.9916
2011-02-28,12.7796
2011-01-31,12.5796
2010-12-31,12.3836
2010-11-30,12.1649
2010-10-29,11.9405
2010-09-30,11.7241
2010-08-31,11.5199
2010-07-30,11.3438
2010-06-30,11.1529
2010-05-28,10.9694
2010-04-30,10.7910
2010-03-31,10.6236
2010-02-26,10.4569
2010-01-29,10.3064
2009-12-31,10.1918
2009-11-30,10.0668
2009-10-30,9.9576
2009-09-30,9.8642
2009-08-31,9.7679
2009-07-31,9.6661
2009-06-30,9.5766
2009-05-29,9.5035
2009-04-30,9.4215
2009-03-31,9.3298
2009-02-27,9.2496
2009-01-30,9.1838
2008-12-31,9.1086
2008-11-28,8.9993
2008-10-31,8.9052
2008-09-30,8.7944
2008-08-29,8.6453
2008-07-31,8.4764
2008-06-30,8.2967
2008-05-30,8.1369
2008-04-30,7.9720
2008-03-31,7.8101
2008-02-29,7.6998
2008-01-31,7.6028
2007-12-31,7.5035
2007-11-30,7.4070
2007-10-31,7.2947
2007-09-28,7.1673
2007-08-31,7.0529
2007-07-31,6.9352
2007-06-29,6.8175
2007-05-31,6.6771
2007-04-30,6.5303
2007-03-30,6.3856
2007-02-28,6.2604
2007-01-31,6.1363
2006-12-29,6.0100
2006-11-30,5.8908
2006-10-31,5.7737
2006-09-29,5.6609
2006-08-31,5.5686
2006-07-31,5.4915
2006-06-30,5.4241
2006-05-31,5.3607
2006-04-28,5.2938
2006-03-31,5.2186
2006-02-28,5.1343
2006-01-31,5.0545
2005-12-30,4.9680
2005-11-30,4.8878
2005-10-31,4.8052
2005-09-30,4.7319
2005-08-31,4.6533
2005-07-29,4.5672
2005-06-30,4.4722
2005-05-31,4.3842
2005-04-29,4.2992
2005-03-31,4.2215
2005-02-28,4.1337
2005-01-31,4.0409
2004-12-31,3.9567
2004-11-30,3.8735
2004-10-29,3.7917
2004-09-30,3.7176
2004-08-31,3.6361
2004-07-30,3.5555
2004-06-30,3.4763
2004-05-28,3.3915
2004-04-30,3.3017
2004-03-31,3.2158
2004-02-27,3.1114
2004-01-30,3.0052
2003-12-31,2.9113
2003-11-28,2.8070
2003-10-31,2.6964
2003-09-30,2.5866
2003-08-29,2.4957
2003-07-31,2.4050
2003-06-30,2.3112
2003-05-30,2.2251
2003-04-30,2.1474
2003-03-31,2.0690
2003-02-28,2.0032
2003-01-31,1.9478
2002-12-31,1.8925
2002-11-29,1.8397
2002-10-31,1.7784
2002-09-30,1.7327
2002-08-30,1.6811
