,MAMA_monthly_10
2022-04-04,200.9199
2022-03-31,198.5283
2022-02-28,196.1380
2022-01-31,193.7400
2021-12-31,191.7394
2021-11-30,188.9991
2021-10-29,186.6826
2021-09-30,183.9053
2021-08-31,181.8450
2021-07-30,179.6073
2021-06-30,177.1416
2021-05-28,174.4816
2021-04-30,171.8521
2021-03-31,169.1204
2021-02-26,166.6218
2021-01-29,164.5017
2020-12-31,162.3254
2020-11-30,159.8551
2020-10-30,157.4637
2020-09-30,155.0605
2020-08-31,152.4870
2020-07-31,149.8810
2020-06-30,147.4757
2020-05-29,145.0930
2020-04-30,142.4643
2020-03-31,140.0964
2020-02-28,138.3807
2020-01-31,136.5975
2019-12-31,134.6316
2019-11-29,132.3445
2019-10-31,130.2911
2019-09-30,128.6841
2019-08-30,127.4438
2019-07-31,125.9232
2019-06-28,124.2531
2019-05-31,122.8779
2019-04-30,121.6966
2019-03-29,120.3989
2019-02-28,118.9833
2019-01-31,117.3709
2018-12-31,115.5058
2018-11-30,113.8441
2018-10-31,111.7469
2018-09-28,109.7178
2018-08-31,107.4898
2018-07-31,105.2959
2018-06-29,103.2677
2018-05-31,101.3819
2018-04-30,99.5472
2018-03-29,97.6626
2018-02-28,96.0080
2018-01-31,94.3123
2017-12-29,92.5013
2017-11-30,91.0031
2017-10-31,89.3684
2017-09-29,87.7712
2017-08-31,86.2725
2017-07-31,84.6259
2017-06-30,83.2209
2017-05-31,81.7097
2017-04-28,80.2687
2017-03-31,78.9134
2017-02-28,77.6990
2017-01-31,76.4265
2016-12-30,75.2652
2016-11-30,74.0413
2016-10-31,72.7213
2016-09-30,71.7877
2016-08-31,70.7954
2016-07-29,69.7754
2016-06-30,68.8049
2016-05-31,67.7534
2016-04-29,66.7655
2016-03-31,65.7234
2016-02-29,64.6138
2016-01-29,63.5536
2015-12-31,62.6200
2015-11-30,61.5248
2015-10-30,60.5165
2015-09-30,59.4017
2015-08-31,58.2721
2015-07-31,57.0973
2015-06-30,55.9175
2015-05-29,54.6370
2015-04-30,53.1213
2015-03-31,52.0627
2015-02-27,50.8738
2015-01-30,49.8068
2014-12-31,48.9015
2014-11-28,48.0141
2014-10-31,47.1748
2014-09-30,46.3185
2014-08-29,45.5357
2014-07-31,44.7626
2014-06-30,44.0878
2014-05-30,43.3098
2014-04-30,42.5577
2014-03-31,41.9387
2014-02-28,41.2850
2014-01-31,40.6298
2013-12-31,40.1125
2013-11-29,39.5335
2013-10-31,38.9439
2013-09-30,38.4610
2013-08-30,37.9619
2013-07-31,37.4723
2013-06-28,36.9854
2013-05-31,36.5589
2013-04-30,36.1646
2013-03-28,35.8294
2013-02-28,35.5381
2013-01-31,35.2544
2012-12-31,34.9104
2012-11-30,34.6169
2012-10-31,34.3530
2012-09-28,34.0034
2012-08-31,33.6889
2012-07-31,33.3743
2012-06-29,33.1358
2012-05-31,32.7469
2012-04-30,32.3662
2012-03-30,31.9416
2012-02-29,31.4029
2012-01-31,30.9112
2011-12-30,30.3966
2011-11-30,29.8899
2011-10-31,29.3705
2011-09-30,28.8810
2011-08-31,28.4991
2011-07-29,28.0703
2011-06-30,27.6653
2011-05-31,27.2013
2011-04-29,26.7349
2011-03-31,26.3044
2011-02-28,25.9264
2011-01-31,25.5900
2010-12-31,25.3150
2010-11-30,25.0669
2010-10-29,24.8043
2010-09-30,24.5184
2010-08-31,24.3037
2010-07-30,24.1094
2010-06-30,23.9201
2010-05-28,23.7414
2010-04-30,23.5574
2010-03-31,23.3746
2010-02-26,23.1803
2010-01-29,22.9788
2009-12-31,22.7635
2009-11-30,22.5895
2009-10-30,22.4356
2009-09-30,22.3164
2009-08-31,22.1985
2009-07-31,22.0942
2009-06-30,22.0150
2009-05-29,21.9405
2009-04-30,21.8738
2009-03-31,21.8299
2009-02-27,21.8103
2009-01-30,21.8128
2008-12-31,21.6840
2008-11-28,21.5600
2008-10-31,21.4995
2008-09-30,21.4444
2008-08-29,21.2818
2008-07-31,21.0697
2008-06-30,20.8784
2008-05-30,20.7233
2008-04-30,20.4628
2008-03-31,20.2297
2008-02-29,20.0212
2008-01-31,19.5945
2007-12-31,19.0606
2007-11-30,18.5600
2007-10-31,18.0386
2007-09-28,17.5310
2007-08-31,17.0649
2007-07-31,16.6475
2007-06-29,16.2258
2007-05-31,15.8291
2007-04-30,15.4179
2007-03-30,14.9916
2007-02-28,14.6091
2007-01-31,14.2053
2006-12-29,13.8380
2006-11-30,13.4687
2006-10-31,13.1069
2006-09-29,12.6870
2006-08-31,12.2069
2006-07-31,11.7695
2006-06-30,11.3736
2006-05-31,10.9943
2006-04-28,10.6394
2006-03-31,10.3310
2006-02-28,9.9508
2006-01-31,9.5758
2005-12-30,9.1593
2005-11-30,8.7518
2005-10-31,8.4184
2005-09-30,8.0949
2005-08-31,7.7360
2005-07-29,7.3709
2005-06-30,7.0786
2005-05-31,6.7843
