,MAMA_monthly_10
2022-04-04,71.2496
2022-03-31,70.5964
2022-02-28,69.9326
2022-01-31,69.2066
2021-12-31,68.4047
2021-11-30,67.5058
2021-10-29,66.5931
2021-09-30,65.5601
2021-08-31,64.5886
2021-07-30,63.6447
2021-06-30,62.7727
2021-05-28,61.8633
2021-04-30,60.8584
2021-03-31,59.9468
2021-02-26,59.0505
2021-01-29,58.1950
2020-12-31,57.5135
2020-11-30,56.8497
2020-10-30,56.2693
2020-09-30,55.8773
2020-08-31,55.5073
2020-07-31,55.0954
2020-06-30,54.7138
2020-05-29,54.3622
2020-04-30,53.9758
2020-03-31,53.6004
2020-02-28,53.2855
2020-01-31,52.7193
2019-12-31,51.9928
2019-11-29,51.2006
2019-10-31,50.4726
2019-09-30,49.8019
2019-08-30,49.2015
2019-07-31,48.6686
2019-06-28,48.0726
2019-05-31,47.5174
2019-04-30,47.0110
2019-03-29,46.4055
2019-02-28,45.9390
2019-01-31,45.4388
2018-12-31,44.9416
2018-11-30,44.5010
2018-10-31,43.9316
2018-09-28,43.3763
2018-08-31,42.7875
2018-07-31,42.1770
2018-06-29,41.5569
2018-05-31,41.0335
2018-04-30,40.4794
2018-03-29,39.9036
2018-02-28,39.3162
2018-01-31,38.6731
2017-12-29,38.0219
2017-11-30,37.4478
2017-10-31,36.8895
2017-09-29,36.3606
2017-08-31,35.8769
2017-07-31,35.4296
2017-06-30,34.9696
2017-05-31,34.5129
2017-04-28,34.1335
2017-03-31,33.7074
2017-02-28,33.2739
2017-01-31,32.8115
2016-12-30,32.3973
2016-11-30,31.9684
2016-10-31,31.5888
2016-09-30,31.3010
2016-08-31,31.0379
2016-07-29,30.7642
2016-06-30,30.5184
2016-05-31,30.2902
2016-04-29,30.0328
2016-03-31,29.7906
2016-02-29,29.5841
2016-01-29,29.4005
2015-12-31,29.1876
2015-11-30,28.9206
2015-10-30,28.6453
2015-09-30,28.3879
2015-08-31,28.1595
2015-07-31,27.9024
2015-06-30,27.6053
2015-05-29,27.3153
2015-04-30,27.0391
2015-03-31,26.7812
2015-02-27,26.5465
2015-01-30,26.3037
2014-12-31,26.1159
2014-11-28,25.8612
2014-10-31,25.6240
2014-09-30,25.3817
2014-08-29,25.1423
2014-07-31,24.9070
2014-06-30,24.6840
2014-05-30,24.4624
2014-04-30,24.2553
2014-03-31,24.0428
2014-02-28,23.7926
2014-01-31,23.5714
2013-12-31,23.3599
2013-11-29,23.1240
2013-10-31,22.8958
2013-09-30,22.7112
2013-08-30,22.5266
2013-07-31,22.3493
2013-06-28,22.1286
2013-05-31,21.9323
2013-04-30,21.7196
2013-03-28,21.5492
2013-02-28,21.3918
2013-01-31,21.2213
2012-12-31,21.0638
2012-11-30,20.9314
2012-10-31,20.8204
2012-09-28,20.7035
2012-08-31,20.5972
2012-07-31,20.5158
2012-06-29,20.4425
2012-05-31,20.3728
2012-04-30,20.3224
2012-03-30,20.1955
2012-02-29,20.0465
2012-01-31,19.9477
2011-12-30,19.8628
2011-11-30,19.8100
2011-10-31,19.7740
2011-09-30,19.7088
2011-08-31,19.6801
2011-07-29,19.5950
2011-06-30,19.4871
2011-05-31,19.3762
2011-04-29,19.2470
2011-03-31,19.0985
2011-02-28,18.9468
2011-01-31,18.7891
2010-12-31,18.6430
2010-11-30,18.5146
