,MAMA_monthly_10
2022-04-04,38.6303
2022-03-31,38.4082
2022-02-28,38.1854
2022-01-31,38.0145
2021-12-31,37.8009
2021-11-30,37.6884
2021-10-29,37.5588
2021-09-30,37.4549
2021-08-31,37.3642
2021-07-30,37.1724
2021-06-30,37.0442
2021-05-28,36.8720
2021-04-30,36.6967
2021-03-31,36.4884
2021-02-26,36.2686
2021-01-29,36.0919
2020-12-31,36.0233
2020-11-30,35.9872
2020-10-30,36.0342
2020-09-30,36.1889
2020-08-31,36.3723
2020-07-31,36.5297
2020-06-30,36.7115
2020-05-29,36.8782
2020-04-30,37.0618
2020-03-31,37.2547
2020-02-28,37.4876
2020-01-31,37.4967
2019-12-31,37.4719
2019-11-29,37.3695
2019-10-31,37.3094
2019-09-30,37.2090
2019-08-30,37.1226
2019-07-31,37.0633
2019-06-28,36.9428
2019-05-31,36.8790
2019-04-30,36.8046
2019-03-29,36.5320
2019-02-28,36.2778
2019-01-31,36.0382
2018-12-31,35.7857
2018-11-30,35.5517
2018-10-31,35.3138
2018-09-28,34.9973
2018-08-31,34.6882
2018-07-31,34.3406
2018-06-29,34.0358
2018-05-31,33.7364
2018-04-30,33.4929
2018-03-29,33.2874
2018-02-28,33.0501
2018-01-31,32.8109
2017-12-29,32.5806
2017-11-30,32.4395
2017-10-31,32.3559
2017-09-29,32.3247
2017-08-31,32.2598
2017-07-31,32.2492
2017-06-30,32.2252
2017-05-31,32.2236
2017-04-28,32.2287
2017-03-31,32.2289
2017-02-28,32.2225
2017-01-31,32.1976
2016-12-30,32.1953
2016-11-30,32.1145
2016-10-31,32.0003
2016-09-30,31.9671
2016-08-31,31.9336
2016-07-29,31.8987
2016-06-30,31.8859
2016-05-31,31.9025
2016-04-29,31.9383
2016-03-31,31.9088
2016-02-29,31.8606
2016-01-29,31.8153
2015-12-31,31.7452
2015-11-30,31.6912
2015-10-30,31.6440
2015-09-30,31.6042
2015-08-31,31.5625
2015-07-31,31.4871
2015-06-30,31.3315
2015-05-29,31.1643
2015-04-30,30.9768
2015-03-31,30.7402
2015-02-27,30.4505
2015-01-30,30.1955
2014-12-31,30.0453
2014-11-28,29.8834
2014-10-31,29.7339
2014-09-30,29.6238
2014-08-29,29.4610
2014-07-31,29.3164
2014-06-30,29.2098
2014-05-30,29.1087
2014-04-30,28.9962
2014-03-31,28.8800
2014-02-28,28.7476
2014-01-31,28.6214
2013-12-31,28.5351
2013-11-29,28.4026
2013-10-31,28.2822
2013-09-30,28.1495
2013-08-30,28.0525
2013-07-31,27.9604
2013-06-28,27.8551
2013-05-31,27.7668
2013-04-30,27.6736
2013-03-28,27.6110
2013-02-28,27.5546
2013-01-31,27.5003
2012-12-31,27.4440
2012-11-30,27.4111
2012-10-31,27.3682
2012-09-28,27.2630
2012-08-31,27.1714
2012-07-31,27.0720
2012-06-29,26.9915
2012-05-31,26.9402
2012-04-30,26.8885
2012-03-30,26.8058
2012-02-29,26.7229
2012-01-31,26.6440
2011-12-30,26.5902
2011-11-30,26.5123
2011-10-31,26.4042
2011-09-30,26.3005
2011-08-31,26.2231
2011-07-29,26.1661
2011-06-30,26.0503
2011-05-31,25.9660
2011-04-29,25.8602
2011-03-31,25.7570
2011-02-28,25.6505
2011-01-31,25.5388
2010-12-31,25.4473
2010-11-30,25.3304
2010-10-29,25.1981
2010-09-30,25.1001
2010-08-31,24.9912
2010-07-30,24.9206
2010-06-30,24.8442
2010-05-28,24.7683
2010-04-30,24.6692
2010-03-31,24.5400
2010-02-26,24.4110
2010-01-29,24.2872
2009-12-31,24.1859
2009-11-30,24.0591
2009-10-30,23.9365
2009-09-30,23.7845
2009-08-31,23.6322
2009-07-31,23.5159
2009-06-30,23.4194
2009-05-29,23.3617
2009-04-30,23.3055
2009-03-31,23.2288
2009-02-27,23.1723
2009-01-30,23.1645
2008-12-31,23.1459
2008-11-28,23.1306
2008-10-31,23.1395
2008-09-30,23.1315
2008-08-29,23.0481
2008-07-31,22.9425
2008-06-30,22.8859
2008-05-30,22.8415
2008-04-30,22.7640
2008-03-31,22.6578
2008-02-29,22.5915
2008-01-31,22.5139
2007-12-31,22.4280
2007-11-30,22.3394
2007-10-31,22.2260
2007-09-28,22.0722
2007-08-31,21.9007
2007-07-31,21.7138
2007-06-29,21.5148
2007-05-31,21.2433
2007-04-30,20.9396
2007-03-30,20.6417
2007-02-28,20.3230
2007-01-31,20.0535
2006-12-29,19.7681
2006-11-30,19.4969
2006-10-31,19.2149
2006-09-29,18.9232
2006-08-31,18.6676
2006-07-31,18.4260
2006-06-30,18.2225
2006-05-31,17.9997
2006-04-28,17.8121
2006-03-31,17.6078
2006-02-28,17.4209
2006-01-31,17.2658
2005-12-30,17.1347
2005-11-30,16.9734
2005-10-31,16.8283
2005-09-30,16.6671
2005-08-31,16.4902
2005-07-29,16.2958
2005-06-30,16.0727
2005-05-31,15.8503
2005-04-29,15.6754
2005-03-31,15.5061
2005-02-28,15.3075
2005-01-31,15.1327
2004-12-31,14.9621
2004-11-30,14.7749
2004-10-29,14.6065
2004-09-30,14.4047
2004-08-31,14.2186
2004-07-30,14.0218
2004-06-30,13.8485
2004-05-28,13.6975
2004-04-30,13.5086
2004-03-31,13.3575
2004-02-27,13.1598
2004-01-30,12.9384
2003-12-31,12.7642
2003-11-28,12.5839
2003-10-31,12.3785
2003-09-30,12.1178
2003-08-29,11.8720
2003-07-31,11.5566
