,MAMA_monthly_10
2022-04-04,9.6479
2022-03-31,9.7033
2022-02-28,9.7658
2022-01-31,9.8462
2021-12-31,9.9270
2021-11-30,10.0044
2021-10-29,10.0786
2021-09-30,10.1503
2021-08-31,10.2231
2021-07-30,10.2843
2021-06-30,10.3541
2021-05-28,10.4205
2021-04-30,10.4924
2021-03-31,10.5699
2021-02-26,10.6434
2021-01-29,10.7111
2020-12-31,10.7793
2020-11-30,10.8585
2020-10-30,10.9420
2020-09-30,11.0301
2020-08-31,11.1225
2020-07-31,11.2142
2020-06-30,11.3029
2020-05-29,11.3928
2020-04-30,11.4900
2020-03-31,11.5891
2020-02-28,11.6900
2020-01-31,11.7912
2019-12-31,11.8898
2019-11-29,11.9899
2019-10-31,12.0875
2019-09-30,12.1893
2019-08-30,12.2912
2019-07-31,12.3911
2019-06-28,12.4902
2019-05-31,12.5920
2019-04-30,12.6868
2019-03-29,12.7738
2019-02-28,12.8644
2019-01-31,12.9560
2018-12-31,13.0477
2018-11-30,13.1496
2018-10-31,13.2436
2018-09-28,13.3387
2018-08-31,13.4338
2018-07-31,13.5316
2018-06-29,13.6192
2018-05-31,13.7075
2018-04-30,13.7954
2018-03-29,13.8871
2018-02-28,13.9732
2018-01-31,14.0638
2017-12-29,14.1553
2017-11-30,14.2565
2017-10-31,14.3479
2017-09-29,14.4695
2017-08-31,14.5905
2017-07-31,14.7197
2017-06-30,14.8418
2017-05-31,14.9664
2017-04-28,15.0823
2017-03-31,15.1816
2017-02-28,15.2788
2017-01-31,15.3658
2016-12-30,15.4907
2016-11-30,15.6048
2016-10-31,15.7153
2016-09-30,15.8179
2016-08-31,15.9126
2016-07-29,16.0113
2016-06-30,16.0866
2016-05-31,16.1944
2016-04-29,16.3286
2016-03-31,16.4323
2016-02-29,16.5392
2016-01-29,16.6291
2015-12-31,16.7440
