,MAMA_monthly_10
2022-04-04,200.9392
2022-03-31,198.4840
2022-02-28,196.0303
2022-01-31,193.6285
2021-12-31,191.6790
2021-11-30,190.0482
2021-10-29,188.6226
2021-09-30,187.2204
2021-08-31,185.6768
2021-07-30,183.9714
2021-06-30,182.1572
2021-05-28,180.2586
2021-04-30,178.3028
2021-03-31,176.3688
2021-02-26,174.5239
2021-01-29,173.0455
2020-12-31,171.6596
2020-11-30,169.9369
2020-10-30,168.0991
2020-09-30,166.4117
2020-08-31,164.3867
2020-07-31,162.2738
2020-06-30,160.2711
2020-05-29,158.3832
2020-04-30,156.2502
2020-03-31,154.1126
2020-02-28,152.4321
2020-01-31,150.4392
2019-12-31,147.8963
2019-11-29,145.6953
2019-10-31,143.4563
2019-09-30,141.3528
2019-08-30,139.1018
2019-07-31,136.8842
2019-06-28,134.8706
2019-05-31,132.8238
2019-04-30,130.9907
2019-03-29,129.2082
2019-02-28,127.7167
2019-01-31,126.1240
2018-12-31,124.7179
2018-11-30,123.5553
2018-10-31,122.0240
2018-09-28,120.5578
2018-08-31,118.5983
2018-07-31,116.8536
2018-06-29,115.0576
2018-05-31,113.5233
2018-04-30,111.7992
2018-03-29,110.0187
2018-02-28,108.0651
2018-01-31,105.9603
2017-12-29,103.8305
2017-11-30,101.9839
2017-10-31,100.1362
2017-09-29,98.3859
2017-08-31,96.5989
2017-07-31,94.8377
2017-06-30,93.1930
2017-05-31,91.6611
2017-04-28,90.0823
2017-03-31,88.6072
2017-02-28,87.1335
2017-01-31,85.6540
2016-12-30,84.3094
2016-11-30,82.9635
2016-10-31,81.4694
2016-09-30,80.1408
2016-08-31,78.8569
2016-07-29,77.5317
2016-06-30,76.1229
2016-05-31,74.7395
2016-04-29,73.4457
2016-03-31,72.1859
2016-02-29,71.0071
2016-01-29,69.8657
2015-12-31,68.7676
2015-11-30,67.6059
2015-10-30,66.4152
2015-09-30,65.2204
2015-08-31,64.1198
2015-07-31,63.0602
2015-06-30,61.9524
2015-05-29,61.0120
2015-04-30,60.0427
2015-03-31,59.0895
2015-02-27,57.9898
2015-01-30,56.9034
2014-12-31,55.9153
2014-11-28,54.8824
2014-10-31,53.8473
2014-09-30,52.8225
2014-08-29,51.8515
2014-07-31,50.9430
2014-06-30,50.0935
2014-05-30,49.2864
2014-04-30,48.4474
2014-03-31,47.6067
2014-02-28,46.7648
2014-01-31,45.9220
2013-12-31,45.1730
2013-11-29,44.4345
2013-10-31,43.7447
2013-09-30,43.1248
2013-08-30,42.5446
2013-07-31,41.9995
2013-06-28,41.4761
2013-05-31,41.0393
2013-04-30,40.6190
2013-03-28,40.2558
2013-02-28,39.9091
2013-01-31,39.6253
2012-12-31,39.3562
2012-11-30,39.0426
2012-10-31,38.7181
2012-09-28,38.3963
2012-08-31,38.0734
2012-07-31,37.7643
2012-06-29,37.4737
2012-05-31,37.1967
2012-04-30,36.9491
2012-03-30,36.6488
2012-02-29,36.3506
2012-01-31,36.0602
2011-12-30,35.8189
2011-11-30,35.5857
2011-10-31,35.3703
2011-09-30,35.1765
2011-08-31,35.0044
2011-07-29,34.8193
2011-06-30,34.6267
2011-05-31,34.3945
2011-04-29,34.1819
2011-03-31,33.9631
2011-02-28,33.7338
2011-01-31,33.5110
2010-12-31,33.2881
2010-11-30,33.1313
2010-10-29,32.9861
2010-09-30,32.8220
2010-08-31,32.6562
2010-07-30,32.5011
2010-06-30,32.3098
2010-05-28,32.1211
2010-04-30,31.8930
2010-03-31,31.6328
2010-02-26,31.3814
2010-01-29,31.1649
2009-12-31,30.9726
2009-11-30,30.7728
2009-10-30,30.5581
2009-09-30,30.4025
2009-08-31,30.1826
2009-07-31,29.9814
2009-06-30,29.7834
2009-05-29,29.5440
2009-04-30,29.2823
2009-03-31,29.0556
2009-02-27,28.8898
2009-01-30,28.7618
2008-12-31,28.5110
2008-11-28,28.2442
2008-10-31,28.0207
2008-09-30,27.7469
2008-08-29,27.3091
2008-07-31,26.8225
2008-06-30,26.4128
2008-05-30,26.0358
2008-04-30,25.5848
2008-03-31,25.1540
2008-02-29,24.7627
2008-01-31,24.3421
2007-12-31,23.8893
2007-11-30,23.4492
2007-10-31,22.9696
2007-09-28,22.4920
2007-08-31,22.0195
2007-07-31,21.6025
2007-06-29,21.1878
2007-05-31,20.7969
2007-04-30,20.3765
2007-03-30,19.9667
2007-02-28,19.5470
2007-01-31,19.1217
2006-12-29,18.6946
2006-11-30,18.2960
2006-10-31,17.9036
2006-09-29,17.5319
2006-08-31,17.1620
2006-07-31,16.8103
2006-06-30,16.4755
2006-05-31,16.1875
2006-04-28,15.8920
2006-03-31,15.5738
2006-02-28,15.2572
2006-01-31,14.9517
2005-12-30,14.6778
2005-11-30,14.4263
2005-10-31,14.1914
2005-09-30,13.9562
2005-08-31,13.7156
2005-07-29,13.4651
2005-06-30,13.2126
2005-05-31,12.9422
2005-04-29,12.6689
2005-03-31,12.4188
2005-02-28,12.1656
2005-01-31,11.9211
2004-12-31,11.6845
2004-11-30,11.4594
2004-10-29,11.1994
2004-09-30,10.9737
2004-08-31,10.7414
2004-07-30,10.5191
2004-06-30,10.3008
2004-05-28,10.0858
2004-04-30,9.8842
2004-03-31,9.6931
2004-02-27,9.5127
2004-01-30,9.3265
2003-12-31,9.1256
2003-11-28,8.9058
2003-10-31,8.7169
2003-09-30,8.5249
2003-08-29,8.3322
2003-07-31,8.1068
2003-06-30,7.8733
2003-05-30,7.6661
2003-04-30,7.4637
2003-03-31,7.2382
2003-02-28,7.0255
2003-01-31,6.8216
2002-12-31,6.5844
