,MAMA_monthly_10
2022-04-04,80.4139
2022-03-31,79.1643
2022-02-28,77.9217
2022-01-31,76.4758
2021-12-31,74.8508
2021-11-30,73.0047
2021-10-29,71.2798
2021-09-30,69.6459
2021-08-31,68.3144
2021-07-30,66.9592
2021-06-30,65.7026
2021-05-28,64.4285
2021-04-30,63.1330
2021-03-31,61.8101
2021-02-26,60.5402
2021-01-29,59.5605
2020-12-31,58.5002
2020-11-30,57.4979
2020-10-30,56.5321
2020-09-30,55.5339
2020-08-31,54.4541
2020-07-31,53.3750
2020-06-30,52.4411
2020-05-29,51.6392
2020-04-30,50.8762
2020-03-31,50.3578
2020-02-28,50.0235
2020-01-31,49.4848
2019-12-31,48.8459
2019-11-29,48.1713
2019-10-31,47.5139
2019-09-30,46.9053
2019-08-30,46.3120
2019-07-31,45.6909
2019-06-28,45.1684
2019-05-31,44.6505
2019-04-30,44.2011
2019-03-29,43.5554
2019-02-28,42.9431
2019-01-31,42.3667
2018-12-31,41.8703
2018-11-30,41.4101
2018-10-31,40.9260
2018-09-28,40.4288
2018-08-31,39.7446
2018-07-31,39.1112
2018-06-29,38.5610
2018-05-31,38.0454
2018-04-30,37.5299
2018-03-29,37.1284
2018-02-28,36.6765
2018-01-31,36.2027
2017-12-29,35.5814
2017-11-30,35.0683
2017-10-31,34.6399
2017-09-29,34.2393
2017-08-31,33.8384
2017-07-31,33.4901
2017-06-30,33.1054
2017-05-31,32.7196
2017-04-28,32.3184
2017-03-31,31.8563
2017-02-28,31.4176
2017-01-31,31.0470
2016-12-30,30.6845
2016-11-30,30.3397
2016-10-31,29.9966
2016-09-30,29.6860
2016-08-31,29.3244
2016-07-29,28.9193
2016-06-30,28.4576
2016-05-31,28.0229
2016-04-29,27.5751
2016-03-31,27.1602
2016-02-29,26.7460
2016-01-29,26.4024
2015-12-31,26.0178
2015-11-30,25.5923
2015-10-30,25.1574
2015-09-30,24.7432
2015-08-31,24.3717
2015-07-31,23.9941
2015-06-30,23.6110
2015-05-29,23.2481
2015-04-30,22.8545
2015-03-31,22.4670
2015-02-27,22.0280
2015-01-30,21.5873
2014-12-31,21.1988
2014-11-28,20.7992
2014-10-31,20.4398
2014-09-30,20.1359
2014-08-29,19.8692
2014-07-31,19.6035
2014-06-30,19.3764
2014-05-30,19.1479
2014-04-30,18.9251
2014-03-31,18.7104
2014-02-28,18.4688
2014-01-31,18.2147
2013-12-31,17.9910
2013-11-29,17.7381
2013-10-31,17.5007
2013-09-30,17.2407
2013-08-30,16.9987
2013-07-31,16.7699
2013-06-28,16.5497
2013-05-31,16.3608
2013-04-30,16.1594
2013-03-28,15.9882
2013-02-28,15.8210
2013-01-31,15.6501
2012-12-31,15.4771
2012-11-30,15.3268
2012-10-31,15.1702
2012-09-28,15.0439
2012-08-31,14.9361
2012-07-31,14.8424
2012-06-29,14.7744
2012-05-31,14.6808
2012-04-30,14.6010
2012-03-30,14.4799
2012-02-29,14.3595
2012-01-31,14.2633
2011-12-30,14.1794
2011-11-30,14.1081
2011-10-31,14.0476
2011-09-30,14.0118
2011-08-31,13.9910
2011-07-29,13.9649
2011-06-30,13.9248
2011-05-31,13.8709
2011-04-29,13.8096
2011-03-31,13.7300
2011-02-28,13.6491
2011-01-31,13.5695
2010-12-31,13.5004
2010-11-30,13.4293
2010-10-29,13.3771
2010-09-30,13.3357
2010-08-31,13.2869
2010-07-30,13.2542
2010-06-30,13.2173
2010-05-28,13.1837
2010-04-30,13.1143
2010-03-31,13.0247
2010-02-26,12.9585
2010-01-29,12.8960
2009-12-31,12.8497
2009-11-30,12.7894
2009-10-30,12.7413
2009-09-30,12.7110
2009-08-31,12.6699
2009-07-31,12.6239
2009-06-30,12.5696
2009-05-29,12.5402
2009-04-30,12.5137
2009-03-31,12.4669
2009-02-27,12.4464
2009-01-30,12.4451
2008-12-31,12.4243
2008-11-28,12.3779
2008-10-31,12.3379
2008-09-30,12.2892
2008-08-29,12.2250
2008-07-31,12.1526
2008-06-30,12.1138
2008-05-30,12.0720
2008-04-30,12.0039
2008-03-31,11.9258
2008-02-29,11.8653
2008-01-31,11.7960
2007-12-31,11.7067
2007-11-30,11.6471
2007-10-31,11.5729
2007-09-28,11.4785
2007-08-31,11.3748
2007-07-31,11.2463
2007-06-29,11.1404
2007-05-31,11.0130
2007-04-30,10.8677
2007-03-30,10.7387
2007-02-28,10.6014
2007-01-31,10.4545
2006-12-29,10.2970
2006-11-30,10.1583
2006-10-31,10.0259
2006-09-29,9.8923
2006-08-31,9.7740
2006-07-31,9.6622
2006-06-30,9.5392
2006-05-31,9.4000
2006-04-28,9.2531
2006-03-31,9.1017
2006-02-28,8.9437
2006-01-31,8.7695
2005-12-30,8.6116
2005-11-30,8.4402
2005-10-31,8.2639
2005-09-30,8.1119
2005-08-31,7.9445
2005-07-29,7.7757
2005-06-30,7.5978
2005-05-31,7.4494
2005-04-29,7.3033
2005-03-31,7.1755
2005-02-28,7.0273
2005-01-31,6.8711
2004-12-31,6.7202
2004-11-30,6.5656
2004-10-29,6.4182
2004-09-30,6.2657
2004-08-31,6.1192
2004-07-30,5.9891
2004-06-30,5.8616
2004-05-28,5.7181
2004-04-30,5.5693
2004-03-31,5.4247
2004-02-27,5.2632
2004-01-30,5.1005
2003-12-31,4.9456
2003-11-28,4.7821
2003-10-31,4.6058
2003-09-30,4.4253
2003-08-29,4.2702
2003-07-31,4.1021
2003-06-30,3.9604
2003-05-30,3.8351
2003-04-30,3.7112
2003-03-31,3.5798
2003-02-28,3.4590
2003-01-31,3.3427
2002-12-31,3.2450
2002-11-29,3.1337
2002-10-31,3.0058
2002-09-30,2.8758
2002-08-30,2.7458
